1.5312,173.5,-1.278
1.5312,188,-1.1314
1.5312,202.49,-0.97916
1.5312,216.99,-0.82194
1.5312,231.48,-0.66059
1.5312,245.98,-0.49261
1.5312,260.48,-0.31708
1.5312,274.97,-0.13193
1.5312,289.47,0.063023
1.5312,303.97,0.26452
1.5312,318.46,0.47115
1.5312,332.96,0.68755
1.5312,347.45,0.91419
1.5312,361.95,1.1286
1.5312,376.45,1.3528
1.5312,390.94,1.5744
1.5312,405.44,1.8225
1.5312,419.93,2.0498
1.5312,434.43,2.2721
1.5312,448.93,2.5137
1.5312,463.42,2.7692
1.5312,477.92,3.0107
1.5312,492.42,3.2281
1.5312,506.91,3.4607
1.5312,521.41,3.6312
1.5312,535.9,3.8249
1.5312,550.4,4.012
1.5312,564.9,4.1956
1.5312,579.39,4.3473
1.5312,593.89,4.5212
1.5312,608.38,4.6772
1.5312,622.88,4.8318
1.5312,637.38,4.9879
1.5312,651.87,5.1113
1.5312,666.37,5.2487
1.5312,680.87,5.3634
1.5312,695.36,5.4173
1.5312,709.86,5.4879
1.5312,724.35,5.539
1.5312,738.85,5.5929
1.5312,753.35,5.6509
1.5312,767.84,5.7417
1.5312,782.34,5.8237
1.5312,796.83,5.9168
1.5312,811.33,5.9946
1.5312,825.83,6.0536
1.5312,840.32,6.1175
1.5312,854.82,6.1739
1.5312,869.32,6.2263
1.5312,883.81,6.2749
1.5312,898.31,6.3206
1.684,173.5,-1.2665
1.684,188,-1.1243
1.684,202.49,-0.97725
1.684,216.99,-0.82409
1.684,231.48,-0.6664
1.684,245.98,-0.50397
1.684,260.48,-0.33469
1.684,274.97,-0.15795
1.684,289.47,0.030726
1.684,303.97,0.22731
1.684,318.46,0.42899
1.684,332.96,0.63652
1.684,347.45,0.8529
1.684,361.95,1.0667
1.684,376.45,1.2857
1.684,390.94,1.4989
1.684,405.44,1.7322
1.684,419.93,1.9614
1.684,434.43,2.1756
1.684,448.93,2.4176
1.684,463.42,2.6686
1.684,477.92,2.8963
1.684,492.42,3.1267
1.684,506.91,3.3357
1.684,521.41,3.5001
1.684,535.9,3.7073
1.684,550.4,3.9041
1.684,564.9,4.0837
1.684,579.39,4.2438
1.684,593.89,4.4107
1.684,608.38,4.5697
1.684,622.88,4.7225
1.684,637.38,4.8641
1.684,651.87,5.0051
1.684,666.37,5.1392
1.684,680.87,5.2099
1.684,695.36,5.2905
1.684,709.86,5.3452
1.684,724.35,5.4012
1.684,738.85,5.4611
1.684,753.35,5.5441
1.684,767.84,5.6301
1.684,782.34,5.7261
1.684,796.83,5.8108
1.684,811.33,5.8699
1.684,825.83,5.9439
1.684,840.32,6.0044
1.684,854.82,6.061
1.684,869.32,6.1139
1.684,883.81,6.1636
1.684,898.31,6.2108
1.8367,173.5,-1.2525
1.8367,188,-1.1147
1.8367,202.49,-0.97223
1.8367,216.99,-0.82443
1.8367,231.48,-0.67045
1.8367,245.98,-0.51231
1.8367,260.48,-0.34887
1.8367,274.97,-0.17858
1.8367,289.47,0.00074789
1.8367,303.97,0.19196
1.8367,318.46,0.39033
1.8367,332.96,0.59056
1.8367,347.45,0.79685
1.8367,361.95,1.0078
1.8367,376.45,1.2184
1.8367,390.94,1.4316
1.8367,405.44,1.6519
1.8367,419.93,1.8763
1.8367,434.43,2.0888
1.8367,448.93,2.3211
1.8367,463.42,2.5603
1.8367,477.92,2.7906
1.8367,492.42,3.0266
1.8367,506.91,3.2076
1.8367,521.41,3.387
1.8367,535.9,3.5937
1.8367,550.4,3.7979
1.8367,564.9,3.9748
1.8367,579.39,4.1419
1.8367,593.89,4.3071
1.8367,608.38,4.4617
1.8367,622.88,4.598
1.8367,637.38,4.7471
1.8367,651.87,4.9006
1.8367,666.37,4.9987
1.8367,680.87,5.0929
1.8367,695.36,5.1538
1.8367,709.86,5.2123
1.8367,724.35,5.2775
1.8367,738.85,5.3611
1.8367,753.35,5.4437
1.8367,767.84,5.5363
1.8367,782.34,5.6235
1.8367,796.83,5.6865
1.8367,811.33,5.7532
1.8367,825.83,5.834
1.8367,840.32,5.8947
1.8367,854.82,5.9518
1.8367,869.32,6.0055
1.8367,883.81,6.0565
1.8367,898.31,6.1055
1.9895,173.5,-1.2363
1.9895,188,-1.1026
1.9895,202.49,-0.96474
1.9895,216.99,-0.82102
1.9895,231.48,-0.67342
1.9895,245.98,-0.51832
1.9895,260.48,-0.35991
1.9895,274.97,-0.19567
1.9895,289.47,-0.024828
1.9895,303.97,0.15881
1.9895,318.46,0.35695
1.9895,332.96,0.5494
1.9895,347.45,0.74698
1.9895,361.95,0.95166
1.9895,376.45,1.1606
1.9895,390.94,1.3675
1.9895,405.44,1.5787
1.9895,419.93,1.7931
1.9895,434.43,2.0051
1.9895,448.93,2.2309
1.9895,463.42,2.4582
1.9895,477.92,2.6909
1.9895,492.42,2.9119
1.9895,506.91,3.1009
1.9895,521.41,3.2869
1.9895,535.9,3.4858
1.9895,550.4,3.6935
1.9895,564.9,3.8687
1.9895,579.39,4.0416
1.9895,593.89,4.2055
1.9895,608.38,4.3479
1.9895,622.88,4.4943
1.9895,637.38,4.6378
1.9895,651.87,4.7751
1.9895,666.37,4.8896
1.9895,680.87,4.9634
1.9895,695.36,5.0269
1.9895,709.86,5.0974
1.9895,724.35,5.1812
1.9895,738.85,5.2579
1.9895,753.35,5.3486
1.9895,767.84,5.4374
1.9895,782.34,5.5048
1.9895,796.83,5.5801
1.9895,811.33,5.6604
1.9895,825.83,5.7276
1.9895,840.32,5.7887
1.9895,854.82,5.8465
1.9895,869.32,5.9014
