1.5031,6.5,2.3665
1.5031,14.05,3.3864
1.5031,21.6,4.4123
1.5031,29.15,5.4279
1.5031,36.7,6.411
1.5031,44.25,7.3568
1.5031,51.8,8.2594
1.5031,59.35,9.1147
1.5031,66.9,9.9206
1.5031,74.45,10.677
1.5031,82,11.384
1.5031,89.55,12.045
1.5031,97.1,12.659
1.5031,104.65,13.244
1.5031,112.2,13.993
1.5031,119.75,14.6
1.5031,127.3,15.001
1.5031,134.85,15.468
1.5031,142.4,15.587
1.5031,149.95,15.27
1.5031,157.5,14.411
1.5031,165.05,13.124
1.5031,172.6,11.77
1.5031,180.15,10.581
1.5031,187.7,9.637
1.5031,195.25,8.9202
1.5031,202.8,7.1173
1.5031,210.35,6.3113
1.5031,217.9,6.2285
1.5031,225.45,5.9547
1.5031,233,6.0732
1.5031,240.55,6.3202
1.5031,248.1,6.5959
1.5031,255.65,6.8233
1.5031,263.2,6.9174
1.5031,270.75,6.9111
1.5031,278.3,6.8176
1.5031,285.85,6.5982
1.5031,293.4,6.402
1.5031,300.95,6.2145
1.5031,308.5,5.789
1.5031,316.05,5.4226
1.5031,323.6,5.2458
1.5031,331.15,4.9733
1.5031,338.7,4.5454
1.5031,346.25,4.7654
1.5031,353.8,5.0609
1.5031,361.35,5.2879
1.5031,368.9,5.6202
1.5031,376.45,5.9801
1.5031,384,6.3655
1.6564,6.5,2.0407
1.6564,14.05,3.0492
1.6564,21.6,4.0636
1.6564,29.15,5.0736
1.6564,36.7,6.0483
1.6564,44.25,6.984
1.6564,51.8,7.874
1.6564,59.35,8.7136
1.6564,66.9,9.5007
1.6564,74.45,10.236
1.6564,82,10.92
1.6564,89.55,11.554
1.6564,97.1,12.141
1.6564,104.65,12.738
1.6564,112.2,13.435
1.6564,119.75,13.904
1.6564,127.3,14.291
1.6564,134.85,14.541
1.6564,142.4,14.399
1.6564,149.95,13.788
1.6564,157.5,12.653
1.6564,165.05,11.309
1.6564,172.6,10.092
1.6564,180.15,9.1424
1.6564,187.7,8.4511
1.6564,195.25,7.3739
1.6564,202.8,6.3114
1.6564,210.35,6.2632
1.6564,217.9,6.2054
1.6564,225.45,6.1858
1.6564,233,6.3914
1.6564,240.55,6.6277
1.6564,248.1,6.7791
1.6564,255.65,6.7953
1.6564,263.2,6.749
1.6564,270.75,6.7703
1.6564,278.3,6.3768
1.6564,285.85,6.2401
1.6564,293.4,6.0095
1.6564,300.95,5.6804
1.6564,308.5,5.2149
1.6564,316.05,5.0221
1.6564,323.6,4.712
1.6564,331.15,4.3999
1.6564,338.7,4.5955
1.6564,346.25,4.9217
1.6564,353.8,5.3643
1.6564,361.35,5.6096
1.6564,368.9,5.9706
1.6564,376.45,6.3058
1.6564,384,6.6618
1.8097,6.5,1.7188
1.8097,14.05,2.715
1.8097,21.6,3.7166
1.8097,29.15,4.7205
1.8097,36.7,5.6863
1.8097,44.25,6.6111
1.8097,51.8,7.4875
1.8097,59.35,8.3099
1.8097,66.9,9.0766
1.8097,74.45,9.7881
1.8097,82,10.446
1.8097,89.55,11.053
1.8097,97.1,11.61
1.8097,104.65,12.208
1.8097,112.2,12.836
1.8097,119.75,13.173
1.8097,127.3,13.48
1.8097,134.85,13.388
1.8097,142.4,13.028
1.8097,149.95,12.116
1.8097,157.5,10.842
1.8097,165.05,9.6184
1.8097,172.6,8.6755
1.8097,180.15,8.0235
1.8097,187.7,7.5946
1.8097,195.25,6.361
1.8097,202.8,6.34
1.8097,210.35,6.2777
1.8097,217.9,6.3236
1.8097,225.45,6.434
1.8097,233,6.588
1.8097,240.55,6.6034
1.8097,248.1,6.6367
1.8097,255.65,6.7063
1.8097,263.2,6.5427
1.8097,270.75,6.1417
1.8097,278.3,6.0357
1.8097,285.85,5.7913
1.8097,293.4,5.3862
1.8097,300.95,4.947
1.8097,308.5,4.8369
1.8097,316.05,4.6544
1.8097,323.6,4.239
1.8097,331.15,4.583
