,sample,longitude,latitude,lithology,unit,authors,sio2,al2o3,fe2o3,mgo,cao,na2o,k2o,tio2,p2o5,mno,cr2o3,ni_ppm,loi,sum,ba_ppm,be_ppm,co_ppm,cs_ppm,ga_ppm,hf_ppm,nb_ppm,rb_ppm,sn_ppm,sr_ppm,ta_ppm,th_ppm,u_ppm,v_ppm,w_ppm,zr_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,mo_ppm,cu_ppm,pb_ppm,zn_ppm,cr_ppm,nio,as_ppm,cd_ppm,sb_ppm,bi_ppm,ag_ppm,au_ppm,hg_ppm,tl_ppm,se_ppm,sc_ppm,eu/eu*,lan/ybn,lan/smn,rb/sr,sr/y,age_ma,feot,total,ti_ppm
266,JAA-0772B,-76.2270364237,5.83179619239,Basalt,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",49.06,13.34,13.05,6.62,10.67,2.38,1.72,0.825,0.35,0.208,,38,1.86,100.06,256.0,1,42.0,0.2,15.0,1.5,1.5,28,0.5,684.0,0.12,0.81,0.4,330.0,0.3,46.0,16.0,7.71,15.5,2.43,12.4,3.38,1.13,3.14,0.57,3.32,0.67,1.91,0.27,1.72,0.238,1,161,8,132,105,,2.5,,0.1,0.1,0.3,-,,0.03,,40.0,1.07,2.99,1.4,0.04093567251461988,42.75,47.5,,,
267,JJE-0201,-76.4203445669,5.75338980933,Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",54.63,15.77,7.32,3.0,6.33,2.43,3.74,0.613,0.13,0.184,,10,5.75,99.9,692.0,1,18.0,5,16.0,3.1,1.3,93,1,268.0,0.09,2.91,0.91,210.0,0.3,98.0,20.0,14.4,27.7,4.07,18.3,4.1,1.2,3.5,0.58,3.53,0.72,2.15,0.328,2.09,0.296,1,164,9,105,10,,2.5,,0.3,0.1,1,-,,0.62,,25.0,0.97,4.59,2.16,0.34701492537313433,13.4,47.5,,,
268,LF-0014,-76.3585471132,5.71985888547,Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",59.32,13.73,9.1,3.0,8.35,2.94,0.18,0.491,0.14,0.138,,10,2.19,99.58,143.0,0.5,17.0,0.1,11.0,1.3,0.5,2,0.5,426.0,0.03,0.73,0.3,274.0,0.3,43.0,11.0,12,18.4,2.67,12.1,2.72,0.891,2.34,0.39,2.44,0.49,1.39,0.198,1.24,0.173,1,5.82,8,92,40,,2.5,,0.3,0.1,2.3,-,,0.03,,26.0,1.09,6.45,2.71,0.004694835680751174,38.72727272727273,47.5,,,
269,LF-0153,-76.3710780387,5.80577470752,Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",54.17,17.78,9.37,4.97,8.78,1.83,0.1,0.691,0.17,0.179,,22,1.93,99.97,95.0,0.5,28.0,0.3,18.0,2.3,1,1,0.5,332.0,0.1,2.6,0.7,276.0,0.5,77.0,16.0,11.1,21.3,3.27,14.0,3.3,1.05,2.7,0.5,2.8,0.6,1.8,0.26,1.6,0.25,1,241,6,71,36,,2.5,,0.3,0.2,0.3,-,,0.1,,34.0,1.08,4.62,2.07,0.0030120481927710845,20.75,47.5,,,
270,LF-0619,-76.2421697041,5.97467952741,Basalt,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",47.76,13.84,12.38,6.02,9.45,3.38,2.26,0.827,0.36,0.218,,-,3.04,99.53,571.0,1,43.0,0.8,13.0,1.5,1.7,47,0.5,700.0,0.11,1.31,0.67,284.0,0.3,47.0,16.0,10.6,20.2,3.06,14.8,3.88,1.29,3.51,0.57,3.46,0.66,1.77,0.256,1.71,0.242,1,-,-,-,79,,3.6,,<0.1,0.1,-,4,,0.11,,37.8,1.07,4.13,1.68,0.06714285714285714,43.75,47.5,,,
271,LF-0634,-76.2088011633,5.94569400249,Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",54.56,19.03,8.48,3.55,5.57,4.44,0.7,0.675,0.63,0.267,,35,2.25,100.15,324.0,2,20.0,0.9,16.0,2.1,3.6,10,1,1116.0,0.26,1.45,0.67,205.0,0.3,73.0,20.0,14.2,27.3,4.04,19.0,4.62,1.49,4.01,0.67,3.96,0.78,2.24,0.328,2.07,0.293,1,523,10,161,10,,2.5,,0.1,0.1,1.9,-,,0.03,,14.0,1.06,4.57,1.89,0.008960573476702509,55.8,47.5,,,
272,LF-0644,-76.2529986723,5.98012106813,Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",53.96,17.28,9.08,4.27,7.7,4.06,0.5,0.59,0.14,0.133,,-,2.67,100.39,282.0,1,27.0,0.3,17.0,2.5,1.1,8,2,423.0,0.08,1.7,0.57,250.0,0.3,87.0,16.0,10.8,21.6,3.37,15.6,3.61,1.01,3.16,0.5,3.08,0.63,1.75,0.265,1.79,0.269,1,-,-,-,20,,3.4,,<0.1,0.1,-,<2,,0.03,,32.4,0.92,4.02,1.84,0.018912529550827423,26.4375,47.5,,,
273,LF-0674,-76.25205042,6.00995756912,Volcanic,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",48.15,18.75,11.9,4.93,12.28,1.43,0.32,0.675,0.17,0.161,,21,0.67,99.44,126.0,0.5,22.0,0.3,25.0,3.0,3,4,0.5,480.0,0.2,2.1,0.8,392.0,0.5,99.0,21.0,14,28.2,4.26,18.5,4.6,1.87,3.8,0.6,3.8,0.8,2.2,0.31,1.9,0.3,1,134,8,99,54,,2.5,,0.3,0.2,0.3,-,,0.1,,34.0,1.37,4.91,1.87,0.008333333333333333,22.857142857142858,47.5,,,
274,LF-0969,-76.3752102206,5.74994478883,Basalt-Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",51.76,17.7,8.85,4.43,9.15,3.22,0.56,0.686,0.14,0.12,,-,3.48,100.11,207.0,1,26.0,0.3,17.0,1.8,0.9,10,0.5,308.0,0.07,1.19,0.39,278.0,0.3,61.0,16.0,7,14.8,2.42,11.5,3.0,1.02,2.76,0.49,3.16,0.65,1.88,0.287,1.88,0.288,1,-,-,-,44,,2.1,,<0.1,0.1,-,<2,,0.03,,31.3,1.09,2.48,1.44,0.032467532467532464,19.25,47.5,,,
275,LF-1346,-76.4065228564,5.79921744417,Basalt-Andesite,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",55.45,17.15,8.84,3.97,7.94,3.39,1.05,0.713,0.19,0.162,,10,1.16,100.02,569.0,1,22.0,0.3,18.0,3.0,1,14,0.5,390.0,0.1,2.7,0.8,260.0,0.5,101.0,20.0,14.7,28.6,4.45,19.3,4.7,1.32,3.7,0.6,3.8,0.8,2.3,0.32,2.0,0.31,1,145,8,101,10,,2.5,,0.3,0.2,0.3,-,,0.1,,29.0,0.97,4.9,1.92,0.035897435897435895,19.5,47.5,,,
