,age group,sample,lithology,sio2,tio2,al2o3,fe2o3*,fe2o3,feo,mno,mgo,cao,na2o,k2o,p2o5,h2o+,total,[mg #],fe #,nb_ppm,ta_ppm,zr_ppm,y_ppm,hf_ppm,sr_ppm,rb_ppm,ba_ppm,u_ppm,th_ppm,pb_ppm,ga_ppm,ni_ppm,cr_ppm,v_ppm,co_ppm,sc_ppm,cs_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,longitude,latitude,age
31,Late Triassic,COCA 368, granite,75.98,0.16,12.78,1.14,0.60,0.48,0.02,0.28,0.98,3.16,4.59,0.04,0.51,99.57,0.51,0.63,13.5,2.2,91,35.9,2.8,70,211.4,450.3,3.2,21.8,33.7,14,9,5,10,2,3,12.0,40.2,78.7,8.6,28.2,5.3,0.5,4.6,0.7,6.2,1.2,3.3,0.6,4.5,0.5,-69.6,-14.3,203.0
32,Late Triassic,COCA 373, granodiorite,68.02,0.55,14.87,4.55,1.56,2.66,0.10,1.41,3.08,3.80,2.12,0.13,0.94,99.23,0.49,0.65,20.4,2.1,135,34.1,3.8,154,178.1,351.8,5.1,7.1,16.8,20,13,31,55,10,16,16.2,14.2,27.0,3.1,14.2,3.6,1.0,4.6,0.8,5.2,1.2,3.1,0.5,3.8,0.6,-69.9,-14.2,203.0
33,Late Triassic,COCA 444, granite,72.35,0.24,14.95,1.59,0.62,0.85,0.02,0.36,0.58,2.81,4.97,0.31,1.22,99.28,0.43,0.71,18.7,2.6,78,15.2,2.4,90,507.3,367.1,5.5,10.1,26.5,20,8,7,11,4,3,69.3,25.4,55.3,6.3,25.3,4.4,0.7,3.5,0.4,2.6,0.6,0.9,0.1,1.5,0.2,-69.4,-14.6,203.0
34,Late Triassic,COCA 446, granite,75.34,0.04,14.40,0.62,0.47,0.13,0.02,0.09,0.39,3.84,3.18,0.24,1.15,99.28,0.56,0.59,24.2,3.5,16,7.8,1.4,22,432.4,57.8,10.1,1.3,6.9,25,7,3,2,2,6,13.1,0.8,3.3,0.5,1.7,0.6,0.1,1.0,0.3,1.1,0.2,0.5,0.1,0.7,0.1,-69.4,-14.6,203.0
35,Late Triassic,COCA 457,alkali feldspar granite,75.58,0.16,13.00,1.20,0.48,0.64,0.02,0.30,0.84,3.95,3.74,0.04,0.57,99.32,0.45,0.68,14.2,1.6,76,13.9,2.2,185,138.9,616.4,4.5,13.2,32.5,13,7,17,7,3,3,3.2,16.8,31.7,3.2,10.5,1.9,0.5,1.5,0.4,1.8,0.3,1.1,0.2,1.8,0.3,-70.4,-13.8,203.0
36,Late Triassic,COCA 461, granodiorite,66.16,0.65,16.34,4.02,2.20,1.63,0.05,1.10,2.31,3.79,4.20,0.23,0.63,99.27,0.55,0.60,23.5,1.4,254,26.5,6.0,270,148.9,983.7,2.6,14.3,23.7,20,14,21,51,11,8,6.3,49.6,95.2,10.0,37.6,6.6,1.5,6.2,1.0,5.1,0.8,2.6,0.4,3.0,0.3,-70.4,-13.8,203.0
37,Late Triassic,COCA 464, granite,72.69,0.37,14.29,2.82,1.05,1.58,0.05,0.77,2.13,4.33,1.92,0.16,0.73,100.06,0.46,0.67,16.6,1.3,140,17.2,3.0,191,118.6,491.5,2.1,6.9,12.8,17,15,25,29,9,9,6.6,26.6,47.4,5.0,19.7,3.8,1.1,3.1,0.5,2.8,0.5,1.4,0.3,1.7,0.3,-70.6,-13.8,203.0
38,Late Triassic,COCA 465, granodiorite,62.87,0.81,17.92,4.93,1.40,3.15,0.07,1.45,3.52,4.01,3.43,0.36,0.89,99.89,0.45,0.68,28.4,1.4,281,27.1,7.3,341,153.7,867.7,1.6,9.7,17.4,22,18,26,62,13,9,5.4,46.2,83.0,8.6,35.1,6.1,1.9,6.4,0.9,5.2,1.0,2.5,0.3,2.1,0.4,-70.6,-13.8,203.0
39,Late Triassic,S-AM-06-22a, granodiorite,64.74,0.79,17.72,5.39,1.89,3.12,0.04,1.41,1.97,3.02,4.36,0.23,0.94,100.24,0.45,0.69,25.5,1.5,323,19.6,8.0,281,207.2,815.5,3.0,21.0,23.0,25,18,37,66,9,14,6.8,69.9,135.1,14.5,52.9,8.9,2.1,6.9,0.8,4.6,0.7,2.1,0.3,2.0,0.3,-70.5,-13.7,203.0
40,Permian-Triassic,C-AM-05-06,alkali feldspar granite,72.36,0.25,13.96,2.32,2.22,0.08,0.01,0.10,0.20,4.53,4.87,0.07,0.54,99.19,0.69,0.45,84.0,10.7,462,88.0,16.2,161,379.5,385.7,7.7,50.7,18.7,29,8,2,7,4,2,12.3,87.1,173.5,18.5,69.3,15.4,0.9,13.1,2.6,16.7,3.6,9.6,1.5,11.0,1.6,-75.3,-11.1,254.0
