,age group,sample,lithology,sio2,tio2,al2o3,fe2o3*,fe2o3,feo,mno,mgo,cao,na2o,k2o,p2o5,h2o+,total,[mg #],fe #,nb_ppm,ta_ppm,zr_ppm,y_ppm,hf_ppm,sr_ppm,rb_ppm,ba_ppm,u_ppm,th_ppm,pb_ppm,ga_ppm,ni_ppm,cr_ppm,v_ppm,co_ppm,sc_ppm,cs_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,longitude,latitude,age
71,Carboniferous-Permian,AM-04-25,tonalite,62.65,0.68,15.49,6.02,1.32,4.08,0.13,2.10,3.95,2.63,3.00,0.19,3.18,99.41,0.48,0.66,10.9,0.6,185,29.2,4.5,152,100.5,659.9,1.8,7.9,16.2,18,2,36,120,10,25,1.4,27.8,55.8,6.9,24.5,4.8,1.1,5.2,0.6,4.9,1.3,2.9,0.5,2.7,0.5,-77.5,-8.0,317.5
72,Carboniferous-Permian,AM-04-3,quartz syenite,70.38,0.47,14.61,3.14,1.73,1.26,0.08,0.90,2.57,3.61,3.66,0.21,0.45,99.93,0.56,0.58,16.1,0.9,178,32.8,4.9,264,154.3,960.9,3.2,15.9,15.4,18,2,20,31,3,7,3.2,48.7,99.7,10.7,41.5,8.6,1.3,6.8,0.7,5.7,0.9,3.6,0.5,4.6,0.5,-77.3,-8.1,317.5
73,Carboniferous-Permian,AM-04-31a,granite,68.13,0.41,14.99,5.49,1.15,3.80,0.08,1.14,0.95,3.61,3.65,0.17,2.48,100.56,0.35,0.77,11.0,0.8,137,25.0,3.5,75,127.2,572.3,3.0,10.3,7.6,18,6,24,46,5,9,1.5,24.1,46.5,5.3,21.5,4.3,0.8,4.0,0.6,4.6,0.8,2.8,0.3,3.8,0.5,-77.6,-7.9,317.5
74,Carboniferous-Permian,AM-04-36,granite,77.29,0.09,12.53,1.23,0.33,0.81,0.04,0.09,0.59,3.16,4.58,0.07,0.45,100.03,0.17,0.90,14.3,1.4,90,43.7,4.7,43,228.8,559.1,4.6,18.3,27.8,16,2,10,2,2,2,2.7,27.3,56.4,7.1,27.7,6.8,0.6,6.9,1.3,7.1,1.6,4.9,0.7,6.1,0.6,-77.6,-7.7,317.5
75,Carboniferous-Permian,AM-04-43,granite,77.29,0.07,12.57,0.90,0.57,0.30,0.01,0.05,0.72,2.43,5.94,0.10,0.18,100.23,0.23,0.86,3.5,0.7,68,11.2,3.9,37,159.5,281.0,2.4,16.8,26.5,13,2,22,2,4,2,2.5,12.0,27.6,2.7,10.4,2.5,0.6,2.4,0.4,2.1,0.5,1.7,0.4,2.5,0.6,-77.6,-7.7,317.5
76,Carboniferous-Permian,AM-04-49,granite,70.83,0.39,15.44,3.23,0.72,2.24,0.04,0.76,2.94,3.98,1.64,0.13,1.18,100.28,0.38,0.75,15.7,0.5,258,39.0,8.8,210,74.3,510.2,1.9,25.7,15.7,19,6,9,36,4,12,1.7,62.7,124.7,13.6,54.3,10.0,1.9,8.8,1.5,6.7,1.4,5.6,0.7,3.8,0.6,-77.6,-7.7,317.5
77,Carboniferous-Permian,AM-04-4a,granodiorite,68.02,0.63,14.96,4.61,2.13,2.19,0.07,1.17,3.55,2.93,2.54,0.15,1.24,99.59,0.49,0.65,11.4,0.5,200,27.8,5.0,188,96.5,574.5,1.7,8.6,9.6,19,2,21,54,8,14,1.8,36.7,72.4,8.2,29.5,5.5,1.1,4.4,0.7,5.0,1.1,3.2,0.3,3.8,0.4,-77.4,-8.1,317.5
78,Carboniferous-Permian,AM-04-53,granite,77.81,0.05,12.65,0.73,0.45,0.25,0.03,0.02,0.62,3.29,4.87,0.12,0.25,100.41,0.12,0.93,6.8,0.9,47,26.5,2.5,24,209.9,43.8,5.6,20.3,24.6,14,2,17,4,2,2,3.9,8.3,20.4,2.4,10.4,2.6,0.5,2.0,0.6,2.3,1.0,2.2,0.4,2.7,0.5,-77.6,-7.7,317.5
79,Carboniferous-Permian,AM-04-55,granite,72.68,0.22,13.73,2.08,0.86,1.09,0.04,0.35,1.91,2.89,4.48,0.11,0.37,98.72,0.36,0.76,6.8,0.4,145,17.3,4.4,139,121.9,1202.4,1.4,12.4,15.4,15,2,29,14,2,3,1.2,34.5,68.1,7.1,26.3,4.1,1.1,5.5,0.5,2.8,0.6,1.2,0.3,1.8,0.3,-77.6,-7.7,317.5
80,Carboniferous-Permian,AM-04-57,granite,73.55,0.28,14.06,2.52,1.07,1.29,0.06,0.50,2.19,3.24,3.65,0.09,0.49,100.48,0.41,0.72,10.1,0.7,154,16.5,4.8,139,149.4,929.5,1.9,17.2,18.5,16,2,17,20,3,7,2.4,38.3,75.9,7.8,25.4,4.9,1.0,2.8,0.4,3.0,0.6,1.6,0.4,1.4,0.3,-77.6,-7.7,317.5
81,Carboniferous-Permian,AM-04-6,granite,68.83,0.46,15.55,3.90,1.07,2.51,0.06,0.93,2.86,3.60,3.01,0.15,1.20,100.24,0.40,0.73,14.1,1.1,232,28.9,6.5,176,129.7,648.8,1.9,11.8,11.6,18,3,36,40,6,10,3.1,42.8,84.2,9.3,34.2,6.3,1.4,5.2,0.8,5.5,1.3,2.7,0.5,4.3,0.5,-77.5,-7.9,317.5
82,Carboniferous-Permian,AM-04-72a,granite,73.57,0.31,14.61,2.45,0.61,1.63,0.04,1.15,0.71,4.95,2.09,0.18,1.27,101.11,0.56,0.59,13.3,0.9,147,24.4,4.7,75,76.1,273.8,1.7,10.8,3.2,17,2,15,25,5,2,0.5,32.4,68.4,7.3,28.2,5.0,0.7,5.8,0.6,3.5,0.7,2.8,0.4,2.2,0.4,-77.6,-7.7,317.5
83,Carboniferous-Permian,AM-04-8,granite,75.07,0.12,13.02,1.18,0.57,0.55,0.02,0.13,1.22,3.26,4.50,0.10,0.48,99.04,0.30,0.81,15.6,1.8,97,40.1,5.8,86,156.4,774.9,4.1,17.8,14.3,15,2,11,2,2,2,1.7,26.1,57.3,6.2,26.4,5.7,0.8,4.3,0.9,6.5,1.2,3.1,0.5,4.4,1.0,-77.5,-8.0,317.5
84,Carboniferous-Permian,AM-04-81,granite,68.17,0.40,15.22,3.70,0.74,2.61,0.08,0.87,2.72,3.21,3.51,0.18,1.97,99.66,0.37,0.75,11.1,0.8,190,30.7,5.6,149,128.6,872.7,2.9,13.7,18.1,19,3,17,62,2,12,1.8,37.6,75.9,9.1,30.2,5.4,1.4,4.5,0.8,5.2,1.0,3.8,0.4,3.3,0.4,-77.7,-7.7,317.5
85,Carboniferous-Permian,AM-04-82,granodiorite,64.18,0.69,15.72,6.13,2.19,3.46,0.13,1.90,4.34,2.37,2.83,0.31,1.95,100.09,0.49,0.65,12.3,0.7,201,31.1,4.3,165,108.1,801.3,3.0,11.4,14.9,19,7,33,114,11,19,2.3,27.1,59.1,7.2,28.8,4.8,1.2,5.8,0.6,5.4,0.9,3.1,0.5,2.6,0.5,-77.7,-7.7,317.5
86,Carboniferous-Permian,AM-04-83,quartz diorite,55.51,1.14,16.49,9.63,2.52,6.20,0.20,4.04,6.19,1.86,1.76,0.25,2.95,99.12,0.54,0.61,10.4,0.8,120,18.4,3.7,183,79.1,411.8,1.2,3.8,7.2,20,11,51,192,24,31,3.9,19.4,36.9,3.7,16.6,3.7,1.2,3.1,0.6,3.9,0.7,2.7,0.4,2.4,0.3,-77.7,-7.7,317.5
87,Carboniferous-Permian,AM-04-84,granodiorite,67.37,0.54,15.05,4.84,1.14,3.27,0.09,1.38,3.61,2.60,3.36,0.22,1.55,100.20,0.43,0.70,12.6,0.9,209,32.8,7.7,149,117.6,931.6,3.2,14.6,13.4,18,5,48,88,8,16,2.2,37.4,74.5,8.0,34.3,6.7,1.2,6.0,1.2,6.9,1.1,3.1,0.5,3.0,0.7,-77.7,-7.7,317.5
88,Carboniferous-Permian,AM-04-85,granite,71.49,0.29,15.25,2.91,0.57,2.09,0.06,0.54,2.98,3.09,3.68,0.07,0.86,100.97,0.31,0.80,11.3,0.9,184,41.8,5.8,129,165.7,849.6,4.5,19.3,15.9,18,3,27,38,3,7,3.3,42.0,81.7,9.3,32.7,6.7,0.9,8.3,1.4,7.1,1.5,5.2,1.0,4.3,0.7,-77.7,-7.7,317.5
89,Carboniferous-Permian,AM-04-89, granodiorite,67.31,0.49,16.34,4.18,1.16,2.69,0.08,0.89,3.54,4.10,2.60,0.15,1.15,100.49,0.37,0.75,11.9,1.0,256,32.8,8.7,208,111.9,946.9,2.3,13.7,13.5,20,2,5,33,7,13,3.2,60.8,114.2,11.7,48.9,8.5,1.8,7.2,1.0,6.8,1.3,3.8,0.5,3.1,0.5,-77.6,-7.7,317.5
90,Carboniferous-Permian,AM-04-93, granite,77.33,0.04,12.47,0.86,0.49,0.33,0.01,0.02,0.40,3.48,4.80,0.03,0.37,99.77,0.10,0.94,2.9,0.8,72,10.1,2.6,24,140.3,85.2,2.4,23.3,10.9,13,2,9,2,2,2,1.1,11.6,27.8,2.9,13.2,2.5,1.0,3.9,0.3,2.5,0.6,2.0,0.7,4.1,0.4,-77.6,-7.7,317.5
91,Carboniferous-Permian,AM-04-95, granite,72.56,0.28,13.80,2.58,0.59,1.78,0.06,0.62,1.98,3.24,3.48,0.13,0.73,99.24,0.38,0.74,12.3,0.9,120,27.9,3.9,180,109.8,1009.1,3.3,21.5,24.7,15,7,18,22,4,6,1.7,44.1,83.7,8.4,30.0,5.4,1.2,5.8,0.7,4.8,1.0,3.4,0.5,2.6,0.5,-77.6,-7.7,317.5
92,Carboniferous-Permian,AM-04-98, granite,75.21,0.23,13.28,1.84,0.31,1.35,0.03,0.56,1.12,6.10,0.56,0.19,1.51,100.45,0.43,0.71,14.2,1.1,144,35.3,4.7,71,33.9,58.6,2.9,15.0,2.3,15,2,20,18,4,5,0.6,25.5,54.6,6.6,25.1,4.7,0.7,4.8,0.8,5.7,1.3,4.4,0.4,3.5,0.6,-77.6,-7.7,317.5
93,Carboniferous-Permian,AM-04-99, granite,71.68,0.35,15.19,3.00,0.86,1.88,0.05,1.55,0.39,5.67,0.96,0.15,1.61,100.34,0.59,0.55,12.2,0.6,208,26.7,6.0,94,37.6,88.2,1.9,12.1,3.0,18,2,20,28,5,6,0.2,37.6,72.1,7.4,28.8,6.0,0.8,4.4,0.9,5.3,0.9,2.0,0.3,2.8,0.4,-77.6,-7.7,317.5
94,Carboniferous-Permian,C-AM-05-03,alkali feldspar granite,67.49,0.36,15.47,2.94,0.89,1.77,0.06,1.47,1.68,3.81,3.88,0.11,2.88,99.89,0.60,0.55,34.9,4.5,187,61.2,5.0,116,206.3,286.1,3.4,15.3,3.7,21,6,5,27,6,5,7.0,74.1,146.6,14.2,46.9,9.7,1.1,7.8,1.3,9.1,1.8,6.0,0.8,6.6,1.0,-75.6,-11.3,317.5
95,Carboniferous-Permian,C-AM-05-04,granite,71.77,0.23,14.63,2.01,0.86,1.03,0.03,0.54,2.30,3.38,3.99,0.09,0.71,99.54,0.48,0.66,8.7,0.8,128,10.2,2.9,282,103.4,817.5,1.9,11.1,13.4,17,2,5,22,5,4,1.0,20.2,38.5,3.7,14.7,2.2,0.5,2.1,0.2,1.5,0.3,0.9,0.1,1.4,0.2,-75.6,-11.3,317.5
96,Carboniferous-Permian,C-AM-05-05,granodiorite,61.20,0.73,16.55,7.49,2.17,4.68,0.13,2.90,4.64,1.52,2.93,0.16,2.15,99.76,0.53,0.62,9.6,0.7,125,23.9,3.5,174,144.9,433.2,1.9,7.7,23.9,20,22,61,129,23,24,5.9,27.0,55.8,5.7,24.7,4.6,1.0,4.0,0.6,4.1,0.9,2.7,0.4,3.1,0.4,-75.5,-11.2,317.5
97,Carboniferous-Permian,C-AM-05-26,granite,74.27,0.11,14.07,1.85,1.61,0.21,0.05,0.20,1.12,4.07,3.82,0.04,0.65,100.22,0.63,0.51,10.6,0.6,79,66.0,3.2,65,160.3,992.8,2.4,15.8,57.5,17,5,7,6,3,6,4.1,29.4,59.8,6.7,25.3,6.6,0.4,8.0,1.6,11.1,2.2,7.6,0.9,6.5,0.8,-75.2,-11.8,317.5
98,Carboniferous-Permian,C-AM-05-30,granite,69.37,0.33,15.72,3.34,1.05,2.04,0.07,0.95,2.61,4.09,2.92,0.14,0.93,100.22,0.45,0.68,12.6,1.2,149,25.7,3.7,345,113.6,578.8,2.4,17.3,21.6,18,9,20,30,8,5,2.7,37.0,72.8,8.2,29.5,5.4,1.3,4.9,0.6,4.0,0.8,2.6,0.3,2.8,0.4,-74.9,-12.0,317.5
99,Carboniferous-Permian,C-AM-05-44a,granodiorite,63.83,0.69,16.14,4.81,2.36,2.13,0.08,1.94,4.14,3.73,3.02,0.19,1.84,100.09,0.62,0.52,16.7,1.7,232,29.8,5.0,378,117.5,975.2,2.7,17.0,7.4,20,7,15,83,13,10,2.0,32.8,17.4,6.8,13.6,5.0,2.4,6.5,0.5,7.8,1.5,1.7,0.4,1.8,0.2,-75.8,-10.8,317.5
100,Carboniferous-Permian,C-AM-05-49a,granite,69.61,0.37,14.44,2.95,1.10,1.61,0.07,0.85,2.56,3.47,3.67,0.11,2.17,100.02,0.49,0.65,16.1,1.7,170,24.1,6.0,253,157.4,796.8,4.3,18.3,11.5,16,3,10,37,6,5,2.9,38.3,72.0,7.9,27.5,5.7,0.9,4.6,0.5,4.4,0.9,2.2,0.2,2.3,0.6,-75.9,-10.7,317.5
101,Carboniferous-Permian,C-AM-05-52, granite,72.94,0.25,13.63,1.33,0.68,0.57,0.07,0.18,0.75,3.79,4.99,0.04,1.74,99.61,0.36,0.76,14.8,0.6,219,13.7,6.9,95,141.2,1820.1,2.0,18.4,16.2,15,2,2,6,3,3,0.8,88.0,162.6,17.7,70.2,10.5,1.7,5.7,0.6,2.0,0.5,2.4,0.1,0.8,0.3,-76.2,-9.2,317.5
102,Carboniferous-Permian,C-AM-05-54, granite,71.35,0.35,15.11,3.54,1.74,1.60,0.05,1.01,2.41,3.36,2.35,0.10,0.67,100.09,0.53,0.61,7.7,0.5,149,11.2,4.4,123,98.4,277.7,1.4,13.2,8.6,16,6,16,41,6,11,3.0,33.5,61.3,6.4,23.3,3.4,1.2,4.0,0.4,2.2,0.3,1.1,0.1,0.8,0.2,-76.2,-8.7,317.5
103,Carboniferous-Permian,C-AM-05-55a, granite,70.41,0.28,14.64,2.53,1.58,0.81,0.09,0.34,1.61,4.62,3.55,0.08,1.83,99.85,0.43,0.70,21.7,1.5,290,57.9,9.7,230,120.7,1326.6,2.8,16.2,14.0,19,3,6,7,4,5,0.8,70.1,117.8,15.7,60.1,11.4,1.7,13.2,1.5,11.6,2.3,6.6,0.8,5.3,0.9,-76.6,-8.6,317.5
104,Carboniferous-Permian,C-AM-05-55b, granite,74.61,0.14,13.16,1.46,0.93,0.46,0.05,0.12,0.63,4.31,4.22,0.03,0.87,99.55,0.31,0.80,20.6,1.2,169,40.7,5.0,83,151.9,865.1,3.3,13.2,17.7,18,4,6,2,2,2,1.7,40.4,62.1,9.5,38.6,7.5,0.9,7.4,1.2,10.1,1.6,4.5,0.5,3.3,0.7,-76.6,-8.6,317.5
105,Carboniferous-Permian,C-AM-05-57, granite,72.99,0.33,13.88,1.89,1.16,0.64,0.10,0.38,1.20,4.76,3.62,0.08,0.57,99.71,0.51,0.63,19.0,1.0,261,34.1,8.8,155,124.9,1029.7,3.2,14.0,20.7,18,3,6,10,2,3,0.9,57.2,105.1,12.0,42.0,9.8,1.3,7.3,1.0,6.4,1.5,5.0,0.6,4.5,0.6,-76.5,-8.5,317.5
106,Carboniferous-Permian,C-AM-05-58,alkali feldspar granite,73.31,0.33,14.06,1.77,1.15,0.55,0.09,0.38,0.97,4.66,3.65,0.08,0.66,99.89,0.55,0.59,19.1,1.1,262,36.6,6.3,152,126.4,928.7,3.2,12.4,11.9,18,2,3,8,2,5,1.6,43.9,80.8,9.1,37.0,5.8,1.2,4.6,1.1,5.7,1.2,3.6,0.5,3.0,0.5,-76.5,-8.5,317.5
107,Carboniferous-Permian,N-AM-05-02a,quartz monzonite,69.66,0.48,14.52,3.09,1.77,1.18,0.07,0.90,2.59,3.78,3.70,0.13,0.47,99.24,0.58,0.57,16.8,1.3,201,33.3,6.4,261,893.9,158.3,3.3,18.1,15.1,18,3,7,40,9,7,2.3,46.4,93.6,10.6,40.9,7.6,1.1,6.5,0.9,6.4,1.3,3.5,0.6,3.1,0.6,-77.2,-8.1,317.5
108,Carboniferous-Permian,N-AM-05-03, granite,69.95,0.48,14.87,3.06,1.18,1.68,0.07,0.95,2.52,3.84,3.73,0.12,0.54,99.92,0.50,0.64,16.7,1.5,207,32.7,6.9,263,961.1,156.2,3.0,19.5,20.6,19,3,5,37,7,8,2.4,49.6,96.6,10.8,41.2,7.7,1.3,8.0,1.0,6.3,1.4,4.0,0.5,3.9,0.6,-77.2,-8.1,317.5
109,Carboniferous-Permian,N-AM-05-04, granite,69.75,0.54,15.10,3.51,1.59,1.72,0.09,1.06,2.89,3.93,3.28,0.03,0.56,100.53,0.52,0.62,15.2,1.2,224,31.9,7.3,302,988.9,135.0,2.9,15.9,17.8,19,4,9,46,8,9,2.9,44.9,94.2,9.5,36.8,7.1,1.2,5.6,0.9,5.7,1.2,3.6,0.6,2.9,0.7,-77.3,-8.1,317.5
110,Carboniferous-Permian,N-AM-05-06, granite,68.85,0.52,15.15,3.38,0.60,2.49,0.09,1.08,2.90,3.93,3.44,0.01,0.72,99.77,0.44,0.70,15.4,1.2,213,31.6,6.4,295,1023.8,143.0,3.4,17.7,21.4,19,3,12,42,9,9,3.1,48.4,92.4,10.6,40.9,8.6,1.6,7.4,0.9,5.6,1.2,3.7,0.6,4.3,0.7,-77.3,-8.1,317.5
111,Carboniferous-Permian,N-AM-05-07, granite,75.90,0.11,13.40,1.35,0.72,0.56,0.02,0.09,1.02,3.89,4.16,0.00,0.40,100.27,0.22,0.86,17.3,1.4,133,42.0,4.9,74,598.6,158.8,3.6,13.3,15.1,17,2,20,2,6,5,1.3,22.0,50.7,5.6,20.6,3.6,0.9,6.7,1.1,6.2,1.5,4.2,0.4,3.1,0.6,-77.4,-8.1,317.5
112,Carboniferous-Permian,N-AM-05-09, granite,70.70,0.35,14.98,3.00,0.44,2.28,0.02,0.79,2.77,3.38,3.17,0.07,1.05,100.01,0.38,0.74,12.4,1.1,177,27.2,5.8,218,748.6,99.4,2.3,14.0,11.3,17,3,10,29,8,7,0.9,42.4,69.8,8.1,29.6,5.3,1.1,5.0,0.8,5.2,0.9,3.0,0.5,2.7,0.5,-77.4,-8.1,317.5
113,Carboniferous-Permian,N-AM-05-17,alkali feldspar granite,69.71,0.29,16.33,2.98,1.06,1.70,0.05,0.85,1.89,4.33,2.23,0.03,1.37,99.83,0.47,0.67,14.3,0.9,205,18.6,5.7,311,312.2,96.0,1.5,14.1,13.0,19,3,6,19,7,7,5.6,49.4,89.5,9.4,36.3,5.2,1.0,4.5,0.7,4.1,0.7,2.1,0.4,2.3,0.4,-78.1,-6.9,317.5
114,Carboniferous-Permian,N-AM-05-20, granodiorite,62.13,0.71,17.02,5.87,1.29,4.06,0.10,2.19,5.20,3.21,2.35,0.04,1.54,99.86,0.49,0.65,11.2,0.9,195,28.8,6.5,233,1130.9,94.3,1.1,5.5,15.2,20,6,24,102,20,16,4.3,20.6,41.5,5.7,26.0,5.5,1.5,6.0,0.9,6.4,1.3,3.5,0.5,3.8,0.5,-78.0,-6.9,317.5
115,Carboniferous-Permian,N-AM-05-22, granodiorite,64.60,0.60,16.26,5.14,1.11,3.55,0.08,1.78,4.49,3.13,2.16,0.00,2.00,99.76,0.47,0.67,11.2,0.9,170,18.1,5.4,218,615.9,99.9,0.8,7.7,9.4,19,4,17,80,14,17,2.4,23.8,44.6,5.2,21.6,3.9,1.2,3.8,0.5,3.9,0.7,2.2,0.3,2.0,0.3,-78.0,-6.8,317.5
116,Carboniferous-Permian,N-AM-05-24,alkali feldspar granite,72.25,0.18,15.24,1.78,0.37,1.25,0.06,0.55,1.42,4.12,3.52,0.09,1.22,100.28,0.44,0.69,11.8,1.6,105,20.4,3.1,210,693.3,137.9,3.1,11.1,30.4,17,3,5,13,5,5,5.2,27.4,55.2,5.4,19.0,7.2,0.8,3.7,0.8,4.0,0.7,2.5,0.4,3.3,0.5,-78.0,-6.8,317.5
117,Carboniferous-Permian,N-AM-05-27a, granodiorite,67.11,0.37,16.89,3.20,0.53,2.37,0.05,1.08,4.36,3.85,1.65,0.00,1.32,99.58,0.45,0.69,10.8,0.5,92,34.5,2.3,183,455.7,57.0,0.9,6.5,12.0,21,8,70,302,41,29,1.0,28.0,43.0,3.9,14.9,2.7,1.0,2.4,0.3,1.4,0.3,0.8,0.3,1.4,0.2,-78.0,-7.0,317.5
118,Carboniferous-Permian,N-AM-05-28a, tonalite,59.92,0.80,16.22,6.85,0.52,5.58,0.13,2.59,4.34,3.18,2.71,0.18,2.36,98.53,0.45,0.68,12.3,0.7,238,31.6,5.8,215,664.7,110.2,1.0,3.9,10.4,20,6,23,123,18,18,4.3,20.1,49.1,6.0,23.3,5.3,1.1,5.2,0.8,5.0,1.1,3.0,0.4,3.2,0.5,-78.0,-7.0,317.5
119,Carboniferous-Permian,S-AM-06-10, granite,74.17,0.15,14.16,1.30,0.85,0.40,0.04,0.22,1.08,3.52,4.90,0.08,0.59,100.16,0.50,0.64,13.6,1.2,130,18.8,4.0,135,189.8,854.9,2.7,13.6,217.1,16,3,4,5,3,4,4.1,35.7,68.1,7.3,26.6,5.5,0.9,4.3,0.6,3.6,0.6,1.9,0.3,2.0,0.3,-72.5,-13.2,317.5
120,Carboniferous-Permian,S-AM-06-11,alkali feldspar granite,73.66,0.23,14.09,1.69,0.85,0.75,0.03,0.39,0.73,4.06,4.49,0.09,0.59,99.95,0.48,0.66,19.5,1.6,182,22.9,4.7,132,168.9,868.8,3.2,12.9,14.8,15,3,5,11,3,3,1.8,36.3,69.5,7.6,28.2,5.0,0.7,4.3,0.7,4.2,0.8,2.1,0.3,2.4,0.4,-72.5,-13.2,317.5
121,Carboniferous-Permian,S-AM-06-12a, granite,73.72,0.20,14.26,1.57,0.79,0.70,0.04,0.32,1.33,3.75,4.44,0.06,0.37,99.96,0.45,0.69,16.7,1.4,127,26.1,3.9,142,179.9,809.9,5.5,15.0,50.4,17,4,5,10,5,3,4.6,39.1,72.6,7.8,26.8,5.0,0.7,4.4,0.7,4.6,0.9,2.6,0.4,2.8,0.4,-72.5,-13.2,317.5
122,Carboniferous-Permian,S-AM-06-12b, granodiorite,67.73,0.46,16.89,3.50,1.81,1.51,0.07,0.75,3.08,4.92,2.56,0.12,0.37,100.28,0.47,0.67,14.6,0.8,303,17.1,6.6,370,82.1,791.7,2.4,5.9,11.5,21,4,3,31,7,8,1.9,26.1,45.6,4.9,17.5,3.5,1.6,3.2,0.5,3.0,0.7,1.6,0.2,1.6,0.3,-72.5,-13.2,317.5
123,Carboniferous-Permian,SC-AM-05-05, granite,74.05,0.19,14.15,1.72,0.46,1.12,0.03,0.27,1.44,3.88,4.45,0.05,0.59,100.69,0.30,0.81,6.5,0.7,164,13.0,5.5,114,83.6,723.5,1.0,27.7,12.4,18,2,5,12,6,3,1.6,51.1,79.0,8.6,34.1,4.7,0.8,5.0,0.5,2.4,0.6,1.1,0.1,1.8,0.2,-74.6,-12.4,317.5
124,Carboniferous-Permian,S-AM-06-09,alkali feldspar granite,67.75,0.58,15.01,2.76,1.22,1.35,0.03,1.56,1.25,4.69,4.46,0.13,1.52,99.56,0.67,0.46,24.3,1.8,407,32.5,9.9,140,117.8,873.4,3.4,15.5,153.9,20,7,13,41,7,7,1.2,49.4,94.1,10.0,37.3,7.6,1.0,6.6,0.9,5.9,1.2,3.3,0.5,3.4,0.5,-72.1,-13.3,317.5
125,Late Ordovician,S-AM-06-04a,alkali feldspar granite,71.35,0.28,14.40,2.33,0.70,1.63,0.07,1.02,1.05,2.91,5.18,0.12,1.18,99.77,0.53,0.62,19.9,1.6,133,28.6,3.7,197,208.8,968.7,2.7,17.1,46.3,16,7,8,37,6,3,1.6,33.6,66.5,7.6,29.2,5.9,1.0,5.1,0.7,4.8,1.0,2.8,0.4,3.0,0.4,-72.4,-13.2,446.5
126,Late Ordovician,DC-04/5-1,monzodioritic schist,53.30,1.15,14.91,12.27,3.60,8.59,0.21,6.00,7.93,2.38,0.98,0.19,0.59,99.92,0.55,0.59,7.6,0.5,93.0,26.6,1.1,186.5,36.3,303.4,1.0,11.1,5.3,20.0,76.0,76.0,286.0,42,48,0.0,18.6,40.4,5.3,19.9,4.8,1.3,5.2,0.8,4.7,1.0,2.9,0.4,2.7,0.4,-77.7,-8.0,446.5
127,Late Ordovician,DC-04/5-2,granodioritic orthogneiss,66.47,0.78,14.57,5.97,1.79,4.18,0.10,1.39,2.84,2.98,2.88,0.28,0.66,98.93,0.37,0.75,14.1,1.1,241.0,27.9,2.7,110.8,140.2,506.0,2.3,35.9,15.8,20.0,9.0,30.0,73.0,15,11,0.0,46.5,96.8,11.9,41.2,8.0,1.9,7.0,0.9,5.1,1.0,2.9,0.4,2.9,0.4,-77.7,-8.0,446.5
128,Late Ordovician,DC-05/6-5,foliated granitic garnet gniess,71.39,0.42,14.14,3.43,1.03,2.40,0.05,0.89,1.66,2.66,4.77,0.13,0.66,100.19,0.40,0.73,11.5,0,165,38.5,0,0,198.5,0,0,0,0,18,9,24,42,10,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.4,-8.5,446.5
129,Late Ordovician,SU-03-24,migmatitic paragneiss,65.43,0.87,16.58,6.65,2.00,4.66,0.08,1.92,0.61,1.15,3.30,0.11,3.03,99.21,0.42,0.71,17.3,2.3,205,33.7,0.1,103,141.3,616.5,2.8,23.9,14.4,22,41,138,140,19,19,0.0,42.6,80.9,9.4,36.1,7.2,1.3,6.4,0.9,5.3,1.0,2.8,0.4,2.4,0.4,-75.5,-11.2,446.5
130,Late Ordovician,SU-03-25,quartz-augen paragneiss,71.79,0.67,13.21,5.09,1.53,3.56,0.18,1.87,0.78,1.06,2.74,0.07,1.81,98.84,0.48,0.66,14.6,1.8,143,24.3,0.3,91,107.6,1310.5,2.1,18.5,17.0,19,44,89,104,16,14,0.0,30.6,64.9,6.8,25.7,5.3,1.0,4.8,0.7,4.5,0.9,2.6,0.4,2.2,0.3,-75.5,-11.2,446.5
131,Early Ordovician,DC-05/5-7, paragneiss,73.55,0.21,14.29,1.90,0.57,1.33,0.03,0.47,0.87,3.55,4.47,0.14,0.70,100.18,0.39,0.74,17.1,0,120,29.4,0,0,150.3,0,0,0,0,17,3,13,10,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,-6.8,475.0
132,Early Ordovician,SU-03-19, quartz monzonite,71.49,0.461,14.42,3.03,0.91,2.12,0.07,0.97,1.26,3.00,4.44,0.11,0.96,100.21,0.45,0.69,21.0,3.3,154.0,26.5,6.0,159.4,161.6,494.8,3.4,17.7,28.7,17.0,10.0,35.0,40.0,7,6,0.0,30.0,54.9,6.3,23.8,5.0,0.8,4.7,0.8,4.6,0.9,2.6,0.4,2.4,0.4,-75.8,-11.1,475.0
133,Middle Neoproterozoic,C-AM-05-22, quartz monzonite,64.16,0.49,15.44,6.9,2.47,3.98,0.17,0.16,2.15,4.44,5.82,0.08,0.60,99.95,0.07,0.96,108.7,9.5,1512,130.3,33.7,69,258.0,511.2,4.0,52.4,35.5,39,6,2,3,4,4,0.4,268.7,488.7,50.6,175.9,27.3,4.3,22.0,3.0,20.1,4.1,13.2,2.3,16.8,2.7,-74.8,-11.5,
