,sample,reference,region,age,error,method,a/cnk,a/nk,sr/y,y_ppm,rb/y,sio2,tio2,al2o3,fe2o3,mno,mgo,cao,na2o,k2o,p2o5,total,loi,cr_ppm,be_ppm,sc_ppm,ni_ppm,cu_ppm,zn_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,mo_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,w_ppm,pb_ppm,th_ppm,u_ppm,co_ppm,longitude,latitude
13,M346,5,P,202.0,,Field rel.,0.91,1.89,76.76,11.70,5.15,60.86,0.68,17.76,5.23,0.08,3.14,5.54,4.36,2.07,0.25,99.78,0.70,,< 1,10.00,20.00,,,60.20,898.10,11.70,,4.40,,1.50,606.00,27.30,56.20,6.84,27.20,4.71,1.25,3.52,0.45,2.33,0.41,1.17,0.16,1.08,0.15,3.50,0.30,0.60,,6.60,,,-67.17833333333333,-47.276666666666664
14,ALT-1,5,P,183.0,,Field rel.,1.09,1.39,19.53,18.87,6.67,69.33,0.45,16.35,2.64,0.08,0.56,1.80,4.22,4.42,0.12,99.91,2.04,,2.06,,,,,125.78,368.57,18.87,298.71,11.26,,1.61,1569.10,47.18,88.99,10.10,36.81,6.13,1.31,4.35,0.65,3.54,0.70,2.05,0.31,2.09,0.33,7.49,0.78,0.78,,10.67,,,-67.7675,-43.833
15,ALT-2,5,P,183.0,,Field rel.,1.12,1.19,0.56,31.20,6.07,77.31,0.18,12.23,1.33,0.11,0.40,0.37,2.76,5.30,0.01,99.61,1.88,,3.42,,,,,189.50,17.47,31.20,209.51,21.83,,1.34,109.34,46.43,96.41,9.94,33.70,6.46,0.53,5.16,0.91,5.38,1.12,3.34,0.53,3.50,0.55,7.08,1.03,0.42,,15.98,,,-67.28933333333333,-43.70466666666667
16,ALT-3,5,P,183.0,,Field rel.,1.02,1.05,0.18,55.61,2.82,72.27,0.46,14.24,2.30,0.08,0.16,0.18,4.44,5.84,0.03,99.55,1.09,,3.22,,,,,157.06,10.12,55.61,683.43,22.64,,2.47,10.90,120.04,259.16,37.78,144.84,28.18,0.63,18.13,2.50,12.67,2.31,6.12,0.89,5.75,0.86,15.08,1.18,0.53,,18.60,,,-67.90216666666667,-43.710166666666666
17,ALT-4,5,P,183.0,,Field rel.,0.94,1.12,2.65,28.23,6.85,74.78,0.20,13.16,1.39,0.12,0.29,1.24,3.97,4.82,0.04,99.64,1.47,,3.35,,,,,193.25,74.80,28.23,181.54,22.13,,1.55,397.59,54.80,102.22,10.78,35.56,6.35,0.75,4.83,0.86,4.54,0.96,2.95,0.48,3.10,0.48,5.77,1.64,0.48,,24.29,,,-67.48016666666666,-43.691
18,ALT-5,5,P,183.0,,Field rel.,1.11,1.14,5.65,13.39,11.20,72.55,0.22,14.82,1.74,0.16,0.22,0.20,3.80,6.23,0.05,99.70,0.74,,1.68,,,,,149.95,75.61,13.39,250.78,10.26,,3.31,795.70,66.35,131.76,14.12,45.95,7.09,0.99,4.05,0.61,3.09,0.61,1.80,0.28,1.90,0.30,6.48,0.60,0.38,,11.48,1.33,1.46,-66.48383333333334,-43.6955
19,ALT-6,5,P,183.0,,Field rel.,1.08,1.11,1.17,38.01,6.70,77.37,0.13,12.25,1.43,0.15,0.18,0.16,3.66,4.65,0.03,99.93,0.50,,3.99,,,,,254.52,44.35,38.01,97.19,28.90,,1.96,148.20,23.11,48.54,5.89,21.14,5.53,0.30,5.22,1.03,6.32,1.35,4.10,0.64,4.17,0.61,4.47,2.33,0.51,,29.12,4.97,1.58,-66.44816666666667,-43.692166666666665
20,ALT-7,5,P,183.0,,Field rel.,1.08,1.12,1.30,33.41,9.00,77.37,0.11,11.96,1.62,0.16,0.12,0.22,2.76,5.65,0.02,99.56,0.76,,3.97,,,,,300.57,43.29,33.41,87.84,25.26,,16.94,120.44,21.63,46.40,5.31,18.65,4.75,0.22,4.38,0.86,5.31,1.15,3.55,0.57,3.76,0.56,4.12,1.72,0.95,,26.80,3.31,1.20,-66.42866666666667,-43.697
21,DC-12,5,P,183.0,,Field rel.,1.01,1.07,1.08,36.04,16.40,77.20,0.16,12.01,1.04,0.04,0.15,0.33,2.58,6.47,0.03,99.57,0.77,,8.84,,,,,591.11,39.08,36.04,156.92,30.75,,14.64,124.26,45.19,90.19,9.59,30.75,5.79,0.42,4.69,0.94,5.68,1.24,4.03,0.72,4.94,0.78,5.88,4.03,437.16,,46.09,2.96,60.21,-65.83833333333334,-40.60666666666667
22,DC-14,5,P,183.0,,Field rel.,1.07,1.19,1.54,55.34,9.26,77.02,0.23,12.78,1.12,0.04,0.26,0.71,3.95,3.88,0.02,99.81,5.22,,7.02,,,,,512.42,85.35,55.34,179.40,28.99,,43.32,184.50,73.41,160.57,18.52,65.99,13.57,1.26,11.13,1.92,11.18,2.13,6.21,0.99,6.44,0.93,5.91,3.30,262.17,,39.21,10.23,36.19,-65.84666666666666,-40.61333333333333
23,DC-49,5,P,183.0,,Field rel.,0.96,1.20,6.22,29.28,7.90,83.62,0.13,8.51,0.66,0.03,0.21,0.96,1.34,4.52,0.03,100.10,2.13,,5.34,,,,,231.27,182.12,29.28,109.70,15.52,,8.16,158.66,37.23,76.73,8.09,27.03,5.23,0.44,4.21,0.77,4.80,0.97,3.06,0.50,3.25,0.48,3.61,2.12,405.40,,23.12,5.87,47.50,-65.85833333333333,-40.626666666666665
24,M63,5,P,167.0,,Field rel.,1.17,1.19,1.69,33.90,12.13,73.90,0.28,13.50,1.93,0.04,0.25,0.13,1.06,8.87,0.02,99.80,1.10,,4.00,5.00,< 20,,,411.20,57.30,33.90,244.40,14.40,,21.30,1351.00,62.50,119.20,13.98,51.60,8.69,1.58,7.12,1.08,6.22,1.17,3.51,0.54,3.45,0.54,7.00,0.90,3.50,,15.10,2.30,0.80,-66.425,-47.73166666666667
25,M758,5,P,167.0,,Field rel.,1.24,1.31,1.22,44.60,3.18,74.00,0.35,14.40,1.99,0.05,0.22,0.32,2.97,5.64,0.03,99.80,1.50,,2.00,9.00,< 20,,,141.90,54.60,44.60,332.20,17.10,,3.20,1389.00,77.40,152.10,19.81,72.70,13.33,2.73,10.15,1.51,8.34,1.65,4.83,0.71,4.67,0.72,9.40,1.00,1.40,,13.50,1.60,0.50,-66.49833333333333,-47.81166666666667
