,sample,reference,domain,lithology,age ±2σ,method,latitude,longitude,sio2,tio2,al2o3,feo,mno,mgo,cao,na2o,k2o,p2o5,cr2o3,total,loi,nio,be_ppm,sc_ppm,ni_ppm,cu_ppm,zn_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,mo_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,er_ppm,tm_ppm,yb_ppm,ybn,lu_ppm,hf_ppm,ta_ppm,w_ppm,pb_ppm,th_ppm,u_ppm,co_ppm,ag_ppm,sn_ppm,sb_ppm,bi_ppm,as_ppm,age,age_error,code,internal code,error,fe#,a/cnk,a/nk,y+nb,sr/y,rb/y,fe2o3,ho_ppm,εndi,type,source,si_ppm,fe_ppm,mg_ppm,asi
12,PRR-24226,,,,,U-Pb Zr,-62.73,-61.2,66.74,0.65,14.29,,0.09,1.60,4.61,3.41,0.93,0.13,0.00,99.69,3.28,0.00,1.69,15.19,7.82,11.40,47.07,51.60,307.49,17.96,149.23,3.73,1.09,15.63,301.86,15.53,30.39,3.39,14.00,2.95,0.88,2.97,0.43,3.06,1.92,0.29,2.07,,0.31,3.75,0.29,0.47,7.62,4.53,1.11,7.72,0.00,0.00,0.00,0.00,0.00,115.66,,,,0.21,,,,,,,4.08,0.64,,Plutonic,Plutonic,31.20,2.86,0.96,2.29
13,N11.12.1,,,,,U-Pb Zr,-71.73,-62.52,61.36,0.60,17.16,,0.12,2.68,5.81,3.04,2.02,0.14,0.00,99.15,0.66,0.00,1.95,19.51,7.19,16.77,60.24,69.48,309.95,21.88,143.95,6.74,1.56,2.59,378.14,42.23,73.40,7.23,25.28,4.55,0.94,4.24,0.62,4.13,2.36,0.35,2.39,,0.37,3.99,0.55,0.22,9.24,19.90,1.81,16.12,0.00,1.41,0.34,0.06,1.82,115.52,,,,0.14,,,,,,,6.39,0.82,,Plutonic,Plutonic,28.68,5.52,1.62,2.31
14,R5979.1,,,,,U-Pb Zr,-70.93,-66.26,63.30,0.70,17.06,,0.06,2.43,5.04,3.80,2.44,0.20,0.01,98.97,1.12,0.00,3.46,14.80,21.70,10.34,73.21,51.68,803.16,8.06,193.53,5.91,0.87,0.85,1047.19,26.98,50.88,5.38,20.33,3.41,0.98,2.45,0.27,1.64,0.80,0.11,0.75,,0.11,5.03,0.31,0.93,18.97,4.34,0.84,13.95,0.03,1.74,8.88,0.06,0.00,114.93,,,,0.19,,,,,,,4.43,0.29,,Plutonic,Plutonic,29.59,3.10,1.47,1.86
15,P14.03.1,,,,,U-Pb Zr,-74.32,-64.63,75.63,0.35,14.14,,0.06,1.30,2.75,2.23,4.38,0.07,0.00,103.73,0.65,0.00,1.92,13.22,8.65,22.56,39.61,150.45,269.18,9.10,69.77,4.50,0.89,4.05,670.99,14.68,26.24,2.70,9.57,2.00,0.58,1.84,0.24,1.67,0.98,0.15,1.11,,0.17,2.22,0.50,0.56,22.70,8.44,0.97,7.84,0.00,1.26,0.60,0.05,1.09,114,,,,0.19,,,,,,,3.12,0.32,,Plutonic,Plutonic,35.35,2.70,0.79,1.41
16,N11.8.1,,,,,U-Pb Zr,-71.5,-63.01,67.52,0.00,14.03,,0.00,2.01,4.46,2.45,2.80,0.13,0.00,99.80,0.40,0.00,1.48,6.34,5.58,8.81,5.35,1.53,41.08,2.74,4.88,1.94,0.53,2.63,4.25,3.95,3.38,2.72,2.92,2.12,1.30,2.20,0.76,1.98,1.68,0.50,1.76,,0.52,2.21,0.96,0.30,2.18,3.41,0.71,16.34,0.00,0.00,0.00,0.00,0.00,113.08,,,,0.19,,,,,,,5.45,0.93,,Plutonic,Plutonic,31.56,3.81,1.21,1.79
17,N11.3.1,,,,,U-Pb Zr,-71.56,-62.82,61.25,0.49,18.02,,0.13,2.42,6.38,3.01,1.77,0.11,0.00,99.40,0.63,0.00,1.96,15.92,3.70,9.44,62.97,66.85,323.79,19.62,105.56,7.00,0.57,2.50,455.89,25.27,49.59,5.42,20.26,3.90,0.86,3.42,0.55,3.46,2.09,0.31,2.19,,0.33,2.99,0.55,0.20,14.17,9.46,1.46,13.07,0.00,13.07,0.47,0.06,1.39,112.39,,,,0.09,,,,,,,6.04,0.70,,Plutonic,Plutonic,28.63,5.22,1.46,2.58
18,J6.290.1,,,,,U-Pb Zr,-67.6,-68.74,64.26,0.70,21.71,,0.02,1.09,2.34,3.75,2.80,0.06,0.00,100.22,1.86,0.00,3.89,20.30,6.50,12.20,111.48,93.86,478.98,45.02,362.74,12.31,0.79,3.94,915.91,132.06,262.60,30.23,127.35,24.31,3.26,18.54,2.00,10.43,5.08,0.68,4.81,,0.71,9.03,0.80,2.97,19.58,11.66,3.39,4.02,0.03,3.28,12.54,0.13,0.00,112.26,,,,0.24,,,,,,,3.22,1.82,,Plutonic,Volcanic,30.04,2.25,0.66,2.25
19,PRR-6061,,,,,U-Pb Zr,-64.88,-62.55,74.25,0.21,13.47,,0.06,0.40,1.90,3.71,3.64,0.08,0.00,0.08,0.45,0.00,2.82,4.09,1.84,2.23,22.04,131.22,226.73,12.48,113.17,7.94,0.22,1.83,578.63,22.29,42.47,4.39,15.42,2.60,0.64,2.15,0.29,2.00,1.29,0.21,1.57,,0.25,3.17,0.87,0.49,12.50,16.87,1.56,0.00,0.00,0.00,0.00,0.00,0.00,112.18,,,,0.35,,,,,,,1.80,0.43,,Plutonic,Plutonic,34.71,1.26,0.24,1.23
20,PRR-6031,,,,,U-Pb Zr,-65.25,-64.08,74.01,0.21,13.47,,0.08,0.31,0.68,4.61,3.99,0.05,0.00,0.05,0.81,0.00,3.39,5.21,2.26,3.75,42.40,127.35,136.37,19.40,135.04,9.05,0.34,1.18,723.86,33.09,61.97,6.29,22.09,3.86,0.52,3.27,0.50,3.24,2.10,0.32,2.36,,0.36,3.83,0.88,3.75,45.59,12.71,2.11,0.00,0.00,0.00,0.00,0.00,0.00,112.18,,,,0.2,,,,,,,1.69,0.68,,Plutonic,Plutonic,34.59,1.18,0.19,1.06
21,PRR-5992,,,,,U-Pb Zr,-68.13,-67.12,62.96,0.00,16.58,,0.00,1.61,4.31,4.35,2.68,0.22,0.00,99.36,0.93,0.00,0.90,3.46,2.75,1.86,5.15,0.75,76.40,1.58,8.57,1.21,1.25,1.46,4.57,4.26,3.18,2.78,2.83,2.08,3.08,1.87,0.80,1.36,1.22,0.54,1.31,,0.59,3.60,0.61,2.22,1.43,1.64,0.73,10.86,0.00,0.00,0.00,0.00,0.00,111.67,,,,0.28,,,,,,,4.76,0.87,,Plutonic,Plutonic,29.43,3.33,0.97,1.61
