,Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Longitude,Latitude
62,CB55_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398281.0,7345377.0,140.0,52.55,0.81,18.27,8.82,7.936236,,,7.936236,0.15,6.21,8.73,2.66,1.13,0.163,1.59,101.083,99.493,401.0,6,223.0,1.1,0.49,,2.0,56.0,1.854556018,22.0,7.921132754,18.2157889,2.624575506,11.16474742,2.627173209,0.896689819,2.667280289,0.398341156,2.42064194,0.497526662,1.373819871,0.204467173,1.268070086,0.189085135,10,33.0,,9,16.0,58.0,,,,,,,,,,,0.750082749,,,,,3.95,,,-70.00004617829835,-24.00031946673891
63,U_24,Lucassen et al 2006,,P,DS Coastal Batholith,,355708.0,7363470.0,140.0,61.25,0.53,17.29,5.74,5.164852,,,5.164852,0.11,2.93,6.58,3.93,1.19,0.14,0.718,99.69,98.972,410.6904352,22.27898602,342.0,1.459152274,0.414342404,,3.0,112.0,,14.0,7.910048798,19.77052046,2.597509989,11.28119476,2.532484288,0.838027683,2.321307472,0.360152532,2.219802828,0.462932572,1.342081836,0.194772117,1.339651717,0.204016431,,59.0,,13,29.0,107.0,,,,,,,,,,,1.191928716,,,,,5.144676482,,,-70.4167326933857,-23.833646099364866
64,U_8,Lucassen et al 2006,,P,DS Coastal Batholith,,355708.0,7363470.0,140.0,58.28,0.64,18.08,7.57,6.811486,,,6.811486,0.13,3.15,6.86,3.83,1.26,0.16,0.947,99.96,99.013,427.7682343,26.88573628,335.0,1.886457707,0.646837185,,3.0,114.0,,18.0,9.051069633,21.47278083,3.047502868,14.08820242,3.4066855,1.090298264,3.386001038,0.508604414,3.179864234,0.654926187,1.869429835,0.272462541,1.801038162,0.268231551,,66.0,,10,30.0,135.0,,,,,,,,,,,1.020921309,,,,,4.869709926,,,-70.4167326933857,-23.833646099364866
65,U_83,Lucassen et al 2006,,P,DS Coastal Batholith,,355708.0,7363470.0,140.0,62.0,0.5,16.96,5.7,5.12886,,,5.12886,0.12,2.51,5.5,3.89,1.4,0.14,0.837,98.72,97.883,368.2524954,27.72914029,293.0,2.435319588,0.576940277,,4.0,92.0,,16.0,9.414828688,21.52490184,2.71951694,11.53883038,2.511504436,0.825275231,2.421270512,0.372307186,2.302303831,0.476925499,1.449801052,0.212783768,1.475027935,0.239396162,,74.0,,9,4.0,149.0,,,,,,,,,,,1.309209925,,,,,6.346032867,,,-70.4167326933857,-23.833646099364866
66,U_85,Lucassen et al 2006,,P,DS Coastal Batholith,,355708.0,7363470.0,140.0,59.37,0.69,17.0,7.02,6.316596,,,6.316596,0.14,2.9,6.16,3.56,1.69,0.18,0.755,98.71,97.955,364.3635904,33.89008634,347.0,3.440477037,0.843261811,,2.0,102.0,,21.0,12.2159302,27.33030233,3.591410405,15.58364965,3.504416666,1.026410877,3.406030894,0.533629776,3.309562361,0.682864284,2.012828481,0.296177092,1.966304309,0.294886052,30,78.0,,45,45.0,230.0,,,,,,,,,,,1.744702514,,,,,5.49,,,-70.4167326933857,-23.833646099364866
67,PC 1049,Marschik et al 2003,Andesite,P,Dike,Batolito Copiapó,370155.0,6948420.0,140.0,58.77,0.4,18.05,,,6.04,,6.04,0.04,2.13,1.7,6.94,3.68,0.21,2.39,100.35,97.96,125.0,58,494.0,<1,<2,,2.5,118.0,4.0,15.0,,,,,,,,,,,,,,,0,18.0,14.0,<2,11.0,92.0,,,<4,0,,,,,,,,20.0,,,,<2,,,-70.31549376070652,-27.581909504382274
68,PC909,Marschik et al 2003,Dacite,P,Dike,Batolito Copiapó,371640.0,6951380.0,140.0,68.63,0.29,14.93,,,3.31,,3.31,0.02,1.19,0.41,4.63,4.76,0.11,1.04,99.32,98.28,66.0,76,769.0,3,2,,4.0,123.0,6.0,15.0,,,,,,,,,,,,,,,3,20.0,64.0,56,6.0,41.0,,,6,5,,,,,,,,16.0,,,,3,,,-70.30013707405001,-27.55533563736524
69,PC 914,Marschik et al 2003,Dacite,P,Dike,Batolito Copiapó,371555.0,6951380.0,140.0,64.75,0.44,15.36,,,4.41,,4.41,0.11,1.67,2.15,3.69,4.7,0.11,2.38,99.77,97.39,311.0,78,1925.0,<2,<2,,4.0,107.0,3.0,20.0,,,,,,,,,,,,,,,8,54.0,64.0,56,8.0,92.0,,,6,<3,,,,,,,,16.0,,,,6,,,-70.30099784471126,-27.555327580086562
70,PR-11-153,Rossel et al 2013,Diorite (micro),P,Agua Salada Volcanic Complex,0,275629.0,6729590.0,143.3,54.68,0.95,14.76,6.1,5.94,1.58,4.52,5.94,0.07,4.34,9.08,3.05,0.88,0.36,5.63,99.9,94.27,184.42,9.29,130.44,3.6,0.87,0.05,2.25,62.25,1.57,17.87,9.7,21.37,2.41,12.74,2.92,0.67,2.75,0.42,2.33,0.47,1.32,0.18,1.19,0.17,15.76,11.14,8.91,11.68,26.04,99.43,0.0,0.0,9.12,0,0.0,0.08,0.52,0.06,0.0,0.01,0.28,6.61,0.45,0.0,1.07,1.35,0.04,0.0,-71.31549136062478,-29.54323395327528
71,PR-11-154,Rossel et al 2013,Diorite (micro),P,Agua Salada Volcanic Complex,0,278965.0,6724231.0,143.3,50.07,0.64,16.49,6.63,6.46,1.72,4.91,6.46,0.09,7.74,10.37,3.2,0.88,0.2,3.63,99.94,96.31,150.04,8.37,47.85,0.34,0.21,0.02,0.89,6.78,0.19,12.23,1.48,6.43,1,5.51,1.75,0.41,1.71,0.29,1.75,0.35,1.01,0.14,0.91,0.13,15.67,141.58,8.11,18.68,44.16,71.39,0.0,0.0,2,0,0.0,0.01,0.17,0.13,0.0,0.0,0.14,5.16,0.39,0.0,0.47,0.41,0.01,0.0,-71.28217384082005,-29.592156864415827
72,2382-R,Gana 1991,Diorite,P,Talinay Plutonic Complex,0,241866.0,6618541.0,144.0,47.85,1.22,17.02,8.93,8.38,5.52,3.41,8.38,0.18,8.57,11.47,2.55,0.37,0.11,1.46,99.73,98.27,148.0,16,41.0,0,0,0,0.0,-0.25,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,132,302.0,199.0,0.0,0.0,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.69056057940702,-30.537778476690907
73,VO184,Oliveros et al 2007,Granite,P,Oficina Viz Formation,0,392313.0,7736506.0,144.0,55.26,0.79,16.53,7.65,7.4,2.47,5.18,7.4,0.16,3.54,6.34,3.65,2.62,0.27,1.54,98.34,96.8,418.6,172.7,286.2,16,4.19,0.43,4.73,133.2,4.25,24.02,20.51,48.19,6.49,27.46,5.91,1.2,4.95,0.72,4.28,0.84,2.44,0.38,2.51,0.4,0,64.64,19.39,7.54,8.12,179.8,0.0,0.0,227.7,6.74,1.78,1.1,3.93,1.03,0.32,-0.1,6.69,18.74,1.47,0.07,1.82,10.14,0.0,0.0,-70.0324972596658,-20.466943954601998
74,VO185,Oliveros et al 2007,Granodiorite,P,Oficina Viz Formation,0,392139.0,7736474.0,144.4,63.06,0.6,15.38,5.02,4.81,2.14,2.88,4.81,0.1,1.78,3.77,3.42,4.58,0.17,0.7,98.58,97.88,271.6,266,359.4,40.38,11.31,0.87,8.9,372.1,10.52,29.19,33.2,74.23,9.26,35.96,7.21,0.98,5.66,0.85,5.07,1.0,2.97,0.46,3.17,0.5,0,50.69,11.0,-2.5,-5.0,95.59,0.0,0.0,135.6,7.56,2.06,1.39,3.17,1.76,0.17,-0.1,12.82,17.79,1.44,0.05,3.52,13.94,0.0,0.0,-70.03416729476547,-20.467223151117263
75,2380-R,Gana 1991,Granite,P,Tranquilla - Millahue Plutonic Complex,0,241040.0,6617443.0,147.0,70.67,0.67,13.64,3.96,3.72,2.41,1.55,3.72,0.06,0.96,2.22,3.29,3.54,0.13,0.6,99.74,99.14,117.0,179,342.0,0,0,0,0.0,-0.25,0.0,0.0,-0.03,0.0,0,0.0,-0.05,-0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,16.0,62.0,0.0,0.0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.69943600705182,-30.5474975769776
76,CB_10_dique_Kr,Lucassen and Franz 1994,,P,DS Coastal Batholith,,262620.0,7343772.0,150.0,54.9,1.15,17.75,8.9,8.00822,2.67,2.402505084,8.00822,0.14,3.52,6.04,3.41,0.92,0.223,1.51,98.463,96.953,289.4647529,10.41977944,223.0497267,2.342527089,0.805294379,,4.0,161.4762877,4.58788774,17.99929796,12.8705188,31.11219474,4.379879509,18.69190072,4.56436036,1.172415164,4.691579813,0.69909067,4.264264749,0.859527899,2.479576286,0.354852068,2.269089614,0.324818749,33,61.0,60.0,16,45.0,282.0,,,171,,,,,,,,,16.0,,,,4.803421089,,,-71.33343676463677,-24.0003127376044
77,CB_120_dique_Kr,Lucassen and Franz 1994,,P,DS Coastal Batholith,,262620.0,7343772.0,150.0,67.74,0.37,17.4,2.9,2.60942,0.87,0.782838735,2.60942,0.03,1.38,3.96,4.26,0.8,0.119,1.38,100.339,98.959,318.238408,13.77241672,153.366598,1.300223074,0.394195434,,2.0,110.6276722,2.829928946,5.82870053,7.382872898,15.89698638,2.015091196,7.692913232,1.534746176,0.55925545,1.463389698,0.198817906,1.120588663,0.209928264,0.575783195,0.080326962,0.579138968,0.091605643,26,72.0,43.0,159,289.0,205.0,,,75,,,,,,,,,17.0,,,,3.56167367,,,-71.33343676463677,-24.0003127376044
78,CB_55_dique_Kr,Lucassen and Franz 1994,,P,DS Coastal Batholith,,262620.0,7343772.0,150.0,52.55,0.81,18.27,8.82,7.936236,2.646,2.380909533,7.936236,0.15,6.21,8.73,2.66,1.13,0.163,1.59,101.083,99.493,401.3488705,5.747000845,170.214323,1.101792128,0.487997828,,2.0,62.27616858,1.854556018,9.719605925,7.921132754,18.2157889,2.624575506,11.16474742,2.627173209,0.896689819,2.667280289,0.398341156,2.42064194,0.497526662,1.373819871,0.204467173,1.268070086,0.189085135,10,33.0,27.0,9,16.0,58.0,,,71,,,,,,,,,19.0,,,,3.947806292,,,-71.33343676463677,-24.0003127376044
79,KU_188_dique_Kr,Lucassen and Franz 1994,,P,DS Coastal Batholith,,262620.0,7343772.0,150.0,52.89,0.8,17.52,8.15,7.33337,2.445,2.20004679,7.33337,0.13,8.0,7.64,2.83,0.6,0.119,1.87,100.549,98.679,231.1459503,3.176667969,146.6230195,0.448474138,0.185794026,,2.0,73.48040385,2.077068875,11.79616126,5.544255037,13.65927826,1.960017984,8.88350588,2.26526804,0.825602839,2.532402881,0.375214497,2.345108372,0.462350432,1.337448744,0.194535047,1.287707304,0.191992633,,,23.0,9,26.0,308.0,,,,,,,,,,,,,,,,,,,-71.33343676463677,-24.0003127376044
80,CB3b_gabros,Lucassen et al 2002,,P,DS Coastal Batholith,,398281.0,7345377.0,150.0,42.91,0.67,23.29,10.11,9.096978,,,9.096978,0.1,6.62,13.96,0.92,0.14,0.018,1.63,100.368,98.738,387.0,1,38.0,0.27,0.06,,2.0,26.13898577,0.714099822,10.0,1.245054915,2.753755926,0.384904833,1.663321125,0.439964321,0.21122528,0.454541423,0.073459416,0.453310452,0.094983925,0.253712849,0.033176584,0.195291052,0.028053487,93,31.0,,60,382.0,235.0,,,,,,,,,,,0.038563173,,,,,0.57,,,-70.00004617829835,-24.00031946673891
81,81078,Rogers and Hawkesworth 1989,Monzodiorite,P,Jurassic pluton,Tocopilla,377502.0,7556560.0,154.7,60.0,0.88,15.99,7.2,7.01,1.87,5.33,7.01,0.16,3.16,3.81,4.89,2.84,0.16,1.65,100.74,99.09,219.0,99,393.0,10.51,0,0.43,7.0,196.0,5.4,27.0,20.4,44.6,0,24.1,5.6,1.24,0.0,0.83,0.0,0.0,0.0,0.43,2.62,2.62,0,0.0,0.0,9,30.0,161.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.1874589300156,-22.091570192729307
82,81094,Rogers and Hawkesworth 1989,Quartz monzodiorite,P,Jurassic pluton,Cerro Colupito,397698.0,7543115.0,155.0,58.63,0.76,16.45,7.7,7.5,2.0,5.7,7.5,0.17,3.08,6.18,3.56,2.69,0.17,0.99,100.38,99.39,336.0,80,440.0,8.42,0,0.35,6.0,155.0,4.78,30.0,14.8,34.3,0,19.4,4.7,1.07,0.0,0.72,0.0,0.0,0.0,0.42,2.68,2.68,0,0.0,0.0,4,21.0,173.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-69.99256098340005,-22.214324290852183
83,03_60,Vasquez et al 2011,Monzonite,P,Jurassic Pluton,Montecillos,230349.0,6085951.0,155.0,60.6,0.73,16.3,7.1,6.9,2.03,5.07,6.9,0.12,2.67,5.45,3.22,3.09,0.17,0.76,100.4,99.64,328.0,141,571.0,13,2.4,0.3,5.0,191.0,6.0,26.0,21.0,50.0,6.7,27.0,5.9,1.1,5.3,0.9,5.0,1.0,3.1,0.45,3.1,0.48,20,51.0,102.0,12,-15.0,170.0,0.0,0.0,0,0,0.0,0.0,1.8,0.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,13,0.0,0.0,-71.96666616424423,-35.33333380844593
84,05_25,Vasquez et al 2011,Monzodiorite,P,Jurassic Pluton,Montecillos,230349.0,6085951.0,155.0,59.9,0.69,17.0,6.91,6.73,1.79,5.12,6.73,0.14,2.84,6.41,3.17,2.7,0.14,0.42,100.5,100.08,315.0,108,498.0,12.9,3,0.3,8.0,185.0,6.0,23.0,18.0,42.0,5.3,22.0,4.9,1.0,4.5,0.8,4.2,0.9,2.7,0.4,2.7,0.4,22,90.0,43.0,-2.5,-15.0,171.0,0.0,0.0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,15.0,0.0,0.0,0.0,31,0.0,0.0,-71.96666616424423,-35.33333380844593
85,86-3-13,Pichowiak 1994,Granodiorite,P,Caleta El Cobre Batholith,0,346998.0,7318652.0,155.4,60.74,0.77,16.65,6.95,6.69,2.56,4.39,6.69,0.12,2.58,5.19,3.79,2.78,0.18,0.01,99.76,99.75,167.0,113,554.0,0,0,0,27.0,209.0,0.0,27.0,22.3,48.9,0,23.7,5.7,1.5,4.2,0,3.6,0.0,1.96,0.0,2.4,0.3,0,110.0,0.0,29,230.0,171.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.50694338407408,-24.23750341649453
86,86-3-14,Pichowiak 1994,Granodiorite,P,Caleta El Cobre Batholith,0,346998.0,7318652.0,155.4,65.91,0.97,13.35,6.47,6.2,2.66,3.81,6.2,0.05,1.61,3.83,3.27,3.21,0.22,0.9,99.79,98.89,168.0,107,357.0,0,0,0,0.0,150.0,0.0,50.0,20.28,49.76,0,26.15,7.65,1.45,6.64,0,6.94,0.0,3.9,0.0,4.28,0.64,18.3,50.0,155.0,0,120.0,135.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0,0.0,0.0,-70.50694338407408,-24.23750341649453
87,86-3-2,Pichowiak 1994,Granodiorite,P,Caleta El Cobre Batholith,0,346998.0,7318652.0,155.4,64.36,1.13,13.41,7.45,7.17,2.82,4.63,7.17,0.1,1.87,4.32,3.48,2.69,0.25,0.17,99.23,99.06,171.0,79,83.0,0,0,0,10.0,188.0,0.0,55.46,21.5,53.6,0,28.5,8.4,1.6,7.26,0,7.6,0.0,4.2,0.0,4.7,0.7,0,70.0,0.0,25,170.0,156.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.50694338407408,-24.23750341649453
88,86-3-4,Pichowiak 1994,Leucogranite,P,Caleta El Cobre Batholith,0,346998.0,7318652.0,155.4,72.12,0.34,13.1,2.71,2.53,1.84,0.87,2.53,0.01,0.61,1.87,2.43,5.27,0.11,0.77,99.34,98.57,132.0,223,305.0,37,0,0,8.0,211.0,0.0,31.34,15.65,34.5,0,16.81,3.99,0.67,4.18,0,4.25,0.0,2.68,0.0,2.76,0.49,5.5,14.0,262.0,17,13.0,47.0,0.0,0.0,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,-70.50694338407408,-24.23750341649453
89,86-3-7,Pichowiak 1994,Quartz monzodiorite,P,Caleta El Cobre Batholith,0,346998.0,7318652.0,155.4,58.25,0.87,15.27,8.44,8.18,2.56,5.88,8.18,0.13,3.39,6.53,3.23,1.92,0.14,0.76,98.93,98.17,253.0,69,303.0,0,0,0,7.0,169.0,0.0,30.0,10.7,27.1,0,14.1,4.2,0.97,3.7,0,4.1,0.0,2.4,0.0,2.8,0.4,0,61.0,0.0,10,190.0,217.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.50694338407408,-24.23750341649453
90,86-3-8,Pichowiak 1994,Monzodiorite,P,Caleta El Cobre Batholith,0,346998.0,7318652.0,155.4,55.31,0.51,17.1,7.54,7.28,2.58,4.96,7.28,0.13,4.89,8.29,2.9,1.17,0.01,1.5,99.35,97.85,289.0,11,65.0,0,0,0,2.5,65.0,0.0,14.7,5.1,13.3,0,6.0,1.9,0.6,1.7,0,2.0,0.0,1.2,0.0,1.48,0.2,0,45.0,0.0,105,220.0,90.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.50694338407408,-24.23750341649453
91,86-3-9,Pichowiak 1994,Monzodiorite,P,Caleta El Cobre Batholith,0,346998.0,7318652.0,155.4,68.25,0.32,15.03,4.43,4.23,1.98,2.45,4.23,0.06,1.33,3.66,4.1,2.18,0.12,1.1,100.58,99.48,204.0,49,300.0,5,0,0,6.0,98.0,0.0,17.74,6.79,16.33,0,7.52,2.07,0.64,2.23,0,2.41,0.0,1.54,0.0,1.71,0.31,11.19,26.0,90.0,32,171.0,71.0,0.0,0.0,123,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0,0.0,0.0,-70.50694338407408,-24.23750341649453
92,VO3,Oliveros et al 2007,Granodiorite,P,La Negra Formation,0,382886.0,7556560.0,155.6,52.7,0.84,17.78,9.14,8.99,1.5,7.64,8.99,0.13,4.67,8.46,3.27,1.2,0.17,0.65,99.01,98.36,348.9,35.36,211.3,2.77,0.9,0.16,1.73,78.18,2.16,16.85,8.32,18.46,2.53,11.13,2.88,1.0,2.8,0.45,2.84,0.58,1.68,0.26,1.77,0.28,0,43.91,26.41,23.66,139.2,281.8,0.0,0.0,19.55,2.43,0.55,-0.25,0.61,4.2,-0.05,-0.1,1.47,17.48,1.37,-0.1,5.86,3.73,0.0,0.0,-70.13527605644472,-22.091940974351076
93,81105,Rogers and Hawkesworth 1989,Tonalite,P,Jurassic pluton,Sierra de la Cruz,417190.0,7544566.0,156.1,62.67,0.72,16.81,5.54,5.38,1.58,3.96,5.38,0.08,2.73,5.44,4.08,1.72,0.14,0.61,100.64,100.03,378.0,43,264.0,5.4,0,0.39,9.0,134.0,4.04,27.0,15.5,34.0,0,16.9,3.8,1.02,0.0,0.61,0.0,0.0,0.0,0.32,2.0,2.0,0,0.0,0.0,18,37.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-69.80338574934261,-22.202260229311698
94,RS18,Oliveros et al 2007,Diorite,P,La Negra Formation,0,380066.0,7491555.0,157.0,52.52,0.54,20.48,6.65,6.54,1.09,5.56,6.54,0.15,4.61,7.98,3.92,0.77,-0.01,1.57,99.19,97.62,427.0,12.72,209.6,0.64,0.17,0.08,0.92,44.74,1.22,11.7,5.57,12.3,1.71,7.78,1.98,0.89,2.06,0.33,2.04,0.4,1.16,0.18,1.23,0.2,0,99.08,28.02,47.69,36.21,150.8,0.0,0.0,69.01,-2.5,0.51,-0.25,0.53,-0.5,-0.05,-0.1,0.89,18.44,1.23,-0.1,1.0,3.47,0.0,0.0,-70.16749809609854,-22.678891121695045
95,VO183,Oliveros et al 2007,Diorite,P,La Negra Formation,0,370548.0,7516820.0,157.3,51.08,0.95,18.57,8.29,8.15,1.36,6.93,8.15,0.14,4.61,10.34,3.38,0.62,0.08,0.42,98.48,98.06,345.0,14.18,161.9,1.07,0.28,0.11,1.24,27.83,1.0,14.08,5.08,11.4,1.64,7.72,2.16,1.07,2.35,0.38,2.47,0.51,1.46,0.22,1.53,0.25,0,66.77,26.69,32.25,73.52,330.2,0.0,0.0,25,1.38,0.61,-0.25,0.61,0.23,-0.05,-0.1,0.53,19.04,1.26,-0.1,0.84,3.06,0.0,0.0,-70.25806242662212,-22.45000172076382
96,8059,Rogers and Hawkesworth 1989,Quartz gabbro,P,Jurassic pluton,Gatico,374350.0,7534373.0,158.3,53.1,0.66,17.51,9.56,9.4,1.59,7.97,9.4,0.15,5.57,10.07,3.32,0.69,0.1,0.27,100.0,99.73,343.0,16,175.0,1.73,0,0.08,5.0,67.0,1.75,20.0,5.7,13.7,0,0.0,2.5,0.97,0.0,0.47,0.0,0.0,0.0,0.27,1.87,1.87,0,0.0,0.0,20,126.0,200.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.21973757414905,-22.29174507564198
97,VO181,Oliveros et al 2007,Diorite,P,La Negra Formation,0,372975.0,7486330.0,159.6,49.95,1.43,18.28,10.27,10.1,1.68,8.59,10.1,0.19,4.28,10.58,3.15,0.45,0.19,0.79,99.54,98.75,323.2,6.48,177.7,1.47,0.35,0.15,1.7,55.69,1.72,19.27,8.75,20.44,2.91,13.35,3.55,1.29,3.63,0.56,3.45,0.69,1.93,0.29,1.9,0.3,0,137.1,31.93,29.2,40.14,531.9,0.0,0.0,56.04,1.63,0.68,-0.25,0.79,-0.5,-0.05,-0.1,0.25,20.36,1.25,0.05,0.78,3.17,0.0,0.0,-70.23693722109098,-22.725563486694902
98,MCP-1,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,360362.0,7238031.0,160.0,53.44,1.12,16.73,7.29,6.56,7.29,0.0,6.56,0.15,6.11,8.36,3.99,1.35,0.3,0.93,99.76,98.83,349.0,81.3,204.0,12.5,3.44,0,10.0,135.0,5.0,34.0,18.37,48.12,6.86,30.07,7.11,1.61,6.89,1.05,6.3,1.26,3.55,0.5,3.23,0.48,30,78.0,0.0,45,45.0,230.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,0.0,5.49,0.0,0.0,-70.38333144135588,-24.966671999648753
99,MCP-11,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,360362.0,7238031.0,160.0,51.63,0.95,16.01,8.24,7.41,8.24,0.0,7.41,0.18,9.4,6.7,3.8,0.83,0.22,2.83,100.78,97.95,224.0,45.5,132.0,15.3,2.88,0,6.0,263.0,7.0,28.0,13.7,37.83,5.42,23.87,5.94,1.09,5.51,0.87,5.24,1.03,3.1,0.44,2.91,0.44,24,197.0,0.0,62,61.0,303.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.0,0.0,4.24,0.0,0.0,-70.38333144135588,-24.966671999648753
100,MCP-5,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,360362.0,7238031.0,160.0,52.19,0.2,2.53,8.6,7.74,8.6,0.0,7.74,0.07,18.89,13.74,0.4,0.14,1.54,1.8,100.07,98.27,17.42,0.71,2.63,1.95,0.27,-0.25,-0.5,-0.25,2.0,18.0,14.98,29.58,3.33,13.16,2.53,0.35,2.63,0.39,2.38,0.51,1.49,0.2,1.42,0.24,-2.5,13.0,0.0,115,-5.0,760.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.81,0.0,0.0,-70.38333144135588,-24.966671999648753
101,QBA-1,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,362287.0,7214053.0,160.0,61.19,1.01,15.05,7.02,6.32,7.02,0.0,6.32,0.11,2.97,5.28,3.3,3.34,0.22,0.64,100.12,99.48,243.0,152,308.0,14.7,3.15,-0.25,12.0,374.0,9.0,31.0,18.18,44.77,6.03,25.91,5.91,1.2,5.76,0.88,5.35,1.12,3.19,0.46,2.96,0.43,18,50.0,0.0,16,44.0,157.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,18.2,0.0,0.0,-70.36666682274088,-25.18333150110441
102,QBA-5,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,362287.0,7214053.0,160.0,66.44,0.33,16.87,3.53,3.18,3.53,0.0,3.18,0.1,0.98,1.84,6.06,1.91,0.22,1.69,99.86,98.17,222.0,94.9,230.0,4.66,1.25,-0.25,6.0,194.0,6.0,20.0,21.2,46.21,5.84,22.76,4.33,1.23,3.67,0.55,3.31,0.69,2.13,0.34,2.27,0.38,10,64.0,0.0,-4,-5.0,-5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,2.72,0.0,0.0,-70.36666682274088,-25.18333150110441
103,QCA-1,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078.0,7202995.0,160.0,71.98,0.67,14.12,4.19,3.77,4.19,0.0,3.77,0.02,1.38,0.34,1.17,4.29,0.17,2.09,100.45,98.36,59.09,155.36,624.0,11.62,1.71,-0.25,12.0,317.0,9.0,30.0,37.81,78.09,9.11,34.16,6.85,1.14,5.9,0.83,4.87,0.92,2.49,0.34,2.21,0.31,-2.5,225.0,0.0,22,58.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,15.87,0.0,0.0,-70.34999908040236,-25.2833294380264
