Sample,Reference,Unit,Location,Petrography,Rock type,East,North,sio2,tio2,al2o3,fe2o3,feo,Measured Fe,feo_tot,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,y_ppm,sc_ppm,hf_ppm,nb_ppm,ta_ppm,th_ppm,zn_ppm,co_ppm,ni_ppm,ba_ppm,cr_ppm,v_ppm,se_ppm,br_ppm,cu_ppm,sr_ppm,zr_ppm,rb_ppm,as_ppm,be_ppm,sb_ppm,sn_ppm,u_ppm,w_ppm,bi_ppm,cd_ppm,cs_ppm,ga_ppm,ge_ppm,In_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Analytical technique (element),Age (Ma) dating,±,Age (Ma) reference,age,±,Reference,Age max (Ma),±,Age min (Ma),±,Reference,Preferred Age max (Ma),±,Preferred Age min (Ma),±,Reference(s),Radiometric dating technique,Dated material,87Sr/86Sr,±,87Rb/86Sr,±,(87Sr/86Sr)i,147Sm/144Nd,±,143Nd/144Nd,±,eNd,(143Nd/144Nd)i,eNdi,(206Pb/204Pb)i,206Pb/204Pb,(207Pb/204Pb)i ,207Pb/204Pb,(208Pb/204Pb)i,208Pb/204Pb,208Pb/206Pb,207Pb/206Pb
PLT 33,D'Elia et al 2011,Pre-Cuyo Group,Cachil Depocenter,Riodacite (ignimbrite),V,365000,5670000,81.84,0.23,9.58,0.43,0.86,1.29,1.25,0.02,0.08,0.16,2.39,3.78,0.03,0.69,100.1,19.1,34.4,3.7,12,2.5,0.6,2.2,0.4,2.5,0.5,1.8,0.3,1.9,0.3,15,5,3.3,3,0.5,7.2,50,2,-10,864,90,13,0,0,10,129,117,79,-2.5,1,6,2,1.3,1,1,0,1.9,6,2,-0.1,8,54,-0.25,0.8,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLS 22-1,D'Elia et al 2011,Pre-Cuyo Group,Cachil Depocenter,Riodacite (dome),V,365000,5670000,81.78,0.1,10.16,0.2,0.41,0.61,0.59,0,0.03,0.07,1.99,4.78,0.03,0.59,100.1,18.9,35.7,4.8,15.5,3.2,0.5,3,0.5,3.4,0.8,2.4,0.4,2.4,0.4,20,2,3.4,4,0.6,11.2,-15,-0.5,-10,1544,-10,-2.5,0,0,-5,123,106,145,-2.5,1,4.1,4,2.9,-0.5,-0.2,0,1.3,7,2,-0.1,-1,8,-0.25,0.7,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCL 22,D'Elia et al 2011,Pre-Cuyo Group,Cachil Depocenter,Andesite,V,365000,5670000,62.04,0.77,16.58,1.47,4.21,5.68,5.53,0.11,0.98,3.36,4.23,3.18,0.21,1.94,99.07,27,59.6,7.7,28.1,6.2,1.5,6.4,1,6.2,1.3,4,0.6,3.5,0.5,29,17,6,8,0.8,8.7,140,13,-10,424,-10,54,0,0,-5,359,206,164,14,2,4.6,3,2.4,-0.5,-0.2,0,7,21,3,-0.1,-1,38,-0.25,0.8,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECM 21,D'Elia et al 2011,Pre-Cuyo Group,Catan Lil Depocenter,Riodacite (dome),V,350000,5658000,65.77,0.48,14.24,1.52,3.03,4.55,4.4,0.14,1.17,1.08,2.69,6.53,0.07,2.12,98.84,26.4,48,6.6,23.5,5.1,1.2,5.2,0.8,5.1,1.1,3.4,0.5,3.4,0.5,27,12,6,8,0.7,7.4,100,12,-10,1674,30,65,0,0,-5,91,214,314,24,2,10,3,2,1,2.3,0,11.3,21,2,-0.1,-1,49,-0.25,2.1,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECM 47,D'Elia et al 2011,Pre-Cuyo Group,Catan Lil Depocenter,Andesite,V,350000,5658000,56.17,0.66,17.88,1.83,5.24,7.07,6.89,0.56,3.33,1.09,5.78,3.25,0.15,2.55,98.5,20,39.8,5.1,17.8,3.8,1.2,4,0.6,3.9,0.8,2.5,0.4,2.5,0.4,19,13,3.7,5,0.4,4.5,230,21,-10,639,-10,72,0,0,10,243,126,160,13,2,1.8,2,0.8,-0.5,-0.2,0,10.9,20,2,-0.1,-1,12,-0.25,0.8,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPS 12,D'Elia et al 2011,Pre-Cuyo Group,Catan Lil Depocenter,Riodacite,V,350000,5658000,78.27,0.27,11.05,0.99,1.98,2.97,2.87,0.04,0.37,0.68,5.24,0.72,0.06,1.08,100.7,20.9,41.4,4.5,16.5,3.8,0.8,3.4,0.6,3.5,0.7,2.2,0.4,2.3,0.4,19,5,4.1,7,0.6,6.5,110,5,-10,397,70,44,0,0,30,401,129,34,8,2,20.2,2,2.9,4,1.8,0,4.7,8,2,-0.1,10,108,4.9,0.3,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAPA,D'Elia et al 2011,Pre-Cuyo Group,Cachaico Depocenter,Basalt,V,382000,5648000,49.32,1.77,15.11,1.45,7.24,8.69,8.54,0.19,0.66,8.15,6.38,0.98,0.54,6.61,98.4,44.2,86.5,11.2,40.9,8.7,2.8,8.5,1.3,7.3,1.5,4.4,0.6,3.8,0.6,28,22,7.4,17,1.2,2.9,100,22,60,394,220,190,0,0,10,370,256,35,150,2,12.7,2,1.2,3,-0.2,0,13.2,14,5,-0.1,-1,62,-0.25,0.3,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC 2,D'Elia et al 2011,Pre-Cuyo Group,Piedra del Águila Depocenter,Basalt,V,382000,5648000,49.85,0.96,15.23,1.49,7.46,8.95,8.8,0.16,8.23,9.69,2.63,0.63,0.23,2.47,99.03,14.5,34.3,4.9,18.7,4.3,1.4,4.3,0.7,3.9,0.8,2.3,0.3,2.1,0.3,15,29,2.7,5,0.4,1.4,120,47,160,159,410,222,0,0,80,715,86,16,-2.5,1,9.2,1,0.4,-0.5,-0.2,0,7.5,19,3,-0.1,-1,-2.5,-0.25,-0.05,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDA 2,D'Elia et al 2011,Pre-Cuyo Group,Piedra del Águila Depocenter,Rhyolite (ignimbrite),V,409000,5565000,79.44,0.08,10.49,0.4,0.79,1.19,1.15,0.02,0.21,0.48,1.34,5.3,0.03,2.39,101,17.7,37.3,3.9,14.9,3.5,0.4,3.5,0.6,4,0.9,2.7,0.4,2.7,0.4,24,3,2.5,8,1,10,-15,1,-10,686,30,13,0,0,-5,47,58,186,19,2,5.3,2,2.4,3,4.5,0,2.7,13,2,-0.1,9,37,1,1,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDA 1,D'Elia et al 2011,Pre-Cuyo Group,Piedra del Águila Depocenter,Riodacite (ignimbrite),V,409000,5565000,70.33,0.41,13.86,1.01,2.02,3.03,2.93,0.02,0.36,0.62,3.13,3.91,0.12,2.97,98.77,36.7,73.9,8.9,28.8,5.6,1,5,0.8,4.9,1,3.2,0.5,3.3,0.5,24,6,7.9,8,0.8,13.2,60,6,50,979,-10,43,0,0,-5,92,263,165,6,1,9.3,2,2.1,-0.5,-0.2,0,2,17,2,-0.1,-1,34,-0.25,0.9,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDA 3,D'Elia et al 2011,Pre-Cuyo Group,Piedra del Águila Depocenter,Dacite,V,409000,5565000,52.78,1.18,16.81,2.62,6.55,9.17,8.91,0.15,2.59,4.82,4.08,2.27,1.01,4.4,99.25,73.9,163,19.6,62.8,11.7,3,9.2,1.3,6.9,1.3,4,0.6,3.6,0.5,32,15,9.4,20,1.1,3.6,150,28,-10,955,40,90,0,0,60,553,408,48,-2.5,3,2.4,2,0.6,-0.5,-0.2,0,0.9,24,2,-0.1,-1,9,-0.25,-0.05,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 1,D'Elia et al 2011,Pre-Cuyo Group,Sañicó Depocenter,Andesite,V,378000,5558000,54.29,0.65,17.47,1.28,3.64,4.92,4.79,0.12,0.37,8.3,4.02,3.46,0.27,5.65,99.51,33.3,66.4,8.2,25.9,4.9,1.5,3.9,0.5,3,0.6,1.7,0.3,1.6,0.2,9,11,5.5,5,0.3,5.3,110,10,-10,979,30,106,0,0,30,553,192,90,6,2,5.3,2,1.1,2,-0.2,0,1.8,22,3,-0.1,2,23,-0.25,0.3,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 6,D'Elia et al 2011,Pre-Cuyo Group,Sañicó Depocenter,Riodacite (dome),V,378000,5558000,73.24,0.3,12.61,0.88,1.76,2.64,2.55,0.03,0.17,0.54,2.58,4.71,0.08,1.4,98.3,22.2,46.3,5.4,17.1,3.5,0.7,3.2,0.5,3.4,0.7,2.3,0.4,2.4,0.4,14,7,3.1,8,0.8,7.7,40,4,-10,683,-10,36,0,0,10,83,79,97,9,1,7.6,2,1.5,1,0.4,0,0.8,14,3,-0.1,-1,40,-0.25,0.8,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 2,D'Elia et al 2011,Pre-Cuyo Group,Sañicó Depocenter,Andesite,V,378000,5558000,59.1,0.62,17.43,1.52,4.35,5.87,5.72,0.18,2.68,5.12,3.86,1.06,0.25,3.04,99.19,18.6,42.6,5.8,21.5,4.7,1.5,4.4,0.7,4,0.8,2.6,0.4,2.6,0.4,19,7,4.1,6,0.4,2.5,70,9,-10,277,-10,70,0,0,-5,530,142,24,-2.5,1,4,-0.5,0.7,-0.5,-0.2,0,-0.25,19,2,-0.1,-1,-2.5,-0.25,-0.05,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 4,D'Elia et al 2011,Pre-Cuyo Group,Sañicó Depocenter,Riodacite,V,378000,5558000,69.35,0.44,14.2,0.65,1.3,1.95,1.88,0.04,0.33,2.56,2.73,3.39,0.11,3.76,98.84,33.9,67.5,7.9,25.6,5.1,1,4.4,0.7,3.9,0.8,2.3,0.3,2.1,0.3,17,8,5,8,0.9,10.9,80,4,-10,908,-10,59,0,0,-5,154,169,164,10,2,9.1,3,2.5,-0.5,0.4,0,4.7,19,3,-0.1,-1,53,-0.25,1.2,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 7,D'Elia et al 2011,Pre-Cuyo Group,Sañicó Depocenter,Andesite,V,378000,5558000,61.94,0.94,15.56,1.9,5.41,7.31,7.12,0.08,1.08,5.46,3.29,0.93,0.26,2.49,99.35,16.8,38.2,5.4,20.9,4.9,1.5,5,0.8,4.6,1,3,0.5,2.8,0.4,23,17,4.3,5,0.3,2,70,15,-10,400,30,97,0,0,20,427,152,20,9,1,4,1,1.1,-0.5,-0.2,0,0.6,18.9,2,-0.1,2,6,-0.25,-0.05,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 5,D'Elia et al 2011,Pre-Cuyo Group,Sañicó Depocenter,Riodacite (ignimbrite),V,378000,5558000,67.75,0.21,14.12,0.57,1.13,1.7,1.64,0.05,0.58,1.43,1.14,4.46,0.04,7.07,98.55,32.9,62.8,7.2,20.6,3.6,0.7,2.7,0.4,2.5,0.5,1.4,0.2,1.3,0.2,11,3,3.4,9,0.7,16.4,50,213,300,1242,-10,31,0,0,20,583,113,122,11,2,5.3,1,2.8,2,1.8,0,1.9,15,2,-0.1,16,21,-0.25,1.3,"XRF, Fusion-ICP, ICP-MS ",0,0,0,0,0,0,204,0,192,3,Schiuma and Llambias 2008; Spalletti et al 2010,0,0,0,0,0,SHRIMP; U-Pb,Zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQSG-0123,Duhart et al 2018,Agua Dulce Formation,0,Rhyolite,V,496261,7484323,73.28,0.19,13.22,0.71,1.43,2.14,2.07,0.08,0.66,1.91,3.37,3.38,0.03,1.46,99.72,35.19,67.6,9.16,33.27,7.36,1.91,5.93,0.81,4.11,0.74,2.16,0.34,1.79,0.24,40,13,6.45,19,0.63,5.67,33.12,6.35,5,578.87,23.94,19.72,0,0,-2.5,71.6,192.57,118.7,0,0,-5,-10,1.86,23,29,-0.5,1.65,0,0,0,-2.5,10.56,0,0,"XRF, ICP-MS",0,0,296,296,2,Duhart et al. 2018,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQSG-0124,Duhart et al 2018,Agua Dulce Formation,0,Rhyolite,V,496152,7484199,76.55,0.07,12.38,0.34,0.67,1.01,0.97,0.05,0.25,1.43,3,3.79,0.01,1.07,99.6,22.14,45.16,5.62,25.67,4.6,1.49,4.31,0.59,3.05,0.58,2.23,0.2,1.51,0.2,38,17,5.35,17,0.65,6.5,19.99,0,-2.5,745.79,13.45,0,0,0,-2.5,0,108.46,135.84,0,0,44,-10,2.26,34,29,-0.5,3.99,0,0,0,-2.5,0,0,0,"XRF, ICP-MS",0,0,296,296,2,Duhart et al. 2018,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQSG-251,Duhart et al 2018,Limón Verde Intrusive Complex,0,Tonalite,P,497527,7488813,61.49,0.43,16.49,1.51,3.78,5.3,5.15,0.11,3.29,4.61,3.61,2.32,0.23,1.79,99.66,24.75,51.74,6.07,23.1,4.39,1.29,4.08,0.61,3.61,0.69,2.07,0.29,1.58,0,22,25,1.02,9,0.81,5.17,93.16,9.46,9,842.76,24.63,109.19,0,0,14,433.29,178.11,68.5,0,0,0,0,1.12,0,0,0,2.13,0,0,0,0,12.37,0,0,"XRF, ICP-MS",0,0,297.7,297.7,5.5,Morandé (2014),0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQSG-253,Duhart et al 2018,Limón Verde Intrusive Complex,0,Granodiorite,P,497708,7488017,67.71,0.47,15.21,1.25,2.5,3.76,3.63,0.1,2.21,2.1,4.03,2.6,0.15,1.69,100.01,35.82,69.79,7.4,25.91,3.38,1.48,4.11,0.59,3.15,0.58,1.72,0.24,1.41,0,25,18,1.02,10,0.84,8.44,63.1,19.07,-2.5,1331.42,40.66,50.11,0,0,10,289.44,277.72,83.3,0,0,0,0,1.13,0,0,0,1.6,0,0,0,0,9.52,0,0,"XRF, ICP-MS",0,0,297.7,297.7,5.5,Morandé (2014),0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQSG-295A,Duhart et al 2018,Limón Verde Intrusive Complex,0,Monzodiorite,P,494552,7489514,52.03,0.52,16.2,2.02,5.77,7.79,7.59,0.32,5.82,7.9,4.09,1.37,0.17,3.82,100.03,13.54,30.4,4.11,16.22,3.25,1.79,3.63,0.56,3.27,0.65,1.94,0.28,1.82,0,19,16,1.56,5,0.45,3.77,211.91,0,33,397.57,124.07,175.86,0,0,10,313.03,106.98,70.37,0,0,0,0,0.66,0,0,0,6.32,0,0,0,0,17.51,0,0,"XRF, ICP-MS",0,0,300,300,3.9,Duhart et al. 2018,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQSG-295B,Duhart et al 2018,Limón Verde Intrusive Complex,0,Monzonite,P,494552,7489514,57.45,0.44,20.01,1.33,3.33,4.67,4.53,0.14,0.98,4.26,5.34,2.41,0.16,4.12,99.98,17.31,38.14,4.89,20.97,4.38,2.77,3.85,0.52,2.39,0.48,1.36,0.19,1.27,0,30,6,0.88,7,0.74,3.13,39.95,5.08,-2.5,327.38,14.55,82.82,0,0,10,229.36,567.65,112.25,0,0,0,0,1.42,0,0,0,6.42,0,0,0,0,24.26,0,0,"XRF, ICP-MS",0,0,300,300,3.9,Duhart et al. 2018,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQSG-298,Duhart et al 2018,Limón Verde Intrusive Complex,0,Granodiorite,P,494373,7488907,66.23,0.49,15.27,1.28,2.55,3.83,3.7,0.1,2.49,3,4.16,2.64,0.15,1.21,99.55,23.3,49.96,6.51,26.16,4.83,1.44,5.3,0.83,4.53,0.97,3.01,0.47,2.51,0,39,27,0.85,11,0.8,7.73,136.66,17.99,6,858.79,36.11,60.48,0,0,11,353.84,212.56,99.74,0,0,0,0,2.03,0,0,0,3.73,0,0,0,0,25.39,0,0,"XRF, ICP-MS",0,0,300,300,3.9,Duhart et al. 2018,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQSG-336,Duhart et al 2018,Limón Verde Intrusive Complex,0,Tonalite,P,499725,7486725,62.82,0.37,16.4,1.29,3.24,4.53,4.4,0.09,3.22,4.86,3.78,2.3,0.17,1.16,99.71,22.52,48.08,5.88,22.66,4.09,1.32,4.39,0.65,3.87,0.76,2.27,0.35,2.1,0,28,24,0.95,9,0.71,5.81,61.45,17.24,14,705.72,43.85,80.37,0,0,14,372.12,219.74,82.32,0,0,0,0,1.33,0,0,0,2.14,0,0,0,0,15.18,0,0,"XRF, ICP-MS",0,0,297.9,297.9,2.2,Duhart et al. 2018,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQSG-337,Duhart et al 2018,Limón Verde Intrusive Complex,0,Granodiorite,P,499837,7486365,67.3,0.31,16.24,0.65,1.61,2.26,2.2,0.08,1.9,2.98,4.55,2.43,0.12,1.33,99.51,16.48,33.61,4.02,14.94,2.44,0.9,2.38,0.31,1.65,0.28,0.83,0.12,0.71,0,13,-2.5,1.06,7,0.86,4.11,97,35.55,8,843.12,21.24,36.7,0,0,15,563.03,118.08,82.21,0,0,0,0,1.08,0,0,0,1.89,0,0,0,0,27.78,0,0,"XRF, ICP-MS",0,0,297.9,297.9,2.2,Duhart et al. 2018,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQSG-340,Duhart et al 2018,Agua Dulce Formation,0,Rhyolite,V,496478,7480137,72.73,0.24,13.2,0.64,1.27,1.91,1.84,0.09,0.29,1.8,4.28,3.52,0.07,1.55,99.66,19.3,30.52,4.14,17.31,3.56,1.21,3.65,0.54,3.19,0.59,1.72,0.25,1.43,0.25,72,8,1.77,17,1.05,3.27,19.98,39.31,-2.5,794.79,21.81,11.91,0,0,11,105.54,243.04,145.03,0,0,0,0,0.92,0,0,0,1.37,0,0,0,0,40.85,0,0,"XRF, ICP-MS",290,1.6,0,290,0,0,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOMSG-108,Duhart et al 2018,Agua Dulce Formation,0,Andesite,V,495613,7456373,60.87,0.48,15.58,1.36,2.71,4.07,3.93,0.06,3.26,3.59,3.56,3.56,0.15,4.25,99.43,12.25,27.43,3.46,13.2,2.45,0.74,2.43,0.34,1.61,0.32,0.9,0.12,0.77,0.12,24,20,1.93,7,1.24,3.23,19.86,17.26,13,813.2,21.42,65.82,0,0,9,367.27,153.97,110.81,0,0,0,0,0.57,0,0,0,11.8,0,0,0,0,10.9,0,0,"XRF, ICP-MS",0,0,290,290,1.6,Duhart et al. 2018,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDSG-011,Duhart et al 2018,Agua Dulce Formation,0,Rhyolite,V,497784,7485275,72.81,0.29,13.87,0.78,1.57,2.35,2.27,0.19,0.83,1.16,3.76,3.71,0.08,0.49,99.53,47.29,86.32,9.44,35.93,8.17,1.83,8,1.29,8.06,1.72,5.1,0.72,5.18,0.77,38,15,3.65,22,1.77,13.68,114.04,6.93,5,849.67,9.72,40.56,0,0,5,154.08,233.95,151.61,0,0,0,0,2.68,0,0,0,2.87,0,0,0,0,39.24,0,0,"XRF, ICP-MS",296,2,0,296,0,0,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDSG-022,Duhart et al 2018,Limón Verde Intrusive Complex,0,Granite,P,495240,7472864,74.16,0.1,12.8,0.57,1.15,1.72,1.66,0.02,0.18,0.31,1.94,8.07,0.01,0.44,99.75,47.33,112.67,13.04,53.91,13.63,1.75,13.74,2.45,15.76,3.23,9.24,1.29,8.93,1.2,79,5,2.21,45,1.64,13.06,24.44,5,5,757.92,0,0,0,0,5,5,215.67,302.71,0,0,0,0,3.08,0,0,0,1.58,0,0,0,0,5,0,0,"XRF, ICP-MS",296.5,2.8,0,296.5,0,0,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDSG-023,Duhart et al 2018,Limón Verde Intrusive Complex,0,Tonalite,P,494927,7472465,62.88,0.81,16.31,1.77,3.54,5.31,5.13,0.06,1.78,4.57,3.54,2.93,0.31,1.13,99.63,36,80,8.98,36.45,8.16,1.9,7.47,1.17,7.33,1.51,4.36,0.6,4.31,0.6,30,18,2.98,13,1.71,8.77,33.91,14.1,5,818,11.82,126.6,0,0,5,376.28,281.73,73.99,0,0,0,0,1.97,0,0,0,2.4,0,0,0,0,15.54,0,0,"XRF, ICP-MS",297,1.5,0,297,0,0,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDSG-113A,Duhart et al 2018,Agua Dulce Formation,0,Dacite,V,495838,7479278,67.42,0.52,13.36,1.17,2.35,3.52,3.4,0.09,0.14,3.83,6.29,1,0.17,3.25,99.59,13.89,51.81,6.43,24.24,5.84,1.26,5.19,0.86,5.24,1.03,3.11,0.39,3.06,0.47,67,12,8.38,35,0.01,8.38,40.01,8.73,75,751.18,0,171.08,0,0,7,421.98,547.61,45.16,0,0,0,0,1.97,0,0,0,1.25,0,0,0,0,41.73,0,0,"XRF, ICP-MS",0,0,290,290,1.6,Duhart et al. 2018,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDSG-113B,Duhart et al 2018,Agua Dulce Formation,0,Rhyolite,V,495838,7479278,71.15,0.45,12.57,1.05,2.09,3.14,3.03,0.06,0.07,3.17,5.09,1.42,0.08,2.61,99.81,27.12,75.43,9.06,32.67,6.72,1.29,6.02,0.97,5.84,1.15,3.39,0.45,3.26,0.51,82,11,10.18,46,0.01,10.73,47.05,7.39,75,100.46,0,100.93,0,0,5,201.14,670.64,70.24,0,0,0,0,2.45,0,0,0,1.04,0,0,0,0,27.3,0,0,"XRF, ICP-MS",0,0,290,290,1.6,Duhart et al. 2018,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDSG-114,Duhart et al 2018,Limón Verde Intrusive Complex,0,Granite,P,495096,7478945,75.5,0.2,12.31,0.49,0.98,1.47,1.42,0.02,0.03,0.86,3.7,4.39,0.04,1.16,99.69,31.11,81.17,8.86,28.29,5.46,0.59,4.82,0.78,4.73,1.05,3.01,0.48,3.27,0.58,100,5,8.26,52,0.01,16.6,41.38,4.86,79,595.03,0,64.97,0,0,5,128.23,558.18,244.04,0,0,0,0,2.72,0,0,0,9.48,0,0,0,0,25.14,0,0,"XRF, ICP-MS",0,0,296.5,296.5,2.8,Duhart et al. 2018,0,0,0,0,0,0,0,0,0,0,U-Pb,Circon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
