Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl
PG-230,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901,6619343,210,51.06,2.32,15.32,11.17,10.84,3.33,7.84,10.84,0.18,5.41,7.74,3.69,0.8,0.27,1.98,99.94,97.96,220,25,170,0,0,0,0,190,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,-2.5,-5,230,0,0,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-233,Gana 1991,Undefined plutonic rock,P,Tranquilla - Millahue Plutonic Complex,0,241901,6619343,210,71.65,0.45,13.92,2.7,2.54,1.61,1.09,2.54,0.03,0.73,2,3.76,3.65,0.1,0.72,99.7,98.98,120,174,340,0,0,0,0,-0.25,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,-2.5,-5,30,0,0,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-234,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901,6619343,210,49.8,2.49,15.98,10.56,10.27,2.88,7.68,10.27,0.17,6.11,9.14,2.97,0.66,0.19,1.6,99.67,98.07,230,22,140,0,0,0,0,0,0,0,-0.03,0,0,0,3.77,1.68,0,0,0,0,0,0,0,0,0,0,0,-2.5,-5,210,0,0,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-237,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901,6619343,210,48.81,1.4,16.96,8.49,8.2,2.9,5.59,8.2,0.12,8.04,10.6,2.71,0.84,0.14,1.49,99.6,98.11,230,39,70,0,0,0,0,190,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,-2.5,-5,200,0,0,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-282,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901,6619343,210,48.87,0.57,19.08,5.63,5.48,1.53,4.1,5.48,0.09,9.14,11.51,2,0.27,0.05,2.13,99.44,97.31,290,14,40,0,0,0,0,120,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,-2.5,-5,120,0,0,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-284,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901,6619343,210,51.13,2.27,14.58,10.13,9.85,2.83,7.3,9.85,0.17,7.31,10.46,2.62,0.23,0.2,1.09,100.18,99.09,170,5,30,0,0,0,0,50,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,-5,300,0,0,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-296,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901,6619343,210,60.9,1.57,14,7.26,7.1,1.64,5.62,7.1,0.08,4.38,6.06,2.76,1.78,0.15,0.93,99.9,98.97,170,101,220,0,0,0,0,210,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,-2.5,-5,180,0,0,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-6,Gana 1991,Undefined plutonic rock,P,Talinay Plutonic Complex,0,241901,6619343,210,56.77,1.43,15.72,8.09,7.57,5.2,2.89,7.57,0.17,4.13,5.88,4.57,1.21,0.17,1.4,99.53,98.13,202,41,219,0,0,0,0,180,0,0,-0.03,0,0,0,-0.05,-0.03,0,0,0,0,0,0,0,0,0,0,0,39,131,161,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11018,Vasquez and Franz 2008,Gabronorite,P,Cobquecura Pluton,0,698129,6006417,211.6,48.93,0.82,17.96,6.86,6.75,1.14,5.72,6.75,0.12,9.92,9.72,2.34,0.61,0.09,1.47,99.76,98.29,0,0,0,0,0,0,0,80,0,0,8,18,2,11,3,0.9,3,0.5,3.2,0.6,1.9,0.28,1.8,0.27,-0.55,43,73,160,387,144,0,0,40,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
41334,Vasquez and Franz 2008,Undefined plutonic rock,P,Cobquecura Pluton,0,696544,6002753,211.6,55.53,1.51,15.73,8.55,8.35,1.97,6.58,8.35,0.16,4.01,5.91,4.05,1.45,0.15,1.05,99.19,98.14,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,73,87,-2.5,32,189,0,0,-10,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
41699,Vasquez and Franz 2008,Undefined plutonic rock,P,Cobquecura Pluton,0,696544,6002753,211.6,68.49,0.5,15.03,2.63,2.54,0.88,1.75,2.54,0.04,0.67,2.2,4.26,3.48,0.1,0.82,98.71,97.89,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55,-10,151,-10,26,30,0,0,-2.5,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
42064,Vasquez and Franz 2008,Diabase,P,Cobquecura Pluton,0,696544,6002753,211.6,52.1,2.53,14.03,11.19,11,1.87,9.33,11,0.19,3.3,5.44,4.01,1.63,0.38,2.51,98.71,96.2,0,0,0,0,0,0,0,263,0,0,22,53,7,32,8,2.4,0,0,8.6,1.8,5,0.75,4.7,0.72,25,114,43,-2.5,-10,295,0,0,-10,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
42430,Vasquez and Franz 2008,Diabase,P,Cobquecura Pluton,0,696544,6002753,211.6,56.13,1.78,14.98,8.39,8.25,1.4,6.99,8.25,0.12,3.06,3.75,4.66,2,0.23,2.01,98.2,96.19,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,90,55,-10,20,196,0,0,-10,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
42795,Vasquez and Franz 2008,Undefined plutonic rock,P,Cobquecura Pluton,0,696544,6002753,211.6,51.2,1.32,16.2,7.78,7.65,1.3,6.48,7.65,0.13,6.5,8.54,3.47,1.28,0.16,1.65,99.06,97.41,0,0,0,0,0,0,0,130,0,0,12,29,4,17,4,1.4,4.7,0.8,4.9,1,3,0.43,2.8,0.43,24,62,66,45,225,195,0,0,-10,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
42856,Vasquez and Franz 2008,Gabronorite,P,Cobquecura Pluton,0,695800,5992200,211.6,49.11,0.71,19.49,5.06,4.98,0.84,4.22,4.98,0.1,6.83,13.28,2.63,0.35,0.07,1.38,99.73,98.35,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,42,47,63,460,169,0,0,63,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
43160,Vasquez and Franz 2008,Undefined plutonic rock,P,Cobquecura Pluton,0,701131,6006348,211.6,67.54,0.62,15.25,4.2,4.08,1.2,3,4.08,0.06,0.83,2.56,3.69,2.39,0.13,1.05,99,97.95,0,0,0,0,0,0,0,401,0,0,42,83,11,41,8,1.7,3.4,1.1,6.8,1.4,3.9,0.58,3.7,0.57,-0.55,47,106,-10,21,45,0,0,-10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
43556,Vasquez and Franz 2008,Granite (fayalite bearing),P,Cobquecura Pluton,0,699672,6008232,211.6,66.8,0.65,14.41,6.79,6.56,2.26,4.53,6.56,0.13,0.5,2.94,4.02,2.96,0.18,0.61,100.9,100.29,0,0,0,0,0,0,0,278,0,0,37,77,9,36,8,2,7.9,1.2,7.7,1.6,4.5,0.65,4.4,0.66,24,98,49,-2.5,-5,-15,0,0,-15,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
43586,Vasquez and Franz 2008,Gabronorite,P,Cobquecura Pluton,0,695800,5992200,211.6,48.33,0.54,18.7,5.45,5.36,0.91,4.54,5.36,0.11,7.76,12.99,2.33,0.38,0.06,2.3,99.69,97.39,0,0,0,0,0,0,0,44,0,0,2,6.1,1,8,1,0.8,1.7,0.3,1.9,0.4,1.1,0.13,1,0.15,-15,40,39,51,378,175,0,0,38,0,0,0,0,0,0,0,0,-0.55,0,0,0,0,0,0
43922,Vasquez and Franz 2008,Granite (fayalite bearing),P,Cobquecura Pluton,0,699672,6008232,211.6,71.99,0.34,13.92,3.68,3.56,1.23,2.45,3.56,0.08,0.25,1.87,4.18,3.67,0.06,0.39,100.97,100.58,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,88,59,-2.5,-15,-15,0,0,-15,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
44107,Vasquez and Franz 2008,Dike,P,Cobquecura Pluton,0,696544,6002753,211.6,76,0.12,12.54,1.57,1.52,0.52,1.05,1.52,0.03,0.25,0.64,3.62,4.14,0.05,0.33,100.21,99.88,0,0,0,0,0,0,0,173,0,0,24,48,7,27,7,0.7,7.1,1.3,7.8,1.6,4.6,0.71,4.2,0.59,-4,50,140,11,-15,-15,0,0,-15,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
44108,Vasquez and Franz 2008,Granite (fayalite bearing),P,Cobquecura Pluton,0,701216,6010047,211.6,63.09,0.88,15.06,8.46,8.18,2.82,5.64,8.18,0.15,0.87,4.24,4.06,2.4,0.27,0.41,100.97,100.56,0,0,0,0,0,0,0,226,0,0,29,64,8,35,8,2.3,8.2,1.3,8,1.6,4.5,0.67,4.2,0.64,21,119,46,-2.5,-5,42,0,0,-15,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
44138,Vasquez and Franz 2008,Gabbro,P,Cobquecura Pluton,0,696544,6002753,211.6,52.9,1.23,17.8,6.96,6.84,1.16,5.8,6.84,0.11,5.28,8.35,3.41,1.17,0.17,1.35,99.36,98.01,0,0,0,0,0,0,0,139,0,0,12,28,4,15,4,1.4,4.3,0.7,4.5,0.9,2.6,0.38,2.5,0.38,20,56,64,39,214,168,0,0,-10,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
44652,Vasquez and Franz 2008,Gabronorite,P,Cobquecura Pluton,0,701258,6011895,211.6,50.73,3,16.89,10.46,10.29,1.74,8.72,10.29,0.19,5.22,9.61,3.15,0.37,0.18,0.06,101.28,101.22,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,90,58,19,50,351,0,0,-15,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
46447,Vasquez and Franz 2008,Gabbro,P,Cobquecura Pluton,0,698129,6006417,211.6,50.88,1.44,16.12,8.43,8.29,1.41,7.03,8.29,0.15,7.09,8.7,3.16,0.8,0.16,1.35,99.36,98.01,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,44,72,45,123,216,0,0,33,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
FL-16-6,Rodriguez et al 2019,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,333000,7058000,213.2,66.77,0.48,16.55,4.42,4.29,1.26,3.16,4.29,0.07,1.78,4.23,4.42,1.58,0.12,0.43,100.9,100.47,357,41.1,321,3.5,0,0,5.3,0,-5,15.1,16.1,32.6,4.1,15.8,2.9,0.9,2.7,0.4,2.4,0.5,1.5,0.2,1.3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA-1030,Brown 1991,Undefined plutonic rock,P,Cerros del Vetado Complex,0,350235,7092070,217,76.02,0.21,12.67,1.82,1.76,0.61,1.21,1.76,0.03,0.37,0.74,3.08,4.71,0.05,0.54,100.23,99.69,46,245,230,18.3,2.51,0.84,5,88,3.26,54,25.5,61.9,0,29.8,6.87,0.42,7.6,1.39,0,0,0,0,6.72,0.7,0,28,0,7,0,16,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,20,0,0
SA-1031,Brown 1991,Undefined plutonic rock,P,Cerros del Vetado Complex,0,350235,7092070,217,68.83,0.39,15.32,3.17,3.08,0.91,2.26,3.08,0.04,0.73,1.8,3.68,4.74,0.1,0.99,99.8,98.81,87,224,526,23.3,3.44,1.1,8,151,5.66,50,40.6,86.6,0,46.4,9.25,0.94,9.4,1.58,0,0,0,0,6.34,0.75,0,54,0,10,0,38,0,0,7,0,0,0,0,0,0,0,0,15,0,0,0,25,0,0
SA-1032,Brown 1991,Undefined plutonic rock,P,Cerros del Vetado Complex,0,350235,7092070,217,77.59,0.05,12.68,0.52,0.5,0.17,0.35,0.5,0.01,0.08,0.65,3.68,4.64,0.02,0.39,100.32,99.93,20,239,-0.25,11.9,3.35,0.73,2,54,2.1,46,11.9,24.4,0,12.8,4.1,0.05,4.1,1.08,0,0,0,0,7.48,0.85,0,18,0,4,0,4,0,0,-2.5,0,0,0,0,0,0,0,0,14,0,0,0,26,0,0
03_31,Vasquez et al 2011,Granite,P,Triassic Pluton,Constitucion,186451,6082287,224,71.9,0.25,13.9,1.95,1.88,0.65,1.3,1.88,0.04,0.42,1.39,3.71,4.07,0.06,0.39,98.2,97.81,88,250,453,15,5.5,1.3,10,132,-3,22,26,51,6.1,22,4.7,0.6,4.3,0.8,4.3,0.8,2.4,0.39,2.5,0.37,5,33,134,-10,-10,25,0,0,0,0,0,0,8.8,0,0,0,13,19,0,0,0,31,0,0
03_33,Vasquez et al 2011,Granite,P,Triassic Pluton,Constitucion,188052,6086254,224,70.5,0.37,14.5,2.55,2.46,0.85,1.7,2.46,0.05,0.7,1.6,3.31,4.34,0.22,0.78,99.1,98.32,-0.05,-0.1,568,-0.05,-0.03,-0.25,13,167,6,-0.25,-0.01,-0.01,-0.01,-0.05,-0.05,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.05,-0.05,-0.03,8,73,140,15,-15,-15,0,0,0,0,0,0,-0.5,0,0,0,-0.05,18,0,0,0,-2.5,0,0
03_34,Vasquez et al 2011,Granodiorite,P,Triassic Pluton,Constitucion,182650,6086065,224,68.7,0.55,15.5,3.7,3.59,1.06,2.64,3.59,0.08,1.26,2.57,4.36,1.9,0.14,1.1,100,98.9,-0.05,-0.1,283,-0.05,-0.03,-0.25,15,177,6,-0.25,-0.01,-0.01,-0.01,-0.05,-0.05,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.05,-0.05,-0.03,10,76,140,15,34,50,0,0,0,0,0,0,-0.5,0,0,0,-0.05,20,0,0,0,-2.5,0,0
03_39,Vasquez et al 2011,Granite,P,Triassic Pluton,Constitucion,191442,6079016,224,70.7,0.43,14.2,2.87,2.77,0.96,1.91,2.77,0.07,0.92,1.87,3.52,3.78,0.12,0.95,99.6,98.65,107,217,469,14,5.4,1.4,12,153,5,24,28,57,7.1,26,5.5,0.9,5.1,0.9,4.9,0.9,2.8,0.42,2.8,0.41,7,69,140,10,-15,31,0,0,0,0,0,0,11.2,0,0,0,18,19,0,0,0,27,0,0
SA-1023,Brown 1991,Undefined plutonic rock,P,Chañaral Complex,0,349339,7097599,230,65.37,0.5,16.17,4.69,4.56,1.34,3.35,4.56,0.05,2,4.57,4.04,1.54,0.14,1.18,100.23,99.05,372,52,323,6.88,1.23,0.43,4,122,4.32,14,19.94,37.9,0,20.2,3.31,1.04,-0.03,0.43,0,0,0,0,1.97,0.25,0,39,0,18,0,78,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0
SA-1024,Brown 1991,Undefined plutonic rock,P,Chañaral Complex,0,349339,7097599,230,73.72,0.32,13.39,2.93,2.83,0.98,1.95,2.83,0.04,0.62,0.85,3.05,3.87,0.16,0.87,99.83,98.96,62,203,158,13.9,4.22,1.5,9,123,4.78,33,25.6,55.5,0,28.2,6.1,0.52,8,0.97,0,0,0,0,3.68,0.43,0,49,0,9,0,36,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,25,0,0
SA-1025,Brown 1991,Undefined plutonic rock,P,Chañaral Complex,0,349339,7097599,230,75.83,0.05,13.61,0.67,0.65,0.22,0.45,0.65,0,0.08,0.21,3.64,4.6,0.2,0.78,99.66,98.88,48,314,128,2.47,3.71,2.75,6,37,1.52,7,2.3,5.05,0,3.9,0.95,0.03,-0.03,0.22,0,0,0,0,0.92,0.1,0,12,0,5,0,5,0,0,-2.5,0,0,0,0,0,0,0,0,19,0,0,0,16,0,0
SA-1418,Brown 1991,Undefined plutonic rock,P,Chañaral Complex,0,349339,7097599,230,72.05,0.38,14.3,2.56,2.47,0.85,1.71,2.47,0.03,0.95,2.06,3.6,3.29,0.12,0.52,99.87,99.35,177,117,411,6.74,1.36,0.69,6,121,3.21,21,17.6,54,0,14.9,3.39,0.7,5,0.5,0,0,0,0,1.51,0.25,0,31,0,8,0,62,0,0,-2.5,0,0,0,0,0,0,0,0,19,0,0,0,9,0,0
SA-1421,Brown 1991,Undefined plutonic rock,P,Chañaral Complex,0,349339,7097599,230,72.44,0.48,19.39,3.21,3.1,1.07,2.14,3.1,0.04,0.74,1.47,3.08,3.85,0.16,0.81,100.21,99.4,90,190,385,14.23,2.14,1.13,11,166,4.19,37,31.7,86.9,0,25.8,6.47,0.59,8.6,1.26,0,0,0,0,2.13,0.35,0,52,0,9,0,48,0,0,10,0,0,0,0,0,0,0,0,11,0,0,0,28,0,0
14732,Lucassen et al 1999,Granite,p,Paleozoic granitoids,Caleta Loa West,397660,7625726,236,73.35,14.74,0.2,0.65,0.63,0.22,0.43,0.63,0.03,0.71,3.32,3.86,0.94,0.06,0.71,99.9,99.19,291,30,336,5,0,0,5,94,4,6,33,62,6.3,20.34,3.02,1.7,2.4,0,1.3,0.21,0.39,0,0.45,0.07,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
CaB-294,Girardi 2014,Gr,P,Intrusivo Pérmico,Moradito,,,256,69.63,0.44,14.75,,,0.77,2.27,2.27,0.07,0.88,2.31,3.38,3.93,0.11,0.57,99.11,98.54,152,171,582,12.8,2.58,0.95,8.8,188,4.6,35.3,22.2,48,5.5,21.2,5.17,0.48,5.33,0.9,5.58,1.11,3.26,0.5,3.23,0.49,,,,,,,,,,,,,,,,,,,,,,,,
SA-1361,Brown 1991,Undefined plutonic rock,P,Cifuncho Complex,0,349452,7160376,270.4,70.48,0.43,15.16,2.86,2.76,0.95,1.91,2.76,0.04,0.95,2.41,3.68,3.13,0.1,0.76,100,99.24,188,154,502,13.68,4,1.01,9,143,4.93,31,33.9,94.6,0,29.3,6.13,0.64,7.1,0.78,0,0,0,0,2.33,0.43,0,48,0,8,0,44,0,0,5,0,0,0,0,0,0,0,5.6,20,0,0,0,16,0,0
SA-1367,Brown 1991,Undefined plutonic rock,P,Cifuncho Complex,0,349452,7160376,270.4,69.24,0.49,15.13,3.08,2.98,1.03,2.05,2.98,0.04,0.92,2.7,3.73,2.8,0.11,1.05,99.29,98.24,222,131,529,14.51,2.21,1,9,150,4.97,35,34.6,91.4,0,29.3,6.27,0.72,8.1,1.14,0,0,0,0,2.46,0.43,0,43,0,7,0,33,0,0,9,0,0,0,0,0,0,0,5.2,14,0,0,0,16,0,0
SA-1371,Brown 1991,Undefined plutonic rock,P,Cifuncho Complex,0,349452,7160376,270.4,75.85,0.07,13.39,0.52,0.5,0.17,0.35,0.5,0.01,0.04,0.57,4.03,4.89,0.06,0.27,99.7,99.43,35,212,148,4.12,2.88,2.71,5,46,2.94,28,5.4,15.2,0,6.3,1.91,0.18,2.77,0.48,0,0,0,0,2.88,0.59,0,13,0,2,0,9,0,0,-2.5,0,0,0,0,0,0,0,15.2,11,0,0,0,29,0,0
SA-1372,Brown 1991,Undefined plutonic rock,P,Cifuncho Complex,0,349452,7160376,270.4,75.52,0.16,13.31,0.99,0.96,0.33,0.66,0.96,0.03,0.11,0.49,2.57,6.14,0.15,0.67,100.13,99.46,40,228,122,2.43,1.91,0.52,1,51,1.68,16,6,14.7,0,4.6,1.44,0.19,1.97,0.37,0,0,0,0,1.51,0.24,0,17,0,6,0,22,0,0,-2.5,0,0,0,0,0,0,0,14.7,10,0,0,0,20,0,0
SA-1374,Brown 1991,Undefined plutonic rock,P,Cifuncho Complex,0,349452,7160376,270.4,68.11,0.68,15.19,4.08,3.96,1.17,2.91,3.96,0.04,1.07,2.24,3.47,2.86,0.02,1.27,99.2,97.93,142,165,598,18.36,2.2,1.26,15,226,7.4,39,49.4,131,0,37.5,9.27,1.04,11.3,1.9,0,0,0,0,2.49,0.37,0,60,0,12,0,61,0,0,9,0,0,0,0,0,0,0,4.8,24,0,0,0,13,0,0
SA-1394,Brown 1991,Undefined plutonic rock,P,Cifuncho Complex,0,349452,7160376,270.4,68,0.75,14.82,4.92,4.78,1.41,3.51,4.78,0.04,1.34,2.28,2.96,3.1,0.15,1.27,99.63,98.36,200,154,711,20.94,1.98,1.13,13,259,9.3,35,56,152,0,45.8,9.87,1.22,12,1.66,0,0,0,0,2.46,0.31,0,71,0,19,0,85,0,0,21,0,0,0,0,0,0,0,4.4,19,0,0,0,17,0,0
13271,Lucassen et al 1999,Undefined plutonic rock,p,Paleozoic granitoids,Caleta Loa West,397660,7625726,273,70.66,16.23,0.28,0.92,0.89,0.31,0.61,0.89,0.03,0.96,3.53,3.74,1.37,0.11,0.95,100.67,99.72,309,48,494,10,0,0,7,166,5,4,42,81,8.5,33,5.6,1.7,3.7,0,1.5,0.26,0.5,0,0.38,0.06,0,64,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
14366,Lucassen et al 1999,Undefined plutonic rock,p,Paleozoic granitoids,Caleta Loa West,397660,7625726,273,72.03,15.82,0.2,0.67,0.65,0.22,0.45,0.65,0.04,0.76,2.78,3.63,1.93,0.22,1.05,100.54,99.49,235,59,735,7,0,0,8,98,4,6,29,56,6.5,24,4.9,1.3,3.6,0,2,0.36,0.69,0,0.45,0.06,0,44,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
18749,Lucassen et al 1999,Undefined plutonic rock,P,Paleozoic granitoids,Caleta Loa East,431428,7603644,273,57.55,17.1,0.69,1.79,1.74,0.46,1.33,1.74,0.15,3.73,6.86,2.38,1.88,0.15,2.37,100.65,98.28,159,104,228,0,0,0,5,93,4,19,10,23,3.1,13,3.4,1,3.6,0,3.8,0.77,2.2,0,2.1,0.32,0,85,0,16,62,134,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
3/299,Lucassen et al 1999,Granite,P,Paleozoic granitoids,Sierra Moreno South,489667,7583680,283,58.78,0.59,20.32,5.93,5.73,1.98,3.95,5.73,0.12,1.16,5.2,4.63,2.25,0.14,0.5,99.82,99.32,379,113,597,0,0,0,11,241,6,16,16,33,3.7,15,3.2,1.9,3.1,0,3,0.58,1.9,0,2,0.34,6,117,0,4,18,41,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girardi 2014,"Girardi, J.D., 2014. Comparison of Mesozoic magmatic evolution and Iron Oxide (-Copper-Gold) (IOCG) mineralization, Central Andes and Western North America. PhD. Thesis, The University of Arizona.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown 1991,"Brown, M., 1991. Comparative geochemical interpretation of Permian-Triassic plutonic complexes of the Coastal Range and Altiplano (25°30' to 26°30'S), northern Chile. Geol. Soc. of America. Spec. Papers 265, 157-178. doi: 10.1130/SPE265-p157.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coloma et al 2017,"Coloma, F., Valin, X., Oliveros, V., Vásquez, P., Creixell, C., Salazar, E., Ducea, M.N., 2017. Geochemistry of Permian to Triassic igneous rocks from northern Chile (28º-30º15’S): Implications on the dynamics of the proto-Andean margin. Andean Geology 44(2), 147-178. doi: 10.5027/andgeoV44n2-a03.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creixell et al 2012,"Creixell, C., Arévalo, C., Ortíz, M., 2012. Geología del área Carrizalillo - El Tofo, regiones de Atacama y Coquimbo. Servicio Nacional de Geología y Minería, Carta Geológica de Chile, Serie Geología Básica 133-134: 82 p., 1 map scale 1:100.000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gana 1991,"Gana, P., 1991. Magmatismo bimodal del Triásico Superior-Jurásico Inferior, en la Cordillera de la Costa, Provincias de Elqui y Llmari, Chile. Andean Geology 18(1), 55-67. doi: 10.5027/andgeoV18n1-a05.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucassen and Franz 1994,"Lucassen, F., Franz, G., 1994. Arc related Jurassic igneous and meta-igneous rocks in the Coastal Cordillera of northern Chile/Region Antofagasta. Lithos 32(3-4), 273-298. doi: 10.1016/0024-4937(94)90044-2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucassen et al 1999,"Lucassen, F., Franz, G., Thirlwall, M.F., Mezger, K., 1999. Crustal Recycling of Metamorphic Basement: Late Palaeozoic Granitoids of Northern Chile (22 S). Implications for the Composition of the Andean Crust. Journal of Petrology 40(10), 1527-1551.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucassen et al 2002,"Lucassen, F., Escayola, M., Romer, R.L., Viramonte, J., Koch, K., Franz, G., 2002. Isotopic composition of Late Mesozoic basic and ultrabasic rocks from the Andes (23–32 S)–implications for the Andean mantle. Contributions to Mineralogy and Petrology 143(3), 336-349. doi: 10.1007/s00410-001-0344-3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucassen et al 2006,"Lucassen, F., Kramer, W., Bartsch, V., Wilke, H.G., Franz, G., Romer, R.L., Dulski, P., 2006. Nd, Pb, and Sr isotope composition of juvenile magmatism in the Mesozoic large magmatic province of northern Chile (18–27 S): indications for a uniform subarc mantle. Contributions to Mineralogy and Petrology 152(5), 571-589. doi: 10.1007/s00410-006-0119-y.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
