Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl
NM-5,Rodriguez et al 2016,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,336392,7068050,193.5,67.26,0.4,15.58,6.1,5.88,2.23,3.87,5.88,0.08,1.27,4.03,3.47,2.59,0.15,0.75,99.45,98.7,174,107,275,0,0,0,0,0,0,29,0.28,8.57,0,0,0.98,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM-6,Rodriguez et al 2016,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,337220,7068217,193.5,65.17,0.67,15.16,7.9,7.6,2.95,4.95,7.6,0.11,2.06,4.62,3.39,2.35,0.13,0.75,99.36,98.61,160,88,0,0,0,0,0,0,0,32,1.28,1.94,0,0,0.12,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM-7,Rodriguez et al 2016,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,340545,7068102,193.5,64.83,0.74,15.69,7.25,6.91,3.41,3.84,6.91,0.08,1.78,4.98,2.96,3.36,0.21,0.99,99.46,98.47,251,153,0,0,0,0,0,0,0,29,3.07,14.3,0,0,1.23,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM-8,Rodriguez et al 2016,Tonalite,P,Flamenco Pluton,Coastal Range batholith,333059,7068776,193.5,63.82,0.59,15.7,7.49,7.27,2.21,5.28,7.27,0.13,2.63,5.74,3.27,1.48,0.16,0.53,99.33,98.8,174,51,172,0,0,0,0,0,0,21,0.56,10.5,0,0,1.29,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL-15-5,Rodriguez et al 2019,Tonalite,P,Flamenco Pluton,Coastal Range batholith,344000,7058500,193.5,58.43,0.92,17.01,7.58,7.36,2.17,5.41,7.36,0.14,3.17,6.43,3.22,1.96,0.18,0.98,100.1,99.12,273,76.6,363,6.8,0,0,6.7,0,-5,29.8,21,46.2,6.1,25.1,5,1.4,4.9,0.9,4.8,1.1,3,0.4,3,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL-16-16,Rodriguez et al 2019,Granite,P,Flamenco Pluton,Coastal Range batholith,333600,7067000,193.5,70.32,0.32,14.58,3.62,3.5,1.21,2.41,3.5,0.08,1.02,3.01,3.47,2.72,0.09,0.46,100.1,99.64,162,131,443,11.3,0,0,6.6,0,-5,13,21.7,42.1,4.5,18.1,3.2,0.7,3.1,0.5,2.5,0.6,1.6,0.3,1.4,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL-16-3,Rodriguez et al 2019,Granite,P,Flamenco Pluton,Coastal Range batholith,336000,7059000,193.5,74.32,0,12.94,1.55,1.5,0.52,1.03,1.5,0.03,0.31,1.48,3.28,4.12,0.04,0.8,99.04,98.24,139,186,515,26.9,0,0,7.8,0,-5,31.6,37.2,62.9,8.7,30.38,5,0.7,5,0.8,4.5,1,3,0.4,2.7,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL-16-8,Rodriguez et al 2019,Tonalite,P,Flamenco Pluton,Coastal Range batholith,333000,7065000,193.5,60.08,0.65,16.96,7.11,6.91,2.03,5.08,6.91,0.14,2.93,6.15,3.47,1.33,0.12,0.73,99.68,98.95,244,41.9,239,4.9,0,0,5.7,0,-5,28.5,15.2,39.1,4.9,24.1,4.5,1.3,4.6,0.7,4.4,1,3,0.4,2.8,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL-16-9,Rodriguez et al 2019,Tonalite,P,Flamenco Pluton,Coastal Range batholith,331000,7067000,193.5,62.22,0.74,17.04,6.54,6.35,1.87,4.67,6.35,0.12,2.58,5.94,3.59,1.4,0.11,0.51,100.7,100.19,201,44.2,232,3.6,0,0,5.1,0,-5,27,11.6,25,3.2,14.4,3.2,1,3.6,0.9,3.9,0.9,2.7,0.4,2.7,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL-16-14,Rodriguez et al 2019,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,338000,7068000,194,67.26,0.4,15.58,2.23,2.17,0.64,1.59,2.17,0.08,1.27,4.03,3.47,2.59,0.15,0.75,99.45,98.7,123,100,373,7.8,0,0,7.5,0,-5,26.8,20.9,45,6,22,4.9,1,4.8,0.8,4.3,0.9,2.6,0.4,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
