,sample,closest city,unit,rock,age group1,age,latitude,longitude,utm (e),utm (n),comments,references,sio2,al2o3,fe2o3,feo,cao,mgo,na2o,k2o,cr2o3,tio2,mno,p2o5,sro,bao,loi,total,as_ppm,ba_ppm,be_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,ga_ppm,hf_ppm,li_ppm,ll,mn_ppm,mo_ppm,nb_ppm,ni_ppm,pb_ppm,rb_ppm,s_ppm,sc_ppm,sn_ppm,sr_ppm,ta_ppm,th_ppm,ti_ppm,tl_ppm,u_ppm,v_ppm,w_ppm,y_ppm,zn_ppm,zr_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,nb/y,zr/ti,la/yb,la/sm,sm/yb,sr/y,utm2long,utm2lat
20,MLP04-21,Melipilla,Upper member Lo Prado Formation,Ignimbrita,early Cretaceous,120,-33.33,70.75,,,Approximate coordinates,Hasler (2007),69.1,16.05,1.16,2.32,0.44,0.08,4.73,3.64,,0.55,0.06,0.13,,,1.32,99.58,,620.43,1.41,3.3,16.65,2.74,13.02,17.38,6.76,4.56,,,0.96,6.41,0.63,9.62,101.31,,14.94,1.36,201.49,0.49,11.06,3297.2500000000005,0.19,2.88,25.84,,58.75,150.43,212.31,25.51,55.24,7.34,28.96,6.76,1.84,7.99,1.48,10.31,2.16,5.82,0.89,5.59,0.85,0.10910638297872341,0.06439002198802031,4.56350626118068,3.773668639053255,1.2093023255813953,3.429617021276596,inf,inf
21,MLP04-22,Melipilla,Upper member Lo Prado Formation,Tuff,early Cretaceous,120,-33.33,70.75,,,Approximate coordinates,Hasler (2007),70.6,14.17,1.21,2.42,0.29,0.09,2.55,6.79,,0.37,0.12,0.12,,,0.67,99.39,,1581.79,0.72,7.47,15.37,2.45,29.17,12.05,3.9,7.01,,,0.28,3.54,2.35,12.3,180.31,,11.34,2.14,137.18,0.32,9.14,2218.15,0.6,1.62,60.03,,19.19,63.95,114.17,15.52,28.43,3.65,13.54,2.99,0.88,3.0,0.49,3.2,0.69,2.0,0.32,2.2,0.35,0.18447107868681603,0.051470820278159725,7.054545454545454,5.190635451505016,1.3590909090909091,7.148514851485149,inf,inf
23,127,La Serena,Veta Negra Formation,,early Cretaceous,140,-30.0,-70.5,,,Approximate coordinates,Irwin et al. (1988),53.5,17.0,,6.5,4.7,5.1,2.6,6.1,,0.71,0.08,0.11,,,1.27,97.7,,,,,140.0,,58.0,,,,,,,,50.0,,,,,,418.0,,,4256.45,,,170.0,,15.0,50.0,69.0,,,,,,,,,,,,,,,,0.016210692008598714,,,,27.866666666666667,inf,inf
24,83,La Serena,Veta Negra Formation,,early Cretaceous,121,-30.0,-70.5,,,Approximate coordinates,Irwin et al. (1988),57.0,16.8,,7.7,7.1,3.6,4.0,2.1,,1.2,0.12,0.3,,,0.39,100.31,,,,,106.0,,177.0,,,,,,,5.0,39.0,,,,,,322.0,,,7194.0,,,217.0,,30.0,71.0,192.0,,,,,,,,,,,4.12,,4.03,0.39,0.16666666666666666,0.026688907422852376,,,,10.733333333333333,inf,inf
25,151B,La Serena,Veta Negra Formation,,early Cretaceous,122,-31.0,-70.5,,,Approximate coordinates,Irwin et al. (1988),54.8,16.3,,7.6,7.6,5.6,3.6,1.6,,1.0,0.13,0.24,,,1.99,100.5,,,,,20.0,,95.0,,,,,,,8.0,76.0,,,,,,411.0,,,5995.0,,,20.0,,30.0,74.0,162.0,,,,,,,,,,,2.26,,2.36,0.46,0.26666666666666666,0.02702251876563803,,,,13.7,inf,inf
26,BUS35,La Serena,Veta Negra Formation,Basaltic andesite-shoshonite,early Cretaceous,120,-33.5,-70.5,,,Approximate coordinates,Vergara et al (1995),53.19,18.1,3.86,5.79,8.25,3.98,2.85,2.43,,0.98,0.31,0.28,,,,,,609.0,,22.0,,,,,4.1,,,,,2.56,47.0,,113,,,,694.0,0.21,4.69,5875.099999999999,,1.36,334.0,,29.3,,113.0,14.6,33.6,,20.5,4.93,1.38,4.57,,4.76,0.8,2.17,,2.2,0.45,0.08737201365187713,0.019233715170805604,6.636363636363636,2.9614604462474645,2.2409090909090907,23.686006825938566,inf,inf
27,CER73,Santiago,Veta Negra Formation,Andesite-shoshonite,early Cretaceous,120,-32.5,-70.5,,,Approximate coordinates,Vergara et al (1995),57.6,15.27,4.64,4.55,6.83,2.55,2.75,3.9,,1.2,0.25,0.45,,,,,,514.0,,16.0,,,,,5.98,,,,,5.9,11.0,,135,,,,429.0,0.45,7.0,7194.0,,1.96,200.0,,33.9,,206.0,19.2,44.8,,24.4,6.36,1.26,5.1,,5.18,1.07,2.92,,2.84,0.4,0.17404129793510326,0.02863497358910203,6.76056338028169,3.0188679245283017,2.23943661971831,12.654867256637168,inf,inf
32,TC99-5a,Vallenar,Arqueros Formation (Ka1),Volcanic,early Cretaceous,111.3,-29.33,-71.0,,,Approximate coordinates,Morata et al. (2008),51.2,17.05,5.35,4.6,8.68,4.3,3.09,2.35,,1.0,0.17,0.29,,,1.84,99.92,,674.0,,29.0,59.0,,297.0,,3.73,,,,,6.6,18.0,13.84,78.5,,33.7,,503.0,0.49,11.93,5995.0,,3.18,282.0,,24.7,100.0,132.0,23.0,48.9,,25.1,5.62,1.55,5.02,,3.9,0.53,1.52,0.23,1.6,0.27,0.2672064777327935,0.022018348623853212,14.375,4.092526690391459,3.5124999999999997,20.36437246963563,inf,inf
34,CaB-222a,Copiapo,Copiapo Plutonic Complex,Quartz diorite,mid-Cretaceous,131,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),61.84,15.94,6.13,,5.56,2.67,3.94,1.49,,0.72,0.11,0.12,,,0.58,99.1,,274.0,,,,,,,4.8,,,,,,,,60,,,,252.0,,4.9,4316.400000000001,,,,,27.0,,179.0,15.8,36.0,,16.0,4.5,1.3,,0.6,,,,,,,,0.041469743304605684,,3.511111111111111,,9.333333333333334,inf,inf
35,CaB-287b,Copiapo,Copiapo Plutonic Complex,Andesite,mid-Cretaceous,131,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),55.27,16.39,8.13,,8.39,3.23,4.28,1.24,,1.59,0.13,0.3,,,0.58,99.53,,192.0,,,,,,,4.9,,,,,8.0,,,36,,,,402.0,0.63,3.64,9532.050000000001,,1.2,,,33.7,,226.0,19.9,45.2,6.19,25.8,6.28,1.62,6.42,1.08,6.25,0.72,2.17,0.33,2.27,0.39,0.2373887240356083,0.02370948536778552,8.766519823788546,3.168789808917197,2.7665198237885464,11.928783382789316,inf,inf
36,C9G-140,Copiapo,Copiapo Plutonic Complex,Quartz diorite,mid-Cretaceous,130.1,-27.469,-70.52,349858.0,6960739.0,,Girardi (2014),56.69,16.47,1.93,5.54,7.4,3.45,3.67,0.88,,0.72,0.14,0.11,,,0.76,97.76,,204.0,,,,,,,3.2,,,,,3.1,,,22,,,,293.0,0.27,2.81,4316.400000000001,,0.63,,,22.9,,141.0,9.82,22.0,2.82,12.0,3.03,1,3.41,0.57,3.58,0.75,2.26,0.36,2.45,0.39,0.13537117903930132,0.03266611064776202,4.0081632653061225,3.2409240924092413,1.2367346938775508,12.794759825327512,-70.5195435988111,-27.46863400559111
37,C8B-081,Copiapo,Copiapo Plutonic Complex,Diorite,mid-Cretaceous,128.4,-27.397,-70.39,362616.0,6968864.0,,Girardi (2014),54.82,16.4,7.62,,7.87,5.53,4.67,0.97,,0.79,0.09,0.14,,,1.51,100.41,,119.0,,,,,,,3.1,,,,,,,,,,,,371.0,2.0,5.2,4736.05,,1.4,,,51.0,,115.0,12.9,35.0,,21.0,7.6,1.4,,0.9,,,,,5.9,0.79,,0.02428183824072803,2.1864406779661016,1.6973684210526316,1.2881355932203389,7.2745098039215685,-70.3895370913818,-27.396651925325216
38,C9G-128a,Copiapo,Copiapo Plutonic Complex,Diorite,mid-Cretaceous,128.5,-27.355,-70.475,354122.0,6973357.0,,Girardi (2014),60.75,16.42,6.21,,5.54,2.13,3.79,1.85,,0.75,0.1,0.14,,,1.06,98.74,,222.0,,,,,,,4.4,,,,,4.9,,,62,,,,256.0,0.4,5.01,4496.250000000001,,1.67,,,30.1,,187.0,15.2,35.3,4.63,19.3,4.86,1.03,4.95,0.85,5.13,1.06,3.12,0.49,3.15,0.49,0.16279069767441862,0.04159021406727828,4.825396825396825,3.127572016460905,1.542857142857143,8.504983388704318,-70.47488731401172,-27.355220013067225
39,CaB-296,Copiapo,Copiapo Plutonic Complex,Granodiorite,mid-Cretaceous,127.3,-27.362,-70.469,354750.0,6972601.0,,Girardi (2014),74.01,12.75,1.06,0.82,1.6,0.39,3.02,4.49,,0.24,0.03,0.02,,,0.31,98.73,,360.0,,,,,,,5.2,,,,,4.0,,,194,,,,92.0,0.54,37.0,1438.8000000000002,,4.86,,,26.1,,174.0,21.6,46.7,5.24,18.9,3.99,0.15,3.62,0.62,3.85,0.77,2.47,0.39,2.82,0.45,0.1532567049808429,0.12093411175979982,7.659574468085108,5.413533834586466,1.4148936170212767,3.524904214559387,-70.468629699405,-27.362109942538176
40,CaB-079,Copiapo,Copiapo Plutonic Complex,Andesite,mid-Cretaceous,127.9,-27.453,-70.536,348215.0,6962490.0,,Girardi (2014),51.81,16.67,3.72,4.1,8.94,5.12,4.07,1.22,,1.37,0.09,0.25,,,0.91,98.27,,133.0,,,,,,,3.5,,,,,5.8,,,49,,,,380.0,0.42,2.62,8213.150000000001,,0.75,,,26.9,,155.0,14.7,33.3,4.36,19.1,4.6,1.15,4.79,0.76,4.39,,,,1.3,0.22,0.21561338289962825,0.018872174500648348,11.307692307692307,3.1956521739130435,3.538461538461538,14.12639405204461,-70.53594804435654,-27.452649253822624
41,C8K-261,Copiapo,Copiapo Plutonic Complex,Dacite,mid-Cretaceous,121.8,-27.547,-70.352,366490.0,6952257.0,,Girardi (2014),75.85,12.98,0.82,,0.65,0.33,6.97,0.08,,0.29,<0.01,0.04,,,1.05,99.06,,29.0,,,,,,,3.4,,,,,,,,<20,,,,54.0,3.0,5.8,1738.5500000000002,,<0.5,,,12.0,,131.0,4.5,9.0,,6.0,1.2,<0.1,,<0.5,,,,,1.6,0.26,,0.07535014811193234,2.8125,3.75,0.7499999999999999,4.5,-70.35219203357939,-27.54692260006262
42,C8B-021,Copiapo,Copiapo Plutonic Complex,Diorite,mid-Cretaceous,119.5,-27.527,-70.351,366562.0,6954496.0,,Girardi (2014),52.81,17.76,8.99,,8.08,3.94,3.81,1.72,,0.91,0.15,0.26,,,0.81,99.24,,374.0,,,,,,,2.9,,,,,4.7,,,36,,,,552.0,0.35,3.46,5455.450000000001,,1.03,,,22.2,,136.0,15.8,35.6,4.5,19.4,4.55,1.34,4.16,0.64,3.63,0.85,2.39,,2.19,0.34,0.21171171171171171,0.024929199241125844,7.214611872146119,3.4725274725274726,2.077625570776256,24.864864864864867,-70.35121574832084,-27.526721863162642
43,C3B-358/375,Copiapo,Copiapo Plutonic Complex,Monzodiorite,mid-Cretaceous,115.9,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),63.54,15.07,1.27,3.71,3.95,1.79,3.84,3.56,,0.67,0.11,0.17,,,0.53,98.2,,549.0,,,,,,,7.0,,,,,8.4,,,132,,,,377.0,0.67,13.8,4016.6500000000005,,2.47,,,22.9,,314.0,23.4,50.1,6.13,24.2,5.09,1.12,4.12,0.66,3.73,0.62,1.85,0.29,2.0,0.32,0.36681222707423583,0.07817459823484743,11.7,4.597249508840864,2.545,16.46288209606987,inf,inf
44,Tig890-Dike,Copiapo,Copiapo Plutonic Complex,Andesite,mid-Cretaceous,116.3,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),57.85,17.39,7.08,,6.49,3.08,3.64,1.98,,0.61,0.06,0.18,,,0.83,99.19,,697.0,,,,,,,2.6,,,,,3.6,,,60,,,,567.0,0.28,1.88,3656.95,,0.9,,,17.3,,116.0,10.4,27.0,3.95,16.4,3.72,1.15,3.34,0.53,3.01,1.3,3.8,0.56,3.74,0.59,0.20809248554913296,0.03172042275666881,2.7807486631016043,2.7956989247311825,0.9946524064171123,32.774566473988436,inf,inf
45,TRS-Dike,Copiapo,Copiapo Plutonic Complex,Andesite,mid-Cretaceous,116.4,-27.511,-70.349,366747.0,6956249.0,,Girardi (2014),56.36,17.79,8.36,,2.11,3.23,7.99,0.18,,0.54,0.04,0.18,,,2.04,98.82,,42.0,,,,,,,97.0,,,,,,,,,,,,169.0,,2.6,3237.3,,1.9,,,2.2,,,13.1,23.0,,11.0,2.1,0.4,,<0.5,,,,,1.9,0.38,,,6.894736842105264,6.238095238095237,1.105263157894737,76.81818181818181,-70.3491497087903,-27.510918504279537
46,C9G-210,Copiapo,Copiapo Plutonic Complex,Diorite,mid-Cretaceous,116.5,-27.489,-70.49,352826.0,6958530.0,,Girardi (2014),54.09,14.9,10.48,,7.13,4.21,3.22,2.38,,1.2,0.19,0.49,,,0.32,98.61,,485.0,,,,,,,6.1,,,,,8.0,,,78,,,,419.0,0.59,8.41,7194.0,,2.98,,,35.6,,272.0,29.8,67.9,9.4,38.8,8.87,1.66,7.67,1.2,6.59,0.66,1.9,0.29,1.91,0.33,0.2247191011235955,0.03780928551570754,15.602094240837697,3.3596392333709137,4.643979057591623,11.769662921348313,-70.48978186842838,-27.48889455536612
47,TRS01-124.4-131.0,Copiapo,Copiapo Plutonic Complex,Andesite,mid-Cretaceous,116.5,-27.511,-70.349,366747.0,6956249.0,,Girardi (2014),54.53,17.33,10.48,,0.97,3.98,5.59,4.58,,0.53,0.03,0.17,,,1.16,99.35,,695.0,,,,,,,2.8,,,,,,,,130,,,,156.0,,3.1,3177.3500000000004,,3.1,,,8.0,,109.0,10.2,19.0,,7.0,1.4,<0.1,,<0.5,,0.71,2.06,0.31,2.11,0.35,,0.03430531732418524,4.834123222748815,7.285714285714286,0.6635071090047393,19.5,-70.3491497087903,-27.510918504279537
48,C8B-013a,Copiapo,Copiapo Plutonic Complex,Monzodiorite,mid-Cretaceous,116.7,-27.436,-70.415,360179.0,6964530.0,,Girardi (2014),52.26,17.25,9.84,,9.27,4.3,3.25,0.96,,1.01,0.18,0.2,,,0.98,99.49,,322.0,,,,,,,2.4,,,,,2.9,,,26,,,,637.0,0.19,4.18,6054.95,,0.97,,,19.8,,107.0,13.3,29.9,3.93,17.4,4.18,1.42,3.66,0.58,3.26,0.84,2.3,0.36,2.18,0.33,0.14646464646464646,0.017671491919834185,6.10091743119266,3.181818181818182,1.9174311926605503,32.17171717171717,-70.41467783352275,-27.435519886200378
49,C9G-074,Copiapo,Copiapo Plutonic Complex,Quartz diorite,mid-Cretaceous,111,-27.107,-70.35,366182.0,7001005.0,,Girardi (2014),63.21,15.12,5.87,,4.02,1.98,3.55,3.97,,1.04,0.1,0.27,,,0.6,99.73,,770.0,,,,,,,9.3,,,,,11.8,,,127,,,,251.0,1.07,16.8,6234.8,,4.73,,,32.8,,425.0,33.4,73.5,9.55,37.8,8.07,1.43,6.98,1.08,6.08,0.41,1.29,0.21,1.54,0.26,0.35975609756097565,0.06816577917495348,21.688311688311686,4.138785625774473,5.240259740259741,7.652439024390245,-70.3499707551091,-27.106909924139558
50,C9G-166b,Copiapo,Copiapo Plutonic Complex,Quartz diorite,mid-Cretaceous,106,-27.511,-70.349,,,Approximate coordinates,Girardi (2014),57.7,18.01,7.07,,7.48,3.2,3.73,1.22,,0.65,0.13,0.18,,,0.16,99.54,,278.0,,,,,,,2.4,,,,,3.3,,,17,,,,634.0,0.22,1.93,3896.7500000000005,,0.63,,,15.8,,105.0,12.9,27.6,3.4,14.2,3.36,1.04,2.86,0.47,2.64,1.28,3.34,0.52,3.54,0.45,0.20886075949367086,0.026945531532687493,3.6440677966101696,3.8392857142857144,0.9491525423728813,40.12658227848101,inf,inf
51,CaB-171a,Copiapo,Copiapo Plutonic Complex,Tonalite,mid-Cretaceous,106.8,-27.368,-70.409,360653.0,6972014.0,,Girardi (2014),66.1,15.69,2.19,1.78,4.39,1.56,3.7,2.33,,0.36,0.07,0.17,,,0.78,99.11,,635.0,,,,,,,3.5,,,,,6.2,,,47,,,,443.0,0.64,4.91,2158.2000000000003,,1.44,,,14.2,,150.0,22.7,44.1,4.88,17.6,3.14,0.3,2.44,0.36,2.12,0.79,2.25,,2.26,0.35,0.4366197183098592,0.06950236308034473,10.04424778761062,7.229299363057324,1.3893805309734515,31.19718309859155,-70.40902620655878,-27.36802287521145
52,060496-1,Illapel,Illapel Plutonic Complex,Trondhjemite,mid-Cretaceous,109,-31.0,-71.0,,,Approximate coordinates,Parada et al. (1999),58.62,17.22,2.83,3.92,6.64,3.1,3.48,1.95,,0.65,0.15,0.19,,,,98.75,,650.0,,,,,,,,,,,,5.0,,,56,,,,500.0,,,3896.7500000000005,,,,,26.0,,137.0,16.0,38.0,,23.0,4.95,1.13,3.85,,3.95,0.93,2.45,,2.44,0.39,0.19230769230769232,0.0351575030474113,6.557377049180328,3.2323232323232323,2.028688524590164,19.23076923076923,inf,inf
54,ARQ99-4,La Serena,Arqueros Formation (Ka3),Volcanic,mid-Cretaceous,114.1,-29.83,-71.0,,,Approximate coordinates,Morata et al. (2008),53.9,19.11,4.32,2.44,6.35,1.99,4.29,4.04,,0.76,0.1,0.49,,,1.79,99.58,,987.0,,16.0,29.0,,34.0,,4.59,,,,,8.9,9.0,14.64,144.7,,19.4,,673.0,0.67,16.2,4556.2,,4.15,183.0,,25.2,86.0,175.0,32.9,68.7,8.66,34.2,7.02,1.85,5.94,0.79,4.24,1.18,3.46,0.51,3.49,0.54,0.3531746031746032,0.038409200649664195,9.426934097421203,4.686609686609687,2.0114613180515755,26.706349206349206,inf,inf
68,970119-4,Santiago,Caleu Pluton,Gabbro-diorite,mid-Cretaceous,93,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),51.6,19.62,3.55,5.6,3.97,3.87,7.78,0.96,,1.19,0.15,0.25,,,1.24,99.78,,266.0,,26.0,5.0,,51.0,,3.0,,,,,7.0,16.0,,32,,24.0,,423.0,,4.0,7134.049999999999,,,231.0,,20.0,70.0,65.0,14.0,33.0,,19.0,5.03,1.61,4.76,,4.26,1.04,2.67,,2.65,0.63,0.35,0.009111234151709058,5.283018867924529,2.783300198807157,1.89811320754717,21.15,inf,inf
69,CA-99-1,Santiago,Caleu Pluton,Gabbro-diorite,mid-Cretaceous,93.4,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),51.63,17.69,3.42,6.52,4.55,3.79,8.17,1.16,,1.67,0.17,0.48,,,0.63,99.88,,420.0,,26.0,18.0,,186.0,,1.0,,,,,11.0,14.0,,26,,30.0,,460.0,,3.0,10011.650000000001,,,236.0,,29.0,92.0,59.0,24.0,60.0,,36.0,7.86,2.1,7.31,,6.03,1.61,4.15,,4.17,0.39,0.3793103448275862,0.005893134498309469,5.755395683453237,3.0534351145038165,1.8848920863309353,15.862068965517242,inf,inf
70,970114-6,Santiago,Caleu Pluton,Gabbro-diorite,mid-Cretaceous,93,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),52.3,17.95,3.88,5.24,3.78,3.98,7.76,2.08,,1.27,0.15,0.36,,,0.89,99.64,,400.0,,22.0,16.0,,190.0,,6.0,,,,,13.0,12.0,,50,,25.0,,410.0,,5.0,7613.650000000001,,,234.0,,28.0,92.0,182.0,21.0,53.0,,32.0,7.02,1.6,6.03,,5.18,0.9,2.47,,2.48,0.32,0.4642857142857143,0.023904434798027226,8.467741935483872,2.9914529914529915,2.8306451612903225,14.642857142857142,inf,inf
71,970119-5,Santiago,Caleu Pluton,Gabbro-diorite,mid-Cretaceous,93,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),52.41,18.64,3.65,5.12,4.23,3.86,8.2,0.79,,0.99,0.12,0.22,,,1.71,99.94,,165.0,,22.0,35.0,,186.0,,3.0,,,,,9.0,23.0,,17,,24.0,,430.0,,4.0,5935.05,,,220.0,,42.0,56.0,102.0,13.0,40.0,,28.0,7.26,1.5,8.12,,8.42,0.84,2.2,,2.12,0.41,0.21428571428571427,0.01718603887077615,6.132075471698113,1.790633608815427,3.424528301886792,10.238095238095237,inf,inf
72,970118-6,Santiago,Caleu Pluton,Gabbro-diorite,mid-Cretaceous,93,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),53.8,19.5,3.11,3.2,3.81,4.8,8.7,0.69,,0.56,0.08,0.32,,,1.04,99.61,,250.0,,15.0,36.0,,30.0,,2.0,,,,,4.0,16.0,,15,,26.0,,596.0,,3.0,3357.2000000000007,,,127.0,,26.0,44.0,66.0,17.0,42.0,,28.0,6.76,2,6.04,,5.28,1.06,2.6,,2.64,0.65,0.15384615384615385,0.01965923984272608,6.4393939393939394,2.514792899408284,2.5606060606060606,22.923076923076923,inf,inf
73,970612-1,Santiago,Caleu Pluton,Gabbro-diorite,mid-Cretaceous,93,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),55.6,18.16,2.2,4.56,3.4,4.43,6.69,2.42,,1.24,0.12,0.31,,,0.73,99.86,,470.0,,20.0,45.0,,76.0,,3.0,,,,,24.0,24.0,,60,,16.0,,535.0,,5.0,7433.8,,,172.0,,23.0,93.0,360.0,21.0,53.0,,30.0,5.89,1.43,4.94,,4.32,1.46,4.1,,4.11,0.34,1.0434782608695652,0.04842745298501439,5.10948905109489,3.5653650254668934,1.4330900243309002,23.26086956521739,inf,inf
74,970118-3,Santiago,Caleu Pluton,Gabbro-diorite,mid-Cretaceous,92.7,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),57.2,17.51,2.95,3.64,2.92,4.43,5.65,3.27,,1.08,0.12,0.28,,,0.67,99.72,,520.0,,15.0,30.0,,46.0,,1.0,,,,,17.0,19.0,,,,17.0,,388.0,,11.0,6474.6,,,141.0,,26.0,88.0,165.0,28.0,66.0,,33.0,6.69,1.42,6.02,,5.03,0.85,2.27,,2.2,0.4,0.6538461538461539,0.0254841997961264,12.727272727272727,4.185351270553064,3.040909090909091,14.923076923076923,inf,inf
75,970119-7,Santiago,Caleu Pluton,Gabbro-diorite,mid-Cretaceous,93,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),61.68,15.85,2.26,4.24,1.65,3.08,4.2,4.71,,0.74,0.15,0.36,,,0.86,99.78,,732.0,,15.0,10.0,,77.0,,10.0,,,,,13.0,3.0,,171,,18.0,,309.0,,18.0,4436.3,,,104.0,,35.0,67.0,338.0,30.0,73.0,,43.0,8.4,1.26,7.88,,7.19,0.98,2.64,,2.66,0.39,0.37142857142857144,0.07618961747402114,11.278195488721805,3.571428571428571,3.1578947368421053,8.82857142857143,inf,inf
76,970612-2,Santiago,Caleu Pluton,Gabbro-diorite,mid-Cretaceous,93,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),62.25,17.17,2.36,2.28,1.38,3.78,3.24,5.56,,0.79,0.09,0.19,,,0.73,99.82,,540.0,,20.0,23.0,,55.0,,10.0,,,,,24.0,24.0,,133,,10.0,,307.0,,15.0,4736.05,,,84.0,,21.0,51.0,434.0,23.0,59.0,,28.0,5.23,1.25,4.85,,4.0,0.96,2.63,,2.53,0.4,1.1428571428571428,0.09163754605631275,9.090909090909092,4.397705544933078,2.0671936758893286,14.619047619047619,inf,inf
77,980124-12,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),54.05,18.68,2.25,5.32,4.33,3.81,7.65,1.63,,0.75,0.17,0.09,,,1.14,99.87,,401.0,,18.0,31.0,,211.0,,2.0,,,,,7.0,20.0,,58,,28.0,,349.0,,4.0,4496.250000000001,,,210.0,,24.0,74.0,29.0,11.0,27.0,,16.0,4.26,1.33,4.02,,4.49,0.9,2.5,,2.59,0.34,0.2916666666666667,0.00644981929385599,4.2471042471042475,2.5821596244131455,1.6447876447876448,14.541666666666666,inf,inf
78,970524-4,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95.7,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),56.03,17.76,2.69,5.28,3.64,3.77,6.71,1.59,,0.92,0.14,0.18,,,1.21,99.92,,334.0,,18.0,36.0,,39.0,,5.0,,,,,8.0,17.0,,58,,25.0,,357.0,,5.0,5515.400000000001,,,182.0,,23.0,52.0,90.0,15.0,37.0,,23.0,4.45,1.42,4.17,,4.4,0.83,2.26,,2.2,0.44,0.34782608695652173,0.01631794611451572,6.8181818181818175,3.3707865168539324,2.0227272727272725,15.521739130434783,inf,inf
79,CA-99-5,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),58.63,17.03,2.96,3.36,3.19,4.2,5.31,3.13,,0.77,0.1,0.13,,,0.86,99.67,,386.0,,14.0,19.0,,25.0,,4.0,,,,,9.0,17.0,,65,,22.0,,275.0,,7.0,4616.150000000001,,,169.0,,23.0,29.0,95.0,14.0,35.0,,17.0,4.23,1.05,4.28,,4.29,0.95,2.84,,2.86,0.43,0.391304347826087,0.02057992049651766,4.895104895104895,3.3096926713947985,1.4790209790209792,11.956521739130435,inf,inf
80,970525-1,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),59.65,16.86,2.19,4.0,2.93,3.73,5.36,2.63,,0.78,0.09,0.13,,,1.2,99.55,,398.0,,15.0,31.0,,42.0,,4.0,,,,,12.0,19.0,,85,,17.0,,259.0,,9.0,4676.1,,,139.0,,23.0,41.0,218.0,12.0,31.0,,19.0,3.57,0.9,3.62,,3.86,0.93,2.68,,2.77,0.51,0.5217391304347826,0.04662004662004662,4.332129963898917,3.361344537815126,1.2888086642599277,11.26086956521739,inf,inf
81,970121-4,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,94.2,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),59.8,16.95,1.96,4.0,2.93,4.02,5.55,2.6,,0.8,0.11,0.16,,,0.78,99.66,,430.0,,15.0,21.0,,71.0,,1.0,,,,,6.0,17.0,,,,20.0,,281.0,,8.0,4796.0,,,135.0,,27.0,65.0,211.0,15.0,36.0,,21.0,4.5,0.97,4.79,,4.61,1.19,3.1,,3.22,0.48,0.2222222222222222,0.04399499582985821,4.658385093167702,3.3333333333333335,1.3975155279503104,10.407407407407407,inf,inf
82,970524-3,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),60.3,16.95,2.25,4.12,2.96,3.88,5.63,2.36,,0.78,0.11,0.16,,,0.28,99.78,,360.0,,14.0,25.0,,80.0,,1.0,,,,,6.0,16.0,,,,20.0,,305.0,,8.0,4676.1,,,138.0,,26.0,65.0,183.0,15.0,36.0,,20.0,4.74,0.97,4.6,,4.48,1.08,3.0,,3.05,0.44,0.23076923076923078,0.039135176749855644,4.918032786885246,3.1645569620253164,1.554098360655738,11.73076923076923,inf,inf
83,CA-99-7,Santiago,Caleu Pluton,Tonalite,mid-Cretaceous,95,-33.0,-71.0,,,Approximate coordinates,Parada et al. (2002),60.38,16.57,2.23,4.0,2.67,3.6,5.26,2.98,,1.0,0.1,0.25,,,0.94,99.98,,410.0,,15.0,19.0,,77.0,,1.0,,,,,12.0,11.0,,99,,18.0,,335.0,,17.0,5995.0,,,156.0,,30.0,35.0,200.0,31.0,75.0,,40.0,7.37,1.41,6.58,,6.18,0.98,2.66,,2.71,0.43,0.4,0.03336113427856547,11.439114391143912,4.2062415196743554,2.719557195571956,11.166666666666666,inf,inf
