,Area ID,Data Source,Sample ID,Age  (Ma),Error (Ma),Mineral,Method,Location,#1 description,#2 description,Long,Lat,Rock Type,V/P,Chem Data Source,WR or Min Data,UMF,SiO2,TiO2,Al2O3,Fe#,FeO,Fe2O3,FeO(tot)*,MnO,Mn,Mg#,MgO,CaO,Na2O,K2O,LOI,SUM,Cr2O3,Cr,P2O5,Rb,Cs,Sr,Ba,Th,U,Zr,Hf,Nb,Y,Cu,Zn,Li,Cd,Ga,Ge,Mo,Sb,Sn,W,Ta,Pb,Co,Ni,La,Ce,Pr,Nd,Sm,Sc,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,V,Be,Rb.1,Sr.1,Age used,87Rb/86Sr,87Sr/86Sr(m),87Sr/86Sr(i),Sm.1,Nd.1,147Sm/144Nd,143Nd/144Nd(m),143Nd/144Nd(i),εNd,U.1,Th.1,Pb.1,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,238U/204Pb,235U/204Pb,232Th/204Pb,(206Pb/204Pb)i,(207Pb/204Pb)i,(208Pb/204Pb)i,ε(Sr)m,ε(Sr)i age corrected ,ε(Nd)i age corrected,Lu.1,Hf.1,176Lu/177Hf,176Hf/177Hf,εHf,δ18O (Qtz),δ18O (Pl),δ18O (Ksp),δ18O (Bt),δ18O (Hb),δ18O (Mg),δ18O (Zir),δ18O (wr)
0,,,,Ma,,,,,,,,,,,,,,wt%,wt%,wt%,,,wt%,,wt%,wt%,,wt%,wt%,wt%,wt%,,,wt%,,wt%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Ma,,,,ppm,ppm,,,,,ppm,ppm,ppm,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chile,GirardiJ 2014_PhD Dissertation Mesozoic magmatic evolution northern Chile,C9G-170-128,105.9,2.6,Zircon,U-Pb,"M25.Kigdpb Granodioritas de Sierra Pajas Blancas,Copiapo Batholith",,,-70.455,-27.402,Intrusion;Ton,P,,,F,64.63,0.41,15.45,,1.8,2.06,,0.08,,,1.92,4.78,3.47,2.56,0.95,98.21,,,0.11,,,472,442,6.23,2.2,126,3.1,4.1,12.4,,,,,,,,,,,0.46,,,,16.6,33.8,3.88,14.3,2.9,,0.41,2.38,0.35,2.03,0.4,1.19,0.18,1.29,0.22,,,52.27,449.9,105.9,0.336,0.703872(14),0.70337,2.96,15.44,0.116,0.512873(6),0.512793,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chile,GirardiJ 2014_PhD Dissertation Mesozoic magmatic evolution northern Chile,CAB-171A-129,106.8,2.0,Zircon,U-Pb,"M25.Kigdpb Granodioritas de Sierra Pajas Blancas,Copiapo Batholith",,,-70.409,-27.368,Intrusion;Ton,P,,,F,66.1,0.36,15.69,,1.78,2.19,,0.07,,,1.56,4.39,3.7,2.33,0.78,99.11,,,0.17,,,443,635,4.91,1.44,150,3.5,6.2,14.2,,,,,,,,,,,0.64,,,,22.7,44.1,4.88,17.6,3.14,,0.3,2.44,0.36,2.12,0.41,1.29,0.21,1.54,0.26,,,43.08,431.1,106.8,0.289,0.703697(11),0.70326,3.52,19.91,0.107,0.512880(8),0.512805,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Chile,GirardiJ 2014_PhD Dissertation Mesozoic magmatic evolution northern Chile,C9G-074-189,111,1.6,Zircon,U-Pb,"Kidlb,La Boracha",,,-70.35,-27.107,Intrusion;Qdi,P,,,F,63.21,1.04,15.12,,,5.87,,0.1,,,1.98,4.02,3.55,3.97,0.6,99.73,,,0.27,,,251,770,16.8,4.73,425,9.3,11.8,32.8,,,,,,,,,,,1.07,,,,33.4,73.5,9.55,37.8,8.07,,1.43,6.98,1.08,6.08,1.18,3.46,0.51,3.49,0.54,,,122.5,249.4,111,1.421,0.705515(17),0.70327,7.9,37.25,0.128,0.512889(7),0.512796,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chile,Molina et al 2015 (Protracted late magmatic stage 2015),970121-4,94.7,1.2,Zircon,U-Pb LA-ICP-MS,Caleu pluton,Granodiorite Zone,,-71.0250066760342,-33.0471893915169,Tonalite,P,,WR,F,59.8,0.8,16.95,,4,1.96,,0.11,,,2.93,5.55,4.02,2.6,,,,,0.16,,,281,430,7,,211,5.9,9,,,,,,,,,,,,,,,,15,36,,21,4.5,,0.97,4.79,,4.61,0.95,2.84,,2.86,0.44,,,,,,,,0.70331,,,,,0.512831,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Chile,Molina et al 2015 (Protracted late magmatic stage 2015),970525-1,94.7,1.2,Zircon,U-Pb LA-ICP-MS,Caleu pluton,Granodiorite Zone,,-71.0169220456592,-32.9785576207149,Tonalite,P,,WR,F,59.65,0.78,16.86,,4,2.19,,0.09,,,2.93,5.36,3.73,2.63,,,,,0.13,,,259,398,9,,218,4,12,,,,,,,,,,,,,,,,12,31,,19,3.57,,0.9,3.62,,3.86,0.83,2.26,,2.2,0.34,,,,,,,,0.7033,,,,,0.512811,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Chile,Molina et al 2015 (Protracted late magmatic stage 2015),970118-3,94.7,1.2,Zircon,U-Pb LA-ICP-MS,Caleu pluton,Granodiorite Zone,,-70.9753927725014,-33.0412396359999,Diorite,P,,WR,F,57.2,1.08,17.51,,3.64,2.95,,0.12,,,2.92,5.65,4.43,3.27,,,,,0.28,,,388,520,11,,165,7.6,18,,,,,,,,,,,,,,,,28,66,,33,6.669,,1.42,6.02,,5.03,1.06,2.6,,2.64,0.41,,,,,,,,0.70325,,,,,0.51276,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Chile,Molina et al 2015 (Protracted late magmatic stage 2015),970616-1,94.7,1.2,Zircon,U-Pb LA-ICP-MS,Caleu pluton,Granodiorite Zone,,-71.075576472415,-32.9744488869873,Granodiorite,P,,WR,F,69,0.64,14.65,,2.72,1.61,,0.06,,,1,2.57,3.39,3.61,,,,,0.17,,,153,460,10,,357,11,10,,,,,,,,,,,,,,,,25,63,,34,7.46,,0.98,7.74,,7.36,1.59,4.4,,4.44,0.7,,,,,,,,0.70336,,,,,0.51281,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chile,Molina et al 2015 (Protracted late magmatic stage 2015),CR-15,94.68,1.2,Zircon,U-Pb LA-ICP-MS,Caleu pluton,Monzogranite Zone,,-71.0498016679539,-32.9855070261377,Granodiorite,P,,WR,F,70.9,0.26,12.64,,1.32,1.13,,0.04,,,0.84,1.4,1.75,6.85,,,,,0.05,137.36278761737302,,144.37566967062307,720.6478192897201,22.604252827949985,3.8300232262135454,86.10017130646067,2.6818723069341273,3.789936727777108,14.613771459033746,26.736735627348196,,,,,,,,,,,,,,10.32231470763314,12.636935571966003,,10.110840185012751,1.96596760107189,,0.8017933523451143,2.147019468414572,,2.214862065858796,0.46906491101207554,1.4623715738333924,,1.5838222952036685,0.2909699164139454,,,,,,,,0.7033,,,,,0.512811,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Chile,Molina et al 2015 (Protracted late magmatic stage 2015),970524-3,96,1.5,Zircon,U-Pb LA-ICP-MS,Caleu pluton,Quartz Monzodiorite Zone,,-71.0169220456592,-32.9785576207149,Tonalite,P,,WR,F,60.3,0.78,16.95,,4.12,2.25,,0.11,,,2.96,5.63,3.88,2.36,,,,,0.16,,,305,360,7,,183,5.6,8,,,,,,,,,,,,,,,,15,36,,20,4.74,,0.97,4.6,,4.48,0.93,2.68,,2.77,0.43,,,,,,,,0.7033,,,,,0.512807,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Chile,Parada et al 1999,060496-3,94,1.2,Zircon,U-Pb,Illapel,,,-70.7996465879174,-31.5049845136244,Trondhjemite,V,,,M,54.9,0.99,17.13,,2.12,0.49,,0.06,,,5.13,13.62,4.09,0.08,,,,,0.16,4,,570,110,,,108,,12,29,,,,,,,,,,,,,,,6,21,,17,4.98,1.2,5.67,,4.48,,0.89,2.5,,2.49,0.41,,,4,570,,,,0.70355,5,17,,,0.512882,4.9,,,,,,,,,,,,,,0.7035,0.512773,,,,,,,,,,,,,
