,reference,sample,stratigraphic unit,lithology,trace element (ppm),cs_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,nb_ppm,ta_ppm,la_ppm,ce_ppm,pb_ppm,pr_ppm,sr_ppm,nd_ppm,zr_ppm,hf_ppm,sm_ppm,eu_ppm,ti_ppm,tb_ppm,y_ppm,tm_ppm,yb_ppm,gd_ppm,dy_ppm,ho_ppm,er_ppm,lu_ppm,major oxide (wt%),sio2,p2o5,tio2,al2o3,cao,na2o,k2o,fe2o3,feo,fe2o3t,feot,mno,mgo,"isotopic data (nd, sr and pb)",εnd,143nd/144ndi,206pb/204pbi,207pb/204pbi,208pb/204pbi,87sr/86sri,co_ppm,age,longitude,latitude
0,Cochrane et al. (2014): Ecuador and Colombia,09RC31,Tres Lagunas,Metagranite,,4.9,113,685,10.9,2.4,12.2,0.7,31,59.9,17.8,6.7,158,27.7,169,4.3,5.3,1.5,3955.7027483879056,0.7,23,0.3,2.34,4.7,4.1,0.9,2.2,0.3,,68.54,0.13,0.66,16.49,0.8,2.37,2.7,3.84,,,,0.05,1.12,,,,,,,,,232.28000000000003,-78.14222222222223,-0.3758333333333333
1,Cochrane et al. (2014): Ecuador and Colombia,09RC40,Moromoro,Metagranite,,7.2506666666666675,114.54866666666668,483.80233333333337,6.154,6.154,7.485333333333333,0.8213333333333334,19.037333333333333,35.55266666666667,18.99833333333333,4.038333333333333,160.45533333333336,16.182666666666666,118.87966666666667,2.9683333333333337,3.2273333333333336,1.031,2251.574386067101,0.4716666666666667,14.865333333333334,0.195,1.4096666666666666,2.6756666666666664,2.753,0.5176666666666666,1.2846666666666666,0.5176666666666666,,73.2161177775537,0.10874659675305032,0.3756700615105375,13.534008268629625,1.3247312695371585,2.362766965816275,3.094334980336795,2.83,,,,0.06,1.13,,,,,,,,,232.6,-79.85194444444444,-3.7044444444444444
2,Cochrane et al. (2014): Ecuador and Colombia,09RC42,Sabanilla,Metagranite,,10.452666666666666,139.466,505.2963333333334,8.883333333333333,8.883333333333333,10.269666666666666,1.3613333333333335,25.197,49.108000000000004,10.625333333333336,5.256666666666667,45.599333333333334,21.994333333333334,171.4403333333333,4.604666666666667,4.399333333333334,0.6573333333333333,2778.099180022286,0.5576666666666666,19.158666666666665,0.29133333333333333,2.218,3.5356666666666663,3.3876666666666666,0.71,1.8943333333333332,0.71,,77.18093196457328,0.09862117552334944,0.4635195249597423,11.716195652173914,0.23669082125603863,0.6508997584541063,3.155877616747182,3.32,,,,0.07,1.08,,,,,,,,,247.2,-79.14777777777779,-4.461944444444445
3,Cochrane et al. (2014): Ecuador and Colombia,09RC53,Tres Lagunas,Metagranite,,5.589333333333333,130.49066666666667,606.8596666666666,9.166333333333332,9.166333333333332,8.365333333333334,0.9693333333333333,20.775666666666666,40.67,1.6423333333333332,4.540666666666667,54.541,17.982666666666667,167.983,4.387333333333333,4.208000000000001,0.734,3145.7773582729137,0.5766666666666668,19.947666666666667,0.29466666666666663,1.9636666666666667,3.578,3.671333333333333,0.7393333333333333,1.9603333333333335,0.7393333333333333,,72.28293239152372,0.13864379414732597,0.5248657921291625,13.190966700302726,1.3666316851664986,2.6936508577194758,3.5354167507568115,3.11,,,,0.03,1.27,,,,,,,,,232.28000000000003,-78.8125,-3.1566666666666667
4,Cochrane et al. (2014): Ecuador and Colombia,09RC44,Sabanilla,Paragneiss,,4.915666666666667,109.26799999999999,491.92233333333337,7.686333333333333,7.686333333333333,9.349666666666666,0.721,25.188666666666666,47.297,16.907333333333334,5.378,210.45066666666665,22.257,182.35433333333333,4.721666666666667,4.513333333333333,1.1203333333333332,3159.3200028161227,0.6593333333333334,22.570999999999998,0.29600000000000004,1.986,4.205333333333333,3.8216666666666668,0.7846666666666667,1.9,0.7846666666666667,,69.50098031337886,0.15913218159903575,0.527125351546806,15.037991161108877,2.7549758939333064,2.6754098031337885,3.0235114503816796,3.75,,,,0.06,1.52,,,,,,,,,247.2,-79.14861111111112,-4.483888888888889
5,Cochrane et al. (2014): Ecuador and Colombia,09RC45,Sabanilla,Paragneiss,,4.435666666666666,53.724,480.97766666666666,4.987333333333333,4.987333333333333,4.328,0.5773333333333333,11.533666666666667,23.151333333333337,15.373666666666665,2.643,95.27233333333334,11.502,57.17933333333334,1.7696666666666667,2.7273333333333336,0.7253333333333334,2967.7729582567868,0.5813333333333334,23.267666666666667,0.35633333333333334,2.48,2.8033333333333332,3.578,0.8610000000000001,2.2263333333333333,0.8610000000000001,,77.37466465256797,0.13864652567975833,0.49516616314199396,11.269981873111783,0.5446827794561934,2.47583081570997,2.941287009063444,2.34,,,,0.04,0.72,,,,,,,,,247.2,-79.02083333333333,-3.9780555555555557
6,Cochrane et al. (2014): Ecuador and Colombia,11RC03,Agoyan fm.,Paragneiss,,5.967666666666666,143.89700000000002,605.7420000000001,13.540999999999999,13.540999999999999,15.440666666666667,1.2666666666666666,31.293666666666667,74.67433333333334,10.509,6.555666666666667,55.168000000000006,27.426000000000002,196.93233333333333,5.276,5.472333333333332,0.9916666666666667,4632.702952514252,1.0890000000000002,41.775,0.6416666666666666,4.524,5.346,7.029333333333334,1.5006666666666666,4.163666666666667,1.5006666666666666,,64.87937796148806,0.07827401955842322,0.7729559431394294,16.320133077931242,0.8610142151426555,1.3110898276035892,3.277724569008973,7.46,,,,0.16,1.93,,,,,,,,,207.6,-77.86222222222221,0.39
7,Cochrane et al. (2014): Ecuador and Colombia,10RC04,Cajamarca,Metagranite,,2.2663333333333333,133.741,1221.8666666666666,15.938333333333334,15.938333333333334,12.237666666666668,0.9686666666666666,38.873,68.27199999999999,19.382666666666665,7.150666666666666,174.05100000000002,27.37033333333333,272.32033333333334,6.580333333333333,4.187,0.8623333333333333,1746.0867377442712,0.535,19.507,0.315,2.3956666666666666,3.519,3.1376666666666666,0.6943333333333334,1.935,0.6943333333333334,,71.66732709015976,0.08036706149723552,0.2913305979274787,15.04873226535735,0.5525235477934941,3.9681236614260036,4.862207220582748,1.96,,,,0.03,0.26,,,,,,,,,247.12727272727273,-75.20194444444445,4.323333333333333
8,Cochrane et al. (2014): Ecuador and Colombia,10RC40,Cajamarca,Metagranite,,1.1323333333333332,46.41866666666667,1238.3873333333333,4.740333333333333,4.740333333333333,4.9063333333333325,0.49466666666666664,17.566666666666666,36.23933333333333,17.644666666666666,4.600666666666667,101.00966666666666,19.973333333333333,44.00133333333334,1.2086666666666666,5.669666666666667,1.1996666666666667,590.6286934960322,1.07,31.135,0.3333333333333333,2.1456666666666666,5.229666666666667,5.815333333333334,1.1796666666666666,2.6756666666666664,1.1796666666666666,,83.00449829420029,0.4040347180413405,0.09854505318081477,8.494583584186232,0.7489424041741922,0.7390878988561107,2.167991169977925,1.98,,,,0.03,0.53,,,,,,,,,247.12727272727273,-75.42444444444445,5.886944444444444
9,Cochrane et al. (2014): Ecuador and Colombia,10RC41,Cajamarca,Metagranite,,3.543333333333333,107.78966666666668,557.722,10.037999999999998,10.037999999999998,7.760333333333333,0.627,24.370333333333335,47.04266666666666,11.755333333333335,5.1546666666666665,134.61033333333333,21.849333333333334,151.18566666666666,3.8343333333333334,4.287,0.9526666666666667,2740.4474108680133,0.6033333333333334,19.658666666666665,0.27066666666666667,2.1206666666666667,3.458,3.548,0.7473333333333333,1.8363333333333334,0.7473333333333333,,68.93806578549086,0.13336091211784887,0.45723741297548176,13.593287256583594,2.0956714761376247,2.3147644031883767,2.8386822722227825,2.89,,,,0.03,1.11,,,,,,,,,247.12727272727273,-75.12444444444444,6.018888888888889
