,run,sample number,unit,drillhole name,from (m),to (m),easting,northing,age,uncertainty (ma),column1,sio2,al2o3,fe2o3,mgo,cao,na2o,k2o,tio2,p2o5,mno,cr2o3,ba_ppm,sc_ppm,sum,cs_ppm,ga_ppm,hf_ppm,nb_ppm,rb_ppm,sn_ppm,sr_ppm,ta_ppm,th_ppm,u_ppm,v_ppm,w_ppm,zr_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,mo_%,cu_%,pb_%,zn_%,ag_grt,ni_ppm,loi_%,totc_%,tots_%,mo_ppm,cu_ppm,pb_ppm,zn_ppm,ag_ppb,ni_ppm2,co_ppm,mn_ppm,as_ppm,au_ppb,cd_ppm,sb_ppm,bi_ppm,cr_ppm,b_ppm,tl_ppm,hg_ppb,se_ppm,te_ppm,ge_ppm,in_ppm,re_ppb,be_ppm,li_ppm,pd_ppb,pt_ppb,zrc sat t (℃),longitude,latitude
52,MAAPER10052244X,QVC19CN-060,Intermineral 1,MQ0712,553.65,553.8,327500.0,8108800.0,55.286249999999995,1.12,,66.96,15.92,3.03,1.29,1.47,2.98,5.04,0.28,0.11,0.11,<0.002,900,4,99.52,1.2,12.8,2.5,3.2,109.2,1,383.2,0.2,3.0,0.8,37,8.7,85.2,5.2,14.6,29.2,3.26,11.8,2.14,0.54,1.52,0.19,1.09,0.2,0.56,0.07,0.57,0.09,0.014,0.277,<0.02,0.01,<2,<10,2.2,0.1,0.73,138.14,2813.37,23.1,138.5,1765,3.1,5.8,727,0.4,6.9,0.52,0.05,0.52,5.8,<1,0.06,8,0.8,0.07,<0.1,0.07,94,0.3,7.0,<10,<2,752.0469361380115,-70.62125366119045,-17.098776996349567
53,MAAPER10052245X,QVC19CN-061,Monzodiorite,MQ0712,623.0,623.25,327500.0,8108800.0,55.286249999999995,1.15,,64.92,17.03,3.5,1.52,3.33,4.05,2.68,0.54,0.18,0.1,<0.002,692,5,99.73,3.0,16.3,2.6,3.3,70.5,<1,679.0,0.2,2.4,1.2,69,4.7,95.1,5.7,15.4,30.4,3.64,14.5,2.67,0.81,1.97,0.23,1.27,0.22,0.58,0.08,0.46,0.08,0.001,0.1,<0.02,<0.01,<2,<10,1.8,0.1,0.58,12.88,964.51,6.82,86.5,536,7.3,8.3,676,1.3,1.5,0.2,0.04,0.15,9.1,<1,0.25,<5,0.6,0.03,<0.1,0.03,6,0.1,14.7,<10,5,761.079571792905,-70.62125366119045,-17.098776996349567
54,MAAPER10052246X,QVC19CN-062,Intermineral 1,MQ0712,642.05,642.2,327500.0,8108800.0,55.286249999999995,,,67.62,15.98,3.21,1.01,2.3,3.62,3.78,0.29,0.12,0.11,<0.002,857,4,99.84,2.1,14.6,3.1,3.7,76.7,<1,470.0,0.3,3.4,1.1,35,4.1,113.8,6.2,19.4,38.7,4.2,14.9,2.41,0.67,1.75,0.22,1.18,0.22,0.62,0.09,0.59,0.1,0.001,0.041,<0.02,<0.01,<2,<10,1.7,0.07,0.68,16.12,402.66,6.63,79.9,343,2.7,3.8,706,0.3,<0.2,0.16,0.05,0.54,5.7,<1,0.08,<5,0.1,0.1,<0.1,<0.02,10,0.2,8.3,<10,<2,776.1772566825241,-70.62125366119045,-17.098776996349567
55,MAAPER10052247X,QVC19CN-063,Monzodiorite,MQ0713,998.4,998.65,327500.0,8108800.0,55.286249999999995,,,64.76,16.21,3.66,1.13,3.16,4.06,2.76,0.42,0.15,0.15,<0.002,778,4,99.8,8.0,16.4,2.9,3.6,76.7,2,712.8,0.3,3.4,1.3,52,1.7,93.0,6.0,18.2,36.1,4.21,15.7,2.57,0.8,2.03,0.25,1.17,0.23,0.61,0.08,0.57,0.09,<0.001,0.023,<0.02,0.02,<2,<10,3.3,0.25,0.07,0.42,237.15,66.05,173.5,569,3.7,5.2,1099,6,<0.2,0.78,0.22,1.32,5.5,1,0.04,36,<0.1,0.25,<0.1,<0.02,<1,0.4,12.9,<10,<2,759.2319202341093,-70.62125366119045,-17.098776996349567
56,MAAPER10052248X,QVC19CN-064,Early Porphyry,MQ0709,264.4,264.65,327500.0,8108800.0,55.286249999999995,,,68.99,15.56,3.29,1.3,1.73,4.37,1.73,0.32,0.13,0.06,<0.002,238,5,99.64,1.1,14.2,2.8,3.2,59.9,1,495.2,0.2,3.4,2.0,47,11.1,96.6,4.3,12.1,24.0,2.75,10.5,1.68,0.56,1.29,0.16,0.84,0.15,0.42,0.06,0.45,0.07,<0.001,0.188,<0.02,0.01,<2,<10,2.1,0.03,1.41,7.95,1852.52,9.86,102.0,1179,4.7,7.0,441,0.4,3.6,0.22,0.09,0.48,6.1,<1,0.11,<5,1,0.11,<0.1,0.06,19,<0.1,9.9,<10,<2,762.3784588197302,-70.62125366119045,-17.098776996349567
57,MAAPER10052249X,QVC19CN-065,Monzodiorite,MQ0709,268.0,268.25,327500.0,8108800.0,55.286249999999995,,,65.35,16.09,5.14,1.54,2.23,2.78,2.85,0.4,0.14,0.13,<0.002,668,5,99.52,2.7,15.2,2.9,3.3,98.2,1,464.2,0.3,3.2,1.5,51,17.6,101.8,5.6,19.8,37.7,4.14,15.6,2.63,0.79,1.94,0.23,1.18,0.22,0.65,0.09,0.6,0.1,<0.001,0.279,<0.02,0.02,<2,<10,2.8,0.01,2.13,1.25,2766.02,2.91,141.9,1615,6.6,18.3,758,<0.1,7.2,0.36,0.02,0.94,5.6,<1,0.37,<5,1.4,0.22,<0.1,0.11,14,0.1,8.7,<10,4,766.7539937880717,-70.62125366119045,-17.098776996349567
58,MAAPER10052250X,QVC19CN-066,Late Porphyry,MQ0709,322.3,322.5,327500.0,8108800.0,55.286249999999995,,,65.48,16.11,4.53,1.22,2.91,4.14,1.74,0.35,0.14,0.05,<0.002,443,4,99.69,2.4,14.5,2.7,3.6,56.5,<1,673.7,0.3,2.9,1.8,37,11.4,99.9,5.9,17.8,35.9,3.85,14.4,2.47,0.77,1.72,0.22,1.21,0.21,0.6,0.09,0.51,0.09,0.003,0.144,<0.02,<0.01,<2,<10,2.9,0.06,2.71,34.1,1414.65,9.49,75.9,956,3.5,7.2,384,0.2,2.6,0.18,0.04,1.07,4.8,<1,0.06,<5,0.8,0.3,<0.1,0.07,29,0.3,3.6,<10,<2,765.1774609271033,-70.62125366119045,-17.098776996349567
59,MAAPER10052251X,QVC19CN-067,Late Porphyry,MQ0709,438.05,438.25,327500.0,8108800.0,55.286249999999995,,,65.62,16.51,4.27,1.2,3.19,4.19,1.37,0.37,0.15,0.06,<0.002,376,4,99.68,1.5,15.6,2.7,3.4,43.1,1,664.6,0.2,3.3,2.2,43,9.0,104.7,7.1,16.9,31.6,3.46,12.5,1.87,0.66,1.61,0.21,1.19,0.21,0.68,0.1,0.62,0.1,<0.001,0.151,<0.02,<0.01,<2,<10,2.7,0.03,2.32,4.41,1493.77,2.11,33.4,832,4.1,6.3,435,<0.1,2.4,0.11,0.05,0.35,5.6,<1,0.09,<5,0.5,0.09,<0.1,0.06,3,<0.1,5.8,<10,<2,769.1133435874035,-70.62125366119045,-17.098776996349567
60,MAAPER10052252X,QVC19CN-068,Late Porphyry,MQ0708,406.1,406.4,327500.0,8108800.0,55.286249999999995,,,62.94,16.66,3.96,1.31,3.53,4.39,2.56,0.46,0.17,0.04,<0.002,795,5,99.82,2.1,16.6,3.4,3.5,51.8,<1,815.1,0.3,3.3,1.2,61,2.3,115.3,6.9,20.3,40.6,4.54,17.3,2.78,0.8,2.22,0.27,1.44,0.26,0.69,0.1,0.59,0.09,<0.001,0.021,<0.02,<0.01,<2,<10,3.7,0.04,2.52,0.69,214.61,10.53,66.8,158,4.6,8.2,319,0.5,<0.2,0.28,0.07,0.24,5.1,<1,0.03,6,0.7,0.09,<0.1,<0.02,<1,<0.1,8.1,<10,3,777.29585246953,-70.62125366119045,-17.098776996349567
61,MAAPER10052253X,QVC19CN-069,Early Porphyry,MQ0708,534.65,534.9,327500.0,8108800.0,55.286249999999995,,,67.31,15.38,2.28,1.11,1.86,2.94,4.75,0.4,0.14,0.04,<0.002,1083,5,99.03,2.2,12.1,2.7,3.4,102.3,2,679.1,0.2,4.0,1.3,48,13.2,104.0,6.3,23.0,41.6,4.44,16.2,2.65,0.72,1.99,0.22,1.31,0.21,0.7,0.09,0.59,0.1,0.022,0.668,<0.02,<0.01,3,<10,2.7,0.16,1.1,197.98,6577.31,7.98,39.5,3134,4.2,1.7,274,0.5,12.5,0.26,0.71,0.28,4.7,<1,0.03,40,2.4,0.03,<0.1,0.15,82,0.1,7.8,<10,4,768.5489109335256,-70.62125366119045,-17.098776996349567
62,MAAPER10052254X,QVC19CN-070,Regional Granodiorite,MQ0708,707.0,707.15,328420.0,8108526.0,58.91,,,65.53,16.89,2.65,1.57,3.11,4.87,1.54,0.44,0.17,0.06,<0.002,250,6,99.49,2.9,15.3,3.1,3.7,52.1,1,765.6,0.2,3.9,1.7,59,11.8,114.2,6.5,22.8,42.2,4.65,16.7,2.65,0.81,2.07,0.25,1.41,0.24,0.7,0.09,0.67,0.1,0.003,0.299,<0.02,<0.01,<2,<10,2.6,0.15,0.74,29.4,2930.86,4.88,29.3,1045,4.5,5.1,457,0.5,3.1,0.15,0.16,0.06,7.0,<1,0.08,<5,0.9,<0.02,<0.1,0.05,20,<0.1,14.1,<10,<2,776.4767502953343,-70.61263078719092,-17.101321817324713
63,MAAPER10052259X,QVC19CN-074,Yarabamba Monzonite,Outcrop Sample,,,318908.0,8087111.0,67.1,,,61.47,16.11,6.24,2.23,4.29,3.94,3.0,0.88,0.24,0.1,<0.002,547,18,99.84,4.9,14.5,4.4,5.3,113.7,2,345.6,0.4,14.9,3.8,124,1.7,158.8,23.3,22.1,46.5,5.53,21.3,4.58,1.13,4.59,0.68,4.15,0.86,2.58,0.38,2.41,0.39,<0.001,0.004,<0.02,<0.01,<2,<10,1.3,0.01,<0.01,1.26,41.88,8.36,65.9,59,2.0,7.1,220,4.4,0.8,0.05,0.32,<0.02,3.9,3,<0.02,11,<0.1,<0.02,0.2,0.02,<1,0.3,12.0,<10,4,805.4018668464262,-70.70377288265254,-17.29408276566444
64,MAAPER10052260X,QVC19CN-075,Yarabamba Monzonite,Outcrop Sample,,,318982.0,8087433.0,67.1,2.1,,64.7,15.54,4.97,1.87,3.74,3.68,3.5,0.63,0.15,0.09,0.003,644,13,99.85,8.7,13.5,5.6,6.0,126.3,1,263.8,0.5,16.2,4.4,101,2.4,201.3,20.0,24.2,50.6,5.68,20.5,4.04,0.81,3.66,0.55,3.41,0.74,2.2,0.33,2.26,0.36,<0.001,0.004,<0.02,<0.01,<2,<10,0.9,0.02,<0.01,1.07,41.27,9.63,38.5,56,5.5,7.2,206,1.2,0.4,0.04,0.14,<0.02,15.6,3,0.03,17,<0.1,<0.02,0.1,<0.02,<1,<0.1,9.4,<10,<2,827.2137187903054,-70.70305012446649,-17.291179319026202
65,MAAPER10052261X,QVC19CN-076,Yarabamba Monzonite,Outcrop Sample,,,319776.0,8088195.0,67.1,,,60.83,15.64,6.72,2.35,4.58,3.22,3.82,0.96,0.22,0.12,0.003,608,17,99.81,7.1,14.7,8.2,9.9,162.4,2,280.9,0.7,19.8,5.1,134,2.8,301.9,24.6,30.8,65.5,7.84,29.4,5.79,0.96,5.24,0.79,4.71,1.0,2.79,0.41,2.63,0.41,<0.001,0.009,<0.02,<0.01,<2,11,1.3,0.09,<0.01,1.94,87.31,4.63,38.5,40,7.9,10.0,317,4,<0.2,0.06,0.23,0.03,21.3,5,0.03,14,<0.1,<0.02,0.1,<0.02,<1,0.3,9.4,<10,2,866.6066589403249,-70.69551937624962,-17.284357672017585
66,MAAPER10052262X,QVC19CN-077,Yarabamba Monzonite,Outcrop Sample,,,320108.0,8088635.0,67.1,,,61.01,15.06,7.43,2.74,4.2,3.11,3.52,1.02,0.23,0.19,0.005,643,20,99.8,10.4,13.8,7.5,9.3,157.1,2,263.0,0.6,18.6,3.8,158,1.9,276.1,26.3,28.3,59.8,7.34,28.2,5.88,1.01,5.29,0.82,4.86,0.99,2.93,0.41,2.73,0.44,<0.001,0.008,<0.02,0.01,<2,17,1.2,0.19,<0.01,2.05,73.06,7.35,64.2,28,13.2,14.6,764,5.8,<0.2,0.14,0.92,0.15,24.0,4,0.12,64,<0.1,<0.02,<0.1,0.03,<1,0.2,14.3,<10,<2,857.6835358674928,-70.69236064364718,-17.28040848417633
67,MAAPER10052268X,QVC19CN-081,Toquepala Granodiorite,Outcrop Sample,,,322023.0,8091308.0,60.985,,,61.62,16.41,6.0,1.68,3.92,4.53,3.72,0.86,0.26,0.12,<0.002,727,15,99.84,4.5,15.5,8.5,9.7,150.7,3,303.8,0.6,20.2,4.4,83,0.9,295.4,30.3,33.0,72.0,8.7,33.9,6.9,1.39,6.33,0.95,5.63,1.12,3.48,0.48,3.29,0.5,<0.001,0.003,<0.02,<0.01,<2,<10,0.6,0.03,<0.01,1.23,33.33,12.27,47.4,36,3.6,4.6,328,20.7,0.5,0.06,1.32,0.05,9.1,5,0.07,5,<0.1,<0.02,0.1,0.02,<1,0.1,11.4,<10,<2,864.4196328181083,-70.67413252715107,-17.256407834468337
68,MAAPER10052269X,QVC19CN-082,Toquepala Granodiorite,Outcrop Sample,,,322799.0,8091844.0,60.985,1.82,,63.73,16.46,4.5,2.0,3.4,4.6,2.74,0.6,0.17,0.15,0.002,742,10,99.84,6.3,15.3,5.1,5.4,81.8,<1,423.1,0.4,9.8,2.7,92,3.5,183.2,13.6,18.3,46.3,5.64,21.4,4.07,0.91,3.41,0.49,2.82,0.58,1.64,0.22,1.46,0.24,<0.001,0.002,<0.02,0.01,<2,<10,1.4,0.02,<0.01,0.8,19.27,12.35,67.3,68,5.5,5.5,632,10.9,<0.2,0.12,1.39,0.14,11.7,7,0.04,6,<0.1,<0.02,<0.1,<0.02,<1,<0.1,15.9,<10,<2,818.4432694862276,-70.66679187193616,-17.25162547889364
69,MAAPER10052271X,QVC19CN-083,Toquepala Granodiorite,Outcrop Sample,,,324970.0,8094280.0,60.985,1.34,,65.09,16.16,4.64,1.52,4.01,4.03,2.95,0.49,0.16,0.09,0.003,795,8,99.82,6.4,16.4,4.7,5.6,91.0,1,507.5,0.4,9.8,2.1,81,3.5,166.0,12.9,17.4,33.7,3.84,15.6,3.11,0.8,2.84,0.43,2.31,0.48,1.41,0.2,1.38,0.22,<0.001,0.016,<0.02,<0.01,<2,<10,0.6,0.04,<0.01,1.95,171.35,16.49,41.4,205,6.0,6.0,282,10.4,1.1,0.08,0.57,0.13,13.3,3,0.03,<5,<0.1,<0.02,0.1,<0.02,<1,<0.1,13.0,<10,<2,809.4142467290915,-70.64618202970462,-17.229783050712207
70,MAAPER10052281X,QVC19CN-091,Granodiorite Porphyry,AQDEX17002,609.45,609.55,327500.0,8108800.0,55.286249999999995,1.33,,64.19,17.23,3.22,1.87,3.72,4.22,2.05,0.53,0.19,0.03,0.003,481,7,99.28,4.7,17.0,4.0,4.3,84.6,2,673.5,0.3,5.5,2.0,84,6.3,141.8,8.1,28.0,49.1,5.44,20.6,3.36,0.92,2.47,0.32,1.59,0.3,0.86,0.12,0.89,0.13,0.008,0.425,<0.02,<0.01,<2,<10,2.0,0.05,0.68,78.13,4361.37,2.66,23.9,1409,8.3,10.8,221,0.8,9.2,0.13,0.41,0.07,12.5,<1,0.23,7,1.2,<0.02,0.2,0.07,6,0.1,14.4,<10,<2,795.2899463167,-70.62125366119045,-17.098776996349567
