,sample,longitude,latitude,elevation _m.a.s.l._,lithology,"geological unit, locality",age _ma_,dating method,mineral,reference,unnamed: 10,age group,unnamed: 12,feo,sio2,al2o3,fe2o3,mno,mgo,cao,na2o,k2o,tio2,p2o5,cr2o3,loi,tot/c,tot/s,total,unnamed: 29,sc_ppm,be_ppm,v_ppm,cr_ppm,co_ppm,ni_ppm,cu_ppm,zn_ppm,ga_ppm,ge_ppm,as_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,mo_ppm,ag_ppm,in_ppm,sn_ppm,sb_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,w_ppm,tl_ppm,pb_ppm,bi_ppm,th_ppm,u_ppm,s_ppm,hg_ppm,li_ppm,se_ppm,cd_ppm,au_ppm,ti_ppm,unnamed: 82,sree_ppm,_la/yb_n,_la/sm_n,_gd/yb_n,eu/eu*,age_ma,age_ma_error
245,KD-WR-236,-75.694592,5.272123,1179,Monzonite,Irra Stock,69.6 ± 1.1,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,E Cretaceous Granitoids - Other Cretaceous intrusions - Irra Stock,,2.17,60.28,19.22,2.15,0.051,0.57,3.14,4.98,5.4,0.461,0.2,,0.79,,,99.41200000000002,,5.0,3,110,< 20,4,< 20,60,< 30,20,1.5,< 5,83,2801.0,19.2,275,8.2,3,1.2,< 0.1,2,0.5,1.1,4798.0,48.7,90.7,11.1,42.3,7.7,1.91,4.89,0.67,3.59,0.68,1.9,0.282,1.81,0.276,6.4,0.67,< 0.5,0.38,40,< 0.1,11.3,5.07,,,,,,,,,216.508,18.277968156281325,3.949586278700203,1.83530316805371,0.8857819259913279,69.6,1.1
246,KD-WR-23*,-75.69459,5.292726,1390,Plag porphyry,Porphyry fragment in Miraflores Breccia,72.6 ± 2.0,U-Pb (SHRIMP),Zircon,Leal-Mejía (2011),,E Cretaceous Granitoids - Other Cretaceous intrusions - Irra Stock,,3.08,63.46,13.67,0.18,0.093,3.0,4.03,3.4,3.49,0.314,0.38,,3.63,,,98.727,,9.0,3,76,190,14,70,20,50,20,1.0,< 5,73,1241.0,8.0,120,5,< 2,< 0.5,< 0.2,< 1,1.5,1,3297.0,21.2,40.7,5.01,20.0,4.2,1.15,3.1,0.4,1.6,0.3,0.7,0.1,0.6,0.1,3.7,0.4,1,1.1,28,0.6,8.6,8.3,,,,,,,,,99.16,24.0028129395218,3.152099658428772,3.5098452883263014,0.9293913589417332,72.6,2.0
247,AB-3*,-74.91333333333333,6.513333333333334,870,Granite,Antioquian Batholith,,,,Alvarez (2013),,E Paleogene Granitoids - Providencia trend - Antioquian Batholith (ca. 61 - 59 Ma),,,70.51,16.09,1.96,0.04,1.04,2.57,5.47,1.8,0.27,0.09,,0.46,,,100.3,,,,29,8,,0,,,19,,,24,570.0,4.0,90,3,,,,,,,488.0,,17.0,,,,,,,,,,,,,,,,,10,,2,,,,,,,,,,,,,,,,
248,KD-WR-08,-74.913135,6.508313,903,Bt granodiorite,Antioquian Batholith,,,,Leal-Mejía (2011),,E Paleogene Granitoids - Providencia trend - Antioquian Batholith (ca. 61 - 59 Ma),,1.94,67.44,16.91,0.47,0.05,1.24,3.54,5.16,1.98,0.343,0.14,,1.08,,,100.5,,6.0,1,47,40,5,< 20,< 10,< 30,18,1.0,< 5,27,685.0,6.0,105,2,< 2,< 0.5,< 0.2,< 1,< 0.5,0.8,673.0,8.9,20.3,2.44,9.9,2.0,0.69,1.6,0.2,1.1,0.2,0.6,0.09,0.6,0.08,2.7,0.1,2,0.2,8,< 0.4,1.4,0.7,,,,,,,,,48.70000000000002,10.076652601969059,2.778902953586498,1.8115330520393813,1.1372306741833345,,
249,KD-WR-09,-74.914962,6.510557,866,Bt granodiorite,Antioquian Batholith,,,,Leal-Mejía (2011),,E Paleogene Granitoids - Providencia trend - Antioquian Batholith (ca. 61 - 59 Ma),,1.96,69.84,16.23,0.09,0.054,1.04,2.97,5.54,1.56,0.3,0.11,,0.82,,,100.7,,5.0,1,39,< 20,4,< 20,< 10,< 30,16,1.0,< 5,20,689.0,6.0,86,2,< 2,< 0.5,< 0.2,< 1,< 0.5,0.7,486.0,9.3,19.5,2.33,9.0,1.9,0.6,1.5,0.2,1.1,0.2,0.6,0.09,0.6,0.08,2.5,0.2,< 1,0.2,10,< 0.4,1.8,0.9,,,,,,,,,47.000000000000014,10.529535864978904,3.0566289140572955,1.6983122362869199,1.0460778739363452,,
250,KD-WR-10,-74.910006,6.509335,849,Bt granodiorite,Antioquian Batholith,,,,Leal-Mejía (2011),,E Paleogene Granitoids - Providencia trend - Antioquian Batholith (ca. 61 - 59 Ma),,1.88,66.97,16.78,0.99,0.062,1.64,3.75,5.49,1.38,0.428,0.15,,0.71,,,100.4,,7.0,1,59,30,6,< 20,< 10,40,18,1.0,< 5,19,564.0,8.0,123,3,< 2,< 0.5,< 0.2,< 1,< 0.5,0.5,637.0,14.5,30.6,3.68,14.3,2.8,0.87,2.2,0.3,1.5,0.3,0.8,0.12,0.8,0.11,3.3,0.2,< 1,0.2,8,< 0.4,2.6,0.9,,,,,,,,,72.88,12.31276371308017,3.233875828812538,1.8681434599156121,1.031082274146286,,
251,KD-WR-136,-74.90874,6.506585,n.i.,Granodiorite,Antioquian Batholith,,,,Leal-Mejía (2011),,E Paleogene Granitoids - Providencia trend - Antioquian Batholith (ca. 61 - 59 Ma),,2.14,66.61,16.54,1.18,0.066,1.84,4.18,4.67,1.7,0.479,0.17,,0.56,,,100.4,,8.0,1,70,70,7,< 20,< 10,70,21,1.2,< 5,38,609.0,9.6,126,2.9,2,< 0.5,< 0.1,1,< 0.2,1.1,867.0,14.3,29.3,3.46,13.6,2.78,0.931,2.23,0.34,1.72,0.31,0.9,0.128,0.87,0.127,3.1,0.24,< 0.5,0.32,7,< 0.1,3.27,1.27,,,,,,,,,70.99600000000002,11.165914932828944,3.2122150380961054,1.7412580629516465,1.1028019122925412,,
252,KD-WR-137,-74.90996,6.509371,n.i.,Plag diorite porphyry,Dike cuts Antioquian Batholith,,,,Leal-Mejía (2011),,E Paleogene Granitoids - Providencia trend - Antioquian Batholith (ca. 61 - 59 Ma),,5.36,48.89,19.17,4.15,0.181,4.52,8.9,3.89,1.15,1.223,0.37,,0.7,,,99.1,,28.0,2,290,20,27,< 20,130,120,24,1.6,< 5,21,673.0,18.0,38,5,< 2,< 0.5,< 0.1,1,< 0.2,1.8,237.0,12.2,27.6,3.54,15.8,3.7,1.59,3.52,0.55,3.19,0.6,1.67,0.237,1.62,0.243,0.9,0.32,< 0.5,0.18,< 5,0.1,0.4,0.25,,,,,,,,,76.05999999999999,5.115903526592696,2.0590717299578056,1.4760639683283847,1.3231479806844901,,
253,KD-WR-138,-74.90996,6.509371,n.i.,Plag diorite porphyry,Dike cuts Antioquian Batholith,,,,Leal-Mejía (2011),,E Paleogene Granitoids - Providencia trend - Antioquian Batholith (ca. 61 - 59 Ma),,1.58,68.53,16.59,0.86,0.043,1.49,3.68,5.28,1.23,0.37,0.13,,0.58,,,100.5,,7.0,1,62,40,7,< 20,< 10,50,21,0.9,< 5,21,599.0,6.3,110,1.6,< 2,< 0.5,< 0.1,3,< 0.2,0.4,446.0,10.2,22.2,2.67,10.7,2.19,0.739,1.67,0.23,1.22,0.2,0.58,0.081,0.54,0.081,2.8,0.13,< 0.5,0.19,8,< 0.1,1.21,0.65,,,,,,,,,53.300999999999995,12.831692451945617,2.908502398705277,2.1008751367401155,1.132085436788974,,
254,KD-WR-139,-74.90874,6.506585,n.i.,Diabase,Dike cuts Antioquian Batholith,,,,Leal-Mejía (2011),,E Paleogene Granitoids - Providencia trend - Antioquian Batholith (ca. 61 - 59 Ma),,2.87,57.92,17.36,2.81,0.111,2.9,6.21,4.33,1.91,0.876,0.37,,0.93,,,98.92,,14.0,2,147,< 20,13,< 20,< 10,100,24,1.5,< 5,26,1344.0,20.8,123,4.2,< 2,< 0.5,< 0.1,4,< 0.2,0.5,1343.0,28.7,65.3,8.34,34.8,6.8,2.05,5.18,0.73,3.79,0.68,1.98,0.29,1.93,0.295,3.5,0.29,< 0.5,0.22,13,< 0.1,6.85,2.8,,,,,,,,,160.86499999999998,10.101877965064165,2.635641598411517,1.8232657790603615,1.011782517317236,,
