,sample,longitude,latitude,elevation _m.a.s.l._,lithology,"geological unit, locality",age _ma_,dating method,mineral,reference,unnamed: 10,age group,unnamed: 12,feo,sio2,al2o3,fe2o3,mno,mgo,cao,na2o,k2o,tio2,p2o5,cr2o3,loi,tot/c,tot/s,total,unnamed: 29,sc_ppm,be_ppm,v_ppm,cr_ppm,co_ppm,ni_ppm,cu_ppm,zn_ppm,ga_ppm,ge_ppm,as_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,mo_ppm,ag_ppm,in_ppm,sn_ppm,sb_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,w_ppm,tl_ppm,pb_ppm,bi_ppm,th_ppm,u_ppm,s_ppm,hg_ppm,li_ppm,se_ppm,cd_ppm,au_ppm,ti_ppm,unnamed: 82,sree_ppm,_la/yb_n,_la/sm_n,_gd/yb_n,eu/eu*,age_ma,age_ma_error
0,10VDL44,-72.71638888888889,7.344444444444444,3023,Orthogneiss,"Santander Massif, Berlin orthogneiss",473.5 ± 2.5,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz orogenic and peak metamorphic granitoids (ca. 485 - 472 Ma),,,73.03,13.26,2.78,0.06,0.74,1.6,1.94,5.0,0.53,0.12,,0.97,,,100.03,,12.2,3.47,42,17,6.34,9.28,4.92,34,15.35,,3.98,188.01,93.0,67.31,240.9,13.89,0.27,,,,,2.94,651.87,39.29,76.97,8.91,35.79,7.59,1.21,7.68,1.35,9.88,2.31,7.27,1.18,8.1,1.22,6.77,1.31,11.73,,27.5,0.14,18.33,2.64,61,,,,,,,,208.75,3.2951450747512636,3.2326123091120342,0.6441006407251134,0.47825510908403257,473.5,2.5
1,10VDL47*,-72.69555555555556,7.473055555555556,2615,Gabbrodiorite,"Santander Massif, Unnamed",483.7 ± 5.9,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz orogenic and peak metamorphic granitoids (ca. 485 - 472 Ma),,,55.45,16.23,7.83,0.14,6.36,8.68,2.05,1.13,1.19,0.11,,0.57,,,99.73999999999998,,29.09,1.89,168,258,32.16,69.88,52.29,69,16.52,,1.13,57.54,102.2,27.77,103.45,6.29,0.2,,,,,2.32,153.88,15.57,32.4,3.9,16.99,4.36,1.13,4.39,0.77,4.95,1.11,2.88,0.44,2.78,0.38,2.96,0.51,0.77,,5.06,0.1,6.37,1.24,976,,,,,,,,92.04999999999998,3.804708132228395,2.2300545813494366,1.0727468657985004,0.7791592034065711,483.7,5.9
2,10VDL50*,-72.89583333333333,7.256111111111111,3710,Paragneiss,"Santander Massif, Migmatite from paragneiss",477.0 ± 5.3,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz orogenic and peak metamorphic granitoids (ca. 485 - 472 Ma),,,75.67,12.86,1.58,0.04,0.3,1.17,2.34,5.43,0.24,0.05,,0.37,,,100.05000000000001,,5.66,2.07,15,17,1.73,4.29,4.62,21,14.07,,1.25,166.8,124.9,45.96,173.38,8.36,n.d.,,,,,1.35,578.45,45.83,85.79,9.27,36.08,7.19,0.87,7.14,1.15,7.81,1.58,4.56,0.68,4.75,0.66,5.29,0.63,0.11,,22.48,n.d.,29.88,3.93,16,,,,,,,,213.36000000000004,6.554412613813013,3.980469827409141,1.0211325782811458,0.3659209865273348,477.0,5.3
3,10VDL51,-72.89666666666666,7.254722222222222,3707,Orthogneiss,"Santander Massif, Berlin orthogneiss",472.5 ± 3.4,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz orogenic and peak metamorphic granitoids (ca. 485 - 472 Ma),,,72.67,13.84,3.53,0.07,0.95,1.87,3.94,1.94,0.49,0.09,,0.77,,,100.16,,11.43,2.87,51,19,5.66,9.68,2.33,33,16.22,,0.87,94.86,167.03,49.18,206.81,10.84,0.22,,,,,1.64,175.76,39.15,75.51,8.48,34.84,7.33,1.17,6.5,1.19,7.87,1.7,5.03,0.73,5.24,0.78,5.75,0.84,0.33,,8.37,0.04,17.53,3.02,105,,,,,,,,195.52,5.075490385544497,3.335348058093149,0.8426740103713725,0.5056926791718579,472.5,3.4
4,KD-WR-194*,-72.891445,7.387185,3128,Granite - granodiorite,Santander Massif,462.5 ± 13.1,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,Early Pz post-orogenic granitoids (ca. 465 - 439 Ma),,4.95,69.82,13.36,0.17,0.019,0.82,0.11,0.21,4.3,0.455,0.17,,4.36,,,98.74399999999999,,16.0,4,201,100,18,< 20,80,100,21,6.8,406,228,224.0,42.7,115,7.7,23,2.4,< 0.1,2,10.7,1.6,565.0,34.5,63.2,6.55,24.7,5.81,1.29,6.42,1.23,7.71,1.45,4.11,0.614,3.84,0.55,3.4,1.26,33.5,6.07,159,36.8,10.2,26.4,,,,,,,,,161.974,6.103309599156119,3.708141789581473,1.1357463080168777,0.6407602554754822,462.5,13.1
5,KD-WR-195*,-72.891445,7.387185,3128,Granite - granodiorite,Santander Massif,460.0 ± 8.9,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,Early Pz post-orogenic granitoids (ca. 465 - 439 Ma),,2.54,68.47,10.87,3.13,0.008,0.32,0.13,0.19,3.22,0.473,0.32,,10.42,,,100.09099999999998,,6.0,3,218,160,17,< 20,170,270,16,7.2,338,91,415.0,11.9,57,4.8,30,6.4,< 0.1,< 1,9,0.8,570.0,17.0,33.1,3.84,16.9,4.51,0.969,3.33,0.43,2.29,0.42,1.22,0.198,1.3,0.194,1.8,0.92,72.6,7.98,347,17.8,11.2,29.5,,,,,,,,,85.70100000000001,8.883479389808503,2.3538877506151357,1.7401168451801363,0.7291926387411328,460.0,8.9
6,10VDL23*,-72.96666666666667,6.9430555555555555,2055,Gneiss,Santander Massif,461.0 ± 2.1,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz post-orogenic granitoids (ca. 465 - 439 Ma),,,54.99,15.62,4.97,0.08,7.73,7.21,3.1,2.71,0.8,0.53,,1.41,,,99.14999999999998,,18.27,2.87,132,489,27.5,218.92,67.22,59,18.11,,2.4,102.37,1250.6,14.34,554.83,8.56,0.4,,,,,1.14,1701.08,48.3,93.84,11.02,45.06,7.11,1.87,4.67,0.59,2.87,0.5,1.31,0.18,1.24,0.19,13.25,0.45,0.43,,11.99,0.19,6.8,2.36,138,,,,,,,,218.75000000000003,26.46080032666394,4.242197653509942,2.5584252075677147,0.9289863259965381,461.0,2.1
7,10VDL37,-72.97805555555556,7.19,1712,Orthogneiss,"Santander Massif, Berlin orthogneiss",451.5 ± 1.3,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz post-orogenic granitoids (ca. 465 - 439 Ma),,,62.31,18.04,4.16,0.07,2.03,5.24,3.51,1.68,0.6,0.17,,1.84,,,99.64999999999999,,10.28,2.88,79,25,11.12,16.28,4.8,64,20.22,,1.45,60.29,626.01,9.62,158,4.26,0.15,,,,,1.16,524.77,25.67,44.54,4.74,18.68,3.26,0.98,2.41,0.36,1.91,0.35,0.93,0.12,0.9,0.11,3.72,0.29,0.28,,7.73,0.06,4.08,1.17,109,,,,,,,,104.96000000000001,19.37585560243788,4.917242628976729,1.8190811064228787,1.0197998605992467,451.5,1.3
8,10VDL46*,-72.66527777777777,7.2747222222222225,2458,Granite,"Santander Massif, Pamplona granite",439.2 ± 4.7,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz post-orogenic granitoids (ca. 465 - 439 Ma),,,79.51,11.96,1.22,0.04,0.3,0.17,0.2,4.82,0.16,0.12,,1.73,,,100.23,,4.06,6.69,8,13,1.9,7.28,2.06,29,19.03,,2.56,374.53,27.52,10.84,79.86,8.15,0.43,,,,,18.33,299.04,7.08,25.92,1.61,6.53,1.38,0.36,1.51,0.31,1.76,0.37,1.0,0.16,1.08,0.17,2.24,1.96,1.84,,17.99,1.13,7.88,3.46,37,,,,,,,,49.239999999999995,4.453352086263479,3.2038158136121817,0.9497968432567588,0.7561750638215629,439.2,4.7
9,10VDL55,-73.07527777777777,8.052777777777777,1506,Granodiorite,Tarra granodiorite,443.4 ± 3.2,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz post-orogenic granitoids (ca. 465 - 439 Ma),,,63.11,16.02,5.5,0.11,2.05,3.08,2.64,4.4,0.95,0.34,,1.41,,,99.61,,13.98,4.61,104,34,10.62,20.04,16.86,92,20.38,,1.93,163.57,333.17,29.73,297.46,16.66,0.32,,,,,6.86,1150.66,61.35,114.53,12.32,48.64,8.64,1.88,6.0,0.94,5.58,1.13,2.88,0.44,3.06,0.42,7.21,1.17,0.5,,15.19,0.08,10.91,2.39,n.d.,,,,,,,,267.80999999999995,13.619798130222554,4.434188935771214,1.3320095970877803,0.7543853453560289,443.4,3.2
10,KD-WR-132,-74.804784,7.534216,n.i.,Sodic granite,"El Carmen Stock, El Bagre",,,,Leal-Mejía (2011),,Carboniferous granitois - El Carmen-El Cordero suite (ca. 333-310 Ma),,1.91,72.47,13.64,0.17,0.075,0.62,2.6,4.31,1.08,0.198,0.06,,1.48,,,98.83,,7.0,< 1,22,100,2,< 20,< 10,30,15,1.6,< 5,21,208.0,16.7,86,2.2,8,< 0.5,< 0.1,2,< 0.2,1.4,412.0,19.0,40.2,4.32,16.2,3.23,0.97,2.74,0.45,2.62,0.52,1.59,0.247,1.76,0.292,2.3,0.16,< 0.5,0.13,12,0.1,5.35,0.71,,,,,,,,,94.13900000000001,7.333621020329882,3.6733680814097793,1.0575853471423093,0.9681144088384015,,
11,KD-WR-205,-74.806606,7.541516,121,Sodic granite,"El Carmen Stock, El Bagre",322.5 ± 5.6,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,Carboniferous granitois - El Carmen-El Cordero suite (ca. 333-310 Ma),,2.84,70.23,14.49,1.02,0.122,1.4,3.27,3.53,1.22,0.37,0.11,,1.95,,,100.552,,8.0,1,45,30,4,< 20,< 10,40,10,1.1,< 5,37,230.0,12.9,102,2.3,< 2,< 0.5,< 0.1,2,< 0.2,1.1,282.0,12.2,25.4,2.69,9.79,2.1,0.921,1.91,0.31,1.91,0.42,1.39,0.24,1.7,0.276,3.3,0.14,< 0.5,0.17,< 5,0.1,2.99,0.71,,,,,,,,,61.257,4.875155125341275,3.6278882861161335,0.763241499131298,1.3754293511790563,322.5,5.6
12,KD-WR-206*,-74.811869,7.529958,136,Sodic diorite - norite,"El Carmen Stock, El Bagre",333.1 +4.7/-4.8,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,Carboniferous granitois - El Carmen-El Cordero suite (ca. 333-310 Ma),,8.55,48.37,17.15,1.78,0.206,7.69,11.05,1.39,1.1,0.74,0.08,,1.81,,,99.91599999999998,,48.0,1,295,40,36,< 20,40,80,11,1.1,5,39,311.0,19.2,24,1.3,< 2,< 0.5,< 0.1,< 1,< 0.2,2,152.0,2.71,8.95,1.33,7.18,2.32,0.807,2.83,0.51,3.14,0.63,1.96,0.28,1.79,0.271,1.1,0.02,< 0.5,0.51,< 5,0.1,0.29,0.13,,,,,,,,,34.708000000000006,1.0284751196285034,0.7294485668558126,1.0740164533389907,0.9588942235732012,333.1,2.3000000000000003
13,KD-WR-207*,-74.811869,7.529958,136,Sodic diorite,"El Carmen Stock, El Bagre",,,,Leal-Mejía (2011),,Carboniferous granitois - El Carmen-El Cordero suite (ca. 333-310 Ma),,7.95,48.83,17.03,1.11,0.174,7.39,12.43,1.38,0.04,0.541,0.05,,2.57,,,100.4,,51.0,1,227,30,35,< 20,40,70,9,1.1,< 5,< 1,230.0,13.5,18,1.1,< 2,< 0.5,< 0.1,1,< 0.2,< 0.1,19.0,2.1,6.25,0.87,4.74,1.54,0.66,1.96,0.38,2.38,0.49,1.46,0.225,1.43,0.208,0.7,0.01,< 0.5,< 0.05,< 5,< 0.1,0.2,0.09,,,,,,,,,24.692999999999998,0.9976099849517572,0.8515535097813579,0.9311026526216399,1.157552662628023,,
14,KD-WR-208,-74.820919,7.564778,120,Sodic granodiorite - granite,"El Carmen Stock, El Bagre",310.6 +5.3/-5.2,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,Carboniferous granitois - El Carmen-El Cordero suite (ca. 333-310 Ma),,3.06,68.77,14.91,1.21,0.147,1.17,3.56,3.78,1.02,0.274,0.1,,2.13,,,100.13099999999999,,11.0,< 1,25,< 20,3,< 20,< 10,70,9,1.4,< 5,26,233.0,21.3,55,1.6,< 2,< 0.5,< 0.1,< 1,< 0.2,0.9,282.0,6.32,16.0,2.02,9.44,2.63,0.801,2.89,0.52,3.26,0.67,2.1,0.348,2.42,0.387,2,0.1,< 0.5,0.26,6,0.1,1,0.3,,,,,,,,,49.80600000000001,1.7741046831955924,1.5006337135614705,0.8112598946891237,0.8811448216458831,310.6,2.6999999999999997
15,KD-WR-209,-74.820919,7.564778,120,Sodic granite,"El Carmen Stock, El Bagre",313.6 +4.8/-5.6,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,Carboniferous granitois - El Carmen-El Cordero suite (ca. 333-310 Ma),,2.47,70.26,15.56,0.18,0.083,0.76,3.57,4.05,1.06,0.186,0.06,,2.01,,,100.24900000000002,,6.0,< 1,14,20,2,< 20,20,30,8,1.0,< 5,27,208.0,19.6,27,1.6,< 2,< 0.5,< 0.1,< 1,< 0.2,1.3,278.0,7.27,18.3,2.32,9.93,2.51,0.757,2.69,0.49,3.07,0.62,1.91,0.323,2.28,0.355,1.2,0.11,< 0.5,0.19,6,0.2,1.47,0.44,,,,,,,,,52.82499999999999,2.166092975053668,1.8087313194479464,0.8014841957213711,0.8823575168817657,313.6,2.0
16,KD-WR-244*,-74.615905,6.263219,247,Hb granodiorite,Puerto Nare granitoid,262.9 ± 4.5,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,"Permian to mid Triassic granitoid gneisses, meta-granitoids (ca. 290 - 250 Ma)",,1.46,73.74,14.41,0.3,0.055,0.23,0.2,3.88,3.61,0.129,0.01,,1.65,,,99.674,,2.0,1,7,< 20,4,< 20,70,< 30,15,1.2,< 5,77,221.0,2.5,93,4.6,< 2,0.7,< 0.1,1,0.3,0.5,1156.0,6.21,13.7,1.1,3.79,0.65,0.177,0.45,0.07,0.39,0.09,0.28,0.049,0.39,0.073,2.6,0.34,< 0.5,0.4,28,< 0.1,1.67,0.3,,,,,,,,,27.419,10.816942551119764,5.966114897760467,0.7838364167478091,0.9450709006584037,262.9,4.5
17,KD-WR-290,-75.913502,2.436188,1360,Tonalite,"La Plata, Ibagué South",274.8 ± 4.6,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,"Permian to mid Triassic granitoid gneisses, meta-granitoids (ca. 290 - 250 Ma)",,3.49,58.04,18.55,2.85,0.137,2.39,5.31,6.59,1.14,0.913,0.36,,0.59,,,100.36,,9.0,2,103,< 20,11,< 20,< 10,100,24,1.0,< 5,6,280.0,19.8,195,13.4,< 2,0.8,< 0.1,3,0.3,0.2,297.0,35.2,74.5,8.23,32.2,6.12,1.61,4.51,0.67,3.65,0.67,1.93,0.298,1.93,0.306,5.4,0.83,< 0.5,< 0.05,6,< 0.1,3.99,0.89,,,,,,,,,171.824,12.389759734155355,3.5917376796006732,1.5874379659386544,0.8934453232275826,274.8,4.6
18,10RC04,-75.20194444444445,4.323333333333333,n.i.,Metagranite,Cajamarca Group,277.6 ± 1.6,U-Pb (LA-ICP-MS),Zircon,Cochrane et al. (2014a),,"Permian to mid Triassic granitoid gneisses, meta-granitoids (ca. 290 - 250 Ma)",,,71.66732709015976,15.04873226535735,1.9589471239951155,0.030137648061463317,0.26119294986601543,0.5525235477934941,3.9681236614260036,4.862207220582748,0.2913305979274787,0.08036706149723552,,0.54,,,99.26088916666669,,4.642666666666667,3.8645,9,5,0.8886666666666666,8.713,3.6943333333333332,34.565333333333335,16.021666666666665,,6.4319999999999995,133.741,174.05100000000002,19.507,272.32033333333334,12.237666666666668,0.45599999999999996,,,,,2.2663333333333333,1221.8666666666666,38.873,68.27199999999999,7.150666666666666,27.37033333333333,4.187,0.8623333333333333,3.519,0.535,3.1376666666666666,0.6943333333333334,1.935,0.315,2.3956666666666666,0.34833333333333333,6.580333333333333,0.9686666666666666,1.6986666666666668,,19.382666666666665,,15.938333333333334,2.2656666666666667,,,,,,,,,159.59533333333331,11.022984537834661,5.797736413391258,0.9978618215378329,0.666323121503986,277.6,1.6
19,KD-WR-60,-75.185537,5.479273,n.i.,Bt orthogneiss,Nariño Batholith,234.5 ± 4.2,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,Permian to mid Triassic granitoid anatectites (ca. 250 - 223 Ma),,3.67,71.39,13.81,0.18,0.046,1.61,1.73,3.01,2.65,0.776,0.15,,0.87,,,99.89200000000004,,13.0,2,84,60,9,< 20,20,80,18,2.1,< 5,123,200.0,36.5,272,10.8,3,< 0.5,< 0.1,3,6.7,5.6,496.0,32.1,69.2,7.86,28.4,6.5,1.03,6.04,1.04,6.08,1.22,3.61,0.555,3.5,0.52,6.6,0.98,1.4,1.6,14,0.1,15.5,3.47,,,,,,,,,167.65500000000003,6.230379746835443,3.083933787731256,1.1723206751054853,0.492653348170963,234.5,4.2
20,KD-WR-61,-75.185798,5.61933,n.i.,Granodiorite,Nariño Batholith,237.2 ± 4.1,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,Permian to mid Triassic granitoid anatectites (ca. 250 - 223 Ma),,4.25,69.04,15.44,0.07,0.046,1.74,1.43,2.2,3.34,0.485,0.24,,1.61,,,99.891,,10.0,2,78,50,13,30,20,90,19,1.5,< 5,150,190.0,29.5,201,8.4,3,< 0.5,< 0.1,3,6.9,8.1,703.0,33.8,70.9,8.04,29.3,6.66,1.57,6.18,1.02,5.74,1.07,2.95,0.425,2.74,0.381,4.9,0.7,1.4,1.2,16,0.1,13.5,3.1,,,,,,,,,170.77600000000004,8.379993224306261,3.1692451945616504,1.5321999445625056,0.7333172554176416,237.2,4.1
21,KD-WR-62,-75.219033,5.535639,n.i.,Granodiorite,Nariño Batholith,,,,Leal-Mejía (2011),,Permian to mid Triassic granitoid anatectites (ca. 250 - 223 Ma),,2.91,71.54,13.3,0.46,0.065,1.44,2.27,3.11,2.85,0.625,0.13,,0.76,,,99.79,,9.0,2,72,40,6,< 20,10,90,17,1.6,6,119,172.0,23.6,346,11.4,2,< 0.5,< 0.1,3,8.1,5.8,673.0,34.7,69.7,7.67,27.0,5.83,1.04,4.96,0.75,4.11,0.79,2.23,0.327,2.11,0.334,8.1,1.05,0.9,1.29,13,0.1,15.2,3.41,,,,,,,,,161.55100000000002,11.171835942967986,3.7168436213098266,1.5968964344991703,0.5744238136775054,,
22,KD-WR-63,-75.23936,5.477608,n.i.,Fine-grained granodiorite,Nariño Batholith,245.4  ± 4.8,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,Permian to mid Triassic granitoid anatectites (ca. 250 - 223 Ma),,2.32,70.77,13.92,0.23,0.034,1.19,0.82,2.03,4.44,0.418,0.29,,1.88,,,98.342,,8.0,2,54,50,7,20,40,60,20,1.2,< 5,162,139.0,22.9,177,12.5,2,< 0.5,< 0.1,3,4.8,3.1,729.0,20.9,48.0,5.54,22.3,5.38,0.792,4.83,0.72,4.14,0.75,2.04,0.287,1.77,0.255,4.7,1.3,2.3,1.38,13,0.1,13.9,4.65,,,,,,,,,117.70400000000001,8.02140694653031,2.4259250545072386,1.8537509833369092,0.4640998725465399,245.4,4.8
23,KD-WR-92,-75.677699,6.001936,n.i.,Bt diorite,Amaga Stock,,,,Leal-Mejía (2011),,Permian to mid Triassic granitoid anatectites (ca. 250 - 223 Ma),,2.39,73.0,12.67,0.28,0.062,1.1,0.63,2.68,3.99,0.417,0.15,,1.54,,,99.17,,7.0,2,38,60,5,30,140,50,17,1.5,< 5,174,107.0,30.4,159,7.4,9,< 0.5,< 0.1,9,< 0.2,4.7,616.0,19.1,44.1,5.01,19.7,4.68,0.71,4.84,0.9,5.38,1.05,3.2,0.503,3.28,0.48,4.6,1.16,1.4,1,17,0.4,10.9,4.04,,,,,,,,,112.933,3.9558248430585574,2.5485953334054603,1.0024184419059379,0.45085035346104385,,
24,KD-WR-93*,-75.693828,5.981699,n.i.,Tectonized granitoid,Pueblito Stock,,,,Leal-Mejía (2011),,Permian to mid Triassic granitoid anatectites (ca. 250 - 223 Ma),,1.1,77.01,12.38,< 0.01,0.028,0.07,0.49,3.45,4.91,0.048,0.02,,0.52,,,100,,4.0,3,5,50,< 1,< 20,< 10,< 30,18,2.0,8,329,16.0,75.5,82,6.5,4,< 0.5,< 0.1,10,< 0.2,9.9,23.0,15.1,41.4,5.11,22.5,6.53,0.067,8.15,1.84,12.5,2.57,8.0,1.31,7.97,1.12,4.4,1.3,1.2,1.91,27,1.7,30.4,10.6,,,,,,,,,134.167,1.2870521840869507,1.444033057424028,0.6946672384310363,0.02797610968589669,,
25,KD-WR-94*,-75.763839,6.000475,n.i.,Bt diorite,Pueblito Stock,,,,Leal-Mejía (2011),,Permian to mid Triassic granitoid anatectites (ca. 250 - 223 Ma),,5.45,49.55,16.42,1.64,0.123,8.15,11.11,2.65,0.46,0.904,0.09,,2.41,,,99.56,,31.0,< 1,191,450,39,130,60,70,17,1.5,< 5,13,210.0,22.1,69,1.8,< 2,< 0.5,< 0.1,1,0.5,0.6,88.0,3.98,10.9,1.52,7.6,2.42,1.05,3.07,0.58,3.73,0.76,2.22,0.324,2.14,0.315,1.9,0.14,< 0.5,0.07,< 5,< 0.1,0.98,0.25,,,,,,,,,40.608999999999995,1.263417327181671,1.0270251420999408,0.9745455262431483,1.1737556160235714,,
26,KD-WR-130,-74.776073,8.14313,n.i.,Bt diorite,Nechí Gneiss,235.2 ± 4.4,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,Permian to mid Triassic granitoid anatectites (ca. 250 - 223 Ma),,2.18,66.25,17.19,0.51,0.031,1.67,4.27,4.17,2.09,0.574,0.2,,0.72,,,99.85500000000002,,4.0,1,40,50,7,< 20,30,70,24,0.8,< 5,52,735.0,6.9,268,3,< 2,< 0.5,< 0.1,2,< 0.2,0.9,1358.0,47.4,89.3,9.12,31.3,4.41,1.42,2.81,0.32,1.42,0.22,0.62,0.085,0.52,0.074,5.8,0.26,< 0.5,0.3,7,< 0.1,10.3,0.63,,,,,,,,,189.019,61.92307692307692,6.712018140589568,3.6709672184355733,1.1485988486421086,235.2,4.4
27,08VDL60,-72.35722222222222,10.632222222222222,175,Granite,Riecito del Palmar granite,225.1 ± 1.5,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Permian to mid Triassic granitoid anatectites (ca. 250 - 223 Ma),,,72.86,14.02,1.82,0.05,0.62,1.22,3.5,3.53,0.23,0.09,,0.79,,,98.73,,4.46,2.23,19,3,2.6,3,2.52,32,14.27,,n.d.,48.94,201.5,14.89,87.81,10.23,0.15,,,,,n.d.,858.04,20.3,38.36,4.2,16.26,3.14,0.73,2.11,0.39,2.24,0.48,1.44,0.21,1.46,0.25,2.67,0.83,0.18,,6.67,n.d.,1.81,0.68,77,,,,,,,,91.57,9.445407779897117,4.03719530221183,0.9817640598809318,0.814994686793358,225.1,1.5
28,10RC40*,-75.42444444444445,5.8869444444444445,n.i.,Metagranite,Cajamarca Group,236.1 ± 3.3,U-Pb (LA-ICP-MS),Zircon,Cochrane et al. (2014a),,Permian to mid Triassic granitoid anatectites (ca. 250 - 223 Ma),,,83.00449829420029,8.494583584186232,1.9807555689343765,0.02956351595424443,0.5321432871763998,0.7489424041741922,0.7390878988561107,2.167991169977925,0.09854505318081477,0.4040347180413405,,1.45,,,99.65014549468192,,1.9553333333333331,3.203333333333333,61,67,4.23,18.863333333333333,62.845333333333336,23.367666666666665,8.719333333333333,2.831,1.902,46.41866666666667,101.00966666666666,31.135,44.00133333333334,4.9063333333333325,4.042333333333334,,,,,1.1323333333333332,1238.3873333333333,17.566666666666666,36.23933333333333,4.600666666666667,19.973333333333333,5.669666666666667,1.1996666666666667,5.229666666666667,1.07,5.815333333333334,1.1796666666666666,2.6756666666666664,0.3333333333333333,2.1456666666666666,0.3056666666666667,1.2086666666666666,0.49466666666666664,0.3453333333333333,,17.644666666666666,,4.740333333333333,2.747666666666667,,,,,,,,,104.00433333333334,5.561662566557135,1.9348406514992187,1.6557291082868097,0.6598244470069908,236.1,3.3
29,10RC41*,-75.12444444444445,6.018888888888889,n.i.,Metagranite,Cajamarca Group,234.1 ± 1.2,U-Pb (LA-ICP-MS),Zircon,Cochrane et al. (2014a),,Permian to mid Triassic granitoid anatectites (ca. 250 - 223 Ma),,,68.93806578549086,13.593287256583594,2.8863111694077284,0.02857733831096761,1.1145161941277368,2.0956714761376247,2.3147644031883767,2.8386822722227825,0.45723741297548176,0.13336091211784887,,4.7,,,99.10047422056302,,7.993000000000001,3.307,53,72,6.751,16.241,6.240666666666666,22.605999999999998,14.477666666666666,2.425,0.9090000000000001,107.78966666666668,134.61033333333333,19.658666666666665,151.18566666666666,7.760333333333333,0.24700000000000003,,,,,3.543333333333333,557.722,24.370333333333335,47.04266666666666,5.1546666666666665,21.849333333333334,4.287,0.9526666666666667,3.458,0.6033333333333334,3.548,0.7473333333333333,1.8363333333333334,0.27066666666666667,2.1206666666666667,0.26299999999999996,3.8343333333333334,0.627,0.8653333333333334,,11.755333333333335,,10.037999999999998,2.5063333333333335,,,,,,,,,116.50400000000002,7.806683804286263,3.549942799626123,1.107720285397077,0.7302599501331586,234.1,1.2
30,10RC42,-74.92694444444444,5.9880555555555555,n.i.,Metagranite,Cajamarca Group,244.6 ± 2.4,U-Pb (LA-ICP-MS),Zircon,Cochrane et al. (2014a),,Permian to mid Triassic granitoid anatectites (ca. 250 - 223 Ma),,,69.51227689825552,14.642472521932037,3.7888877684783706,0.05920137138247454,1.539235655944338,1.9931128365433095,2.3680548552989817,3.1870071594232128,0.5525461329030957,0.1973379046082485,,1.32,,,99.16013310476957,,10.489666666666666,2.9179999999999997,67,63,7.390999999999999,17.703666666666667,19.703,63.72166666666667,17.026,2.619,1.3863333333333332,128.30033333333333,225.05866666666668,23.703999999999997,180.50333333333333,9.433333333333332,0.8523333333333333,,,,,4.378,747.263,26.489666666666665,51.638666666666666,5.784666666666666,24.018333333333334,4.825333333333333,0.9683333333333334,4.204666666666667,0.7676666666666666,4.308333333333334,0.866,2.2513333333333336,0.3496666666666666,2.2083333333333335,0.33699999999999997,5.179666666666667,0.824,1.1636666666666666,,17.257666666666665,,9.455333333333334,2.3489999999999998,,,,,,,,,129.018,8.148720006368919,3.428171523242894,1.2934345991561182,0.6401898349864606,244.6,2.4
