,Sample,Reference,Unit,Location,Petrography,Rock type,East,North,sio2,tio2,al2o3,fe2o3,feo,Measured Fe,feo_tot,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,y_ppm,sc_ppm,hf_ppm,nb_ppm,ta_ppm,th_ppm,zn_ppm,co_ppm,ni_ppm,ba_ppm,cr_ppm,v_ppm,se_ppm,br_ppm,cu_ppm,sr_ppm,zr_ppm,rb_ppm,as_ppm,be_ppm,sb_ppm,sn_ppm,u_ppm,w_ppm,bi_ppm,cd_ppm,cs_ppm,ga_ppm,ge_ppm,In_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Analytical technique (element),Age (Ma) dating,±,Age (Ma) reference,age,±.1,Reference.1,Age max (Ma),±.2,Age min (Ma),±.3,Reference.2,Preferred Age max (Ma),±.4,Preferred Age min (Ma),±.5,Reference(s),Radiometric dating technique,Dated material,87Sr/86Sr,±.6,87Rb/86Sr,±.7,(87Sr/86Sr)i,147Sm/144Nd,±.8,143Nd/144Nd,±.9,eNd,(143Nd/144Nd)i,eNdi,(206Pb/204Pb)i,206Pb/204Pb,(207Pb/204Pb)i ,207Pb/204Pb,(208Pb/204Pb)i,208Pb/204Pb,208Pb/206Pb,207Pb/206Pb,Longitude,Latitude
0,ASH-8,Alasino et al 2017,Asha unit,0,Undefined plutonic rock,P,695751.0,6845777.0,68.61,0.72,14.57,1.46,2.2,3.66,3.51,0.09,0.92,1.76,2.97,4.99,0.35,0.69,99.33,52.1,121.0,14.2,54.8,11.5,1.66,8.93,1.38,7.49,1.4,3.61,0.51,3.11,0.46,36.0,0.0,6.81,22.4,2.5,27.9,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0,0.0,116.0,253.0,308.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,29,22.0,0.0,0.0,0.0,0.0,0.0,0.0,XRF; ICP-MS,340.0,7.0,0.0,340.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,U-Pb ,Zircon,0.76105,0.0,7.571,0.0,0.7244,0.126,0.0,0.51218,0.0,0.0,0.51189,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.00000720336817,-28.500003719580423
1,SB-10,Alasino et al 2017,San Blas unit,0,Undefined plutonic rock,P,683514.0,6845974.0,76.34,0.1,11.61,0.39,0.99,1.38,1.34,0.02,0.03,0.72,3.15,4.97,0.02,0.5,98.84,74.5,169.0,20.0,73.5,19.5,0.48,20.7,4.33,29.2,6.24,17.2,2.39,13.2,1.8,160.0,0.0,11.2,137.0,6.68,104.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,17.0,278.0,484.0,0.0,0.0,0.0,0.0,16.9,0.0,0.0,0.0,16,28.0,0.0,0.0,0.0,0.0,0.0,0.0,XRF; ICP-MS,344.0,2.0,0.0,344.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,U-Pb ,Zircon,1.18144,0.0,86.19,0.0,0.76431,0.16,0.0,0.5125,0.0,0.0,0.51214,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.12500755597199,-28.500008460587946
2,HUAL-9,Alasino et al 2017,Hualco unit,0,Undefined plutonic rock,P,671278.0,6846159.0,72.58,0.28,14.05,0.5,1.74,2.24,2.19,0.06,0.33,0.79,3.34,4.74,0.26,0.91,99.58,51.0,112.0,13.1,47.1,10.2,0.59,8.62,1.56,7.46,1.83,4.94,0.75,4.66,0.69,49.2,0.0,5.75,49.7,7.86,33.7,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,37.0,181.0,519.0,0.0,0.0,0.0,0.0,5.93,0.0,0.0,0.0,64,24.0,0.0,0.0,0.0,0.0,0.0,0.0,XRF; ICP-MS,346.0,6.0,0.0,346.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,U-Pb ,Zircon,0.96992,0.0,40.06,0.0,0.77604,0.131,0.0,0.51231,0.0,0.0,0.51201,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.250002713417,-28.50000627838089
3,CUY-7,Avila et al 2006,Cacheuta stock,0,Granodiorite,P,481330.0,6341248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,243.0,5.0,0.0,243.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,U-Pb,Zircon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13174,0.0,0.512441,0.0013,-3.8,0.0,-1.65,0.0,0.0,0.0,0.0,0.0,0.0,-69.20001059508586,-33.06717688305673
4,﻿CUY-21,Avila et al 2006,Choiyoi Group,0,Pyroclastic breccia,V,492216.0,6346806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,417.0,417.0,0.0,Avila et al 2006,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11861,0.0,0.512317,0.0044,-6.3,0.0,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,-69.08334248406507,-33.017174517298514
5,CUY-59,Avila et al 2006,Rio Mendoza Formation,0,Acidic ignimbrite,V,473496.0,6361555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,240.0,240.0,0.0,Avila et al 2006,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349,0.0,0.512321,0.0028,-6.2,0.0,-3.09,0.0,0.0,0.0,0.0,0.0,0.0,-69.28334944454775,-32.88383876023509
6,96-21 *,Bartsch 2004,Jurassic volcanic rocks,Cerro Difunto,Undefined volcanic rock,V,344744.0,7157552.0,50.9,0.87,18.23,6.17,0.0,6.17,5.55,0.1,1.21,12.24,3.31,0.76,0.11,0.0,93.9,7.0,17.0,2.8,12.0,3.6,1.12,4.5,0.82,5.1,1.11,3.6,0.54,3.5,0.59,31.0,23.0,3.1,3.0,0.2,1.5,52.0,0.0,12.0,126.0,31.0,208.0,0.0,0.0,0.0,210.0,105.0,21.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,4.4,0.0,0.0,"XRF, ICP-MS, TMS",194.0,0.0,0.0,194.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.705092,0.0,0.288224,0.0,0.704297,0.178445,0.0,0.5128,5e-06,0.0,0.512573,4.0,18.29349,18.547,15.59033,15.603,38.162165,38.404,0.0,0.0,-70.54722003614353,-25.691670844185833
7,95-21 *,Bartsch 2004,Jurassic volcanic rocks,Cerro Difunto,Undefined volcanic rock,V,344744.0,7157552.0,53.7,1.47,15.8,9.03,1.43,10.46,9.56,0.13,1.89,8.47,3.18,1.77,0.26,2.4,99.5,18.0,42.0,6.1,26.0,6.3,1.7,6.7,1.2,6.4,1.2,4.0,0.56,3.7,0.58,35.0,31.0,4.9,5.0,0.35,4.7,80.0,0.0,19.0,474.0,38.0,303.0,0.0,0.0,0.0,256.0,178.0,75.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,14.0,0.0,0.0,"XRF, ICP-MS, TMS",154.0,0.0,0.0,154.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.705717,0.0,0.844459,0.0,0.703868,0.14653,0.0,0.512777,5e-06,0.0,0.512629,4.0,18.079511,18.23,15.600607,15.608,38.124178,38.312,0.0,0.0,-70.54722003614353,-25.691670844185833
8,96-68 *,Bartsch 2004,Jurassic volcanic rocks,Cerro Difunto,Undefined volcanic rock,V,344744.0,7157552.0,53.9,2.01,14.0,8.41,0.57,8.98,8.14,0.22,3.31,3.07,2.5,6.61,0.44,4.67,99.7,21.0,56.0,7.4,35.0,8.8,2.0,9.1,1.5,8.9,1.7,5.1,0.76,4.9,0.73,47.0,36.0,7.7,9.0,0.58,7.0,1140.0,0.0,10.0,867.0,13.0,357.0,0.0,0.0,0.0,28.0,275.0,231.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,7.1,0.0,0.0,"XRF, ICP-MS, TMS",154.0,0.0,0.0,154.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.758096,0.0,23.901846,0.0,0.70577,0.152045,0.0,0.512757,5e-06,0.0,0.512604,3.0,18.327687,18.83,15.600322,15.625,38.280769,38.841,0.0,0.0,-70.54722003614353,-25.691670844185833
9,95-45 *,Bartsch 2004,Jurassic volcanic rocks,Cerro Difunto,Undefined volcanic rock,V,344744.0,7157552.0,51.1,0.97,15.89,7.14,2.44,9.58,8.86,0.31,5.68,6.25,3.24,3.67,0.18,2.89,99.8,10.0,24.0,3.9,16.0,4.3,1.2,4.5,0.8,4.5,0.86,2.7,0.41,2.5,0.42,24.0,35.0,3.1,2.0,0.17,2.7,201.0,0.0,35.0,584.0,103.0,270.0,0.0,0.0,0.0,398.0,110.0,147.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,21.0,0.0,0.0,"XRF, ICP-MS, TMS",154.0,0.0,0.0,154.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.7083,0.0,1.064882,0.0,0.705969,0.162524,0.0,0.512856,5e-06,0.0,0.512692,5.0,18.391284,18.456,15.622821,15.626,38.381689,38.454,0.0,0.0,-70.54722003614353,-25.691670844185833
10,95-58 *,Bartsch 2004,Jurassic volcanic rocks,Cerro Difunto,Undefined volcanic rock,V,344744.0,7157552.0,63.9,1.33,12.6,6.07,1.8,7.87,7.26,0.25,1.91,1.03,3.51,4.6,0.5,2.31,99.8,32.0,71.0,10.0,44.0,11.0,2.3,11.0,2.0,11.0,2.1,6.6,0.95,6.6,1.0,57.0,19.0,10.0,10.0,0.67,8.6,698.0,0.0,2.0,448.0,-5.0,48.0,0.0,0.0,0.0,44.0,372.0,154.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,13.0,0.0,0.0,"XRF, ICP-MS, TMS",154.0,0.0,0.0,154.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.724934,0.0,10.107441,0.0,0.702807,0.151183,0.0,0.512823,5e-06,0.0,0.512671,5.0,18.119905,18.404,15.592043,15.606,37.893262,38.264,0.0,0.0,-70.54722003614353,-25.691670844185833
11,95-70 a *,Bartsch 2004,Jurassic volcanic rocks,Cerro Difunto,Undefined volcanic rock,V,344744.0,7157552.0,54.6,1.31,15.71,10.19,0.0,10.19,9.17,0.16,3.54,7.5,3.28,1.5,0.25,1.65,99.7,16.0,38.0,5.1,22.0,5.7,1.5,6.2,1.1,6.5,1.3,3.9,0.57,3.7,0.61,35.0,33.0,4.0,6.0,0.37,3.6,115.0,0.0,23.0,270.0,26.0,246.0,0.0,0.0,0.0,252.0,183.0,48.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,21.0,0.0,0.0,"XRF, ICP-MS, TMS",154.0,0.0,0.0,154.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.704974,0.0,0.548993,0.0,0.703772,0.15668,0.0,0.5128,5e-06,0.0,0.512642,4.0,18.353448,18.423,15.596583,15.6,38.198871,38.295,0.0,0.0,-70.54722003614353,-25.691670844185833
12,96-192 *,Bartsch 2004,Cretacic volcanic rocks,Cerro Difunto,Undefined volcanic rock,V,344744.0,7157552.0,52.4,0.81,19.7,4.6,2.93,7.53,7.07,0.22,3.46,7.24,4.35,1.0,0.11,2.45,99.3,7.0,17.0,2.5,11.0,2.8,0.97,3.1,0.45,3.2,0.64,2.0,0.27,2.0,0.32,18.0,23.0,1.2,2.0,0.17,1.5,139.0,0.0,12.0,193.0,-5.0,211.0,0.0,0.0,0.0,439.0,87.0,34.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,3.95,0.0,0.0,"XRF, ICP-MS, TMS",140.0,0.0,0.0,140.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.704147,0.0,0.223206,0.0,0.703703,0.153935,0.0,0.512885,5e-06,0.0,0.512744,6.0,18.243299,18.409,15.585908,15.594,38.046679,38.24,0.0,0.0,-70.54722003614353,-25.691670844185833
13,96-196 *,Bartsch 2004,Cretacic volcanic rocks,Cerro Difunto,Undefined volcanic rock,V,344744.0,7157552.0,58.8,0.55,15.9,3.57,1.6,5.17,4.81,0.12,5.26,6.62,3.28,1.33,0.1,2.57,99.7,9.0,18.0,2.7,10.0,2.4,0.72,2.5,0.33,2.3,0.46,1.2,0.2,1.3,0.2,12.0,18.0,2.5,2.0,0.17,3.0,71.0,0.0,119.0,275.0,302.0,108.0,0.0,0.0,0.0,317.0,94.0,36.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,5.5,0.0,0.0,"XRF, ICP-MS, TMS",140.0,0.0,0.0,140.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.704065,0.0,0.327288,0.0,0.703414,0.148096,0.0,0.512769,5e-06,0.0,0.512633,3.0,18.044645,18.364,15.595404,15.611,38.008252,38.286,0.0,0.0,-70.54722003614353,-25.691670844185833
14,96-164a *,Bartsch 2004,Jurassic volcanic rocks,Cerro Plomo,Undefined volcanic rock,V,347157.0,7182967.0,56.7,1.23,14.0,4.01,4.4,8.41,8.01,0.14,2.82,7.5,2.69,1.5,0.26,4.55,99.8,21.0,48.0,6.6,26.0,6.3,1.4,6.6,1.2,6.8,1.4,4.1,0.59,3.9,0.63,37.0,27.0,5.7,8.0,0.56,7.1,81.0,0.0,22.0,253.0,57.0,199.0,0.0,0.0,0.0,185.0,209.0,55.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,7.5,0.0,0.0,"XRF, ICP-MS, TMS",183.0,0.0,0.0,183.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.706983,0.0,0.857042,0.0,0.704753,0.146525,0.0,0.512621,5e-06,0.0,0.512446,1.0,18.409277,18.892,15.618988,15.643,38.324549,38.966,0.0,0.0,-70.52027857538928,-25.46249797980176
15,96-310 *,Bartsch 2004,Jurassic volcanic rocks,Cerro Plomo,Undefined volcanic rock,V,347157.0,7182967.0,49.1,1.76,18.2,6.33,3.31,9.64,9.01,0.25,4.41,6.48,4.59,2.35,0.28,2.81,99.9,11.0,28.0,4.2,20.0,5.3,1.7,6.1,1.1,6.7,1.3,3.9,0.56,3.6,0.55,35.0,26.0,4.4,4.0,0.32,1.5,223.0,0.0,40.0,644.0,24.0,298.0,0.0,0.0,0.0,393.0,178.0,91.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,8.2,0.0,0.0,"XRF, ICP-MS, TMS",170.0,0.0,0.0,170.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.706257,0.0,0.667466,0.0,0.704644,0.160261,0.0,0.512997,5e-06,0.0,0.512819,8.0,18.418382,18.516,15.614171,15.619,38.347291,38.461,0.0,0.0,-70.52027857538928,-25.46249797980176
16,97-239 *,Bartsch 2004,Jurassic volcanic rocks,Cerro Plomo,Undefined volcanic rock,V,347157.0,7182967.0,49.6,3.3,13.02,7.73,5.51,13.24,12.47,0.32,4.62,6.91,3.22,1.54,0.59,3.27,99.6,29.0,73.0,9.8,47.0,12.0,3.2,13.0,2.2,13.0,2.5,7.3,1.1,6.9,1.0,66.0,44.0,8.4,11.0,0.76,4.2,68.0,0.0,16.0,355.0,23.0,403.0,0.0,0.0,0.0,272.89,334.0,47.33,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,5.2,0.0,0.0,"XRF, ICP-MS, TMS",154.0,0.0,0.0,154.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.705667,0.0,0.499885,0.0,0.704573,0.154403,0.0,0.512911,5e-06,0.0,0.512755,6.0,18.023586,18.43,15.580033,15.6,37.892725,38.346,0.0,0.0,-70.52027857538928,-25.46249797980176
17,K 27 *,Bartsch 2004,Jurassic volcanic rocks,Sierra Minillas,Undefined volcanic rock,V,363315.0,7114371.0,66.1,0.87,14.16,5.25,0.25,5.5,4.97,0.05,1.22,0.87,5.48,3.56,0.22,1.63,99.7,25.0,42.0,6.8,29.0,6.5,1.3,6.4,1.1,6.1,1.2,3.5,0.5,3.6,0.58,32.0,0.6,11.0,12.0,0.83,13.0,212.0,0.0,1.0,450.0,-5.0,49.0,0.0,0.0,0.0,70.0,440.0,123.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,8.8,0.0,0.0,"XRF, ICP-MS, TMS",170.0,0.0,0.0,170.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.71858,0.0,5.071199,0.0,0.706323,0.13554,0.0,0.51271,5e-06,0.0,0.512559,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.36667486289078,-26.083329972380316
18,K 51 *,Bartsch 2004,Jurassic volcanic rocks,Sierra de Candeleros,Undefined volcanic rock,V,458068.0,7198077.0,53.9,2.14,14.46,4.8,5.8,10.6,10.12,0.19,4.15,6.83,3.49,0.92,0.41,2.83,100.0,27.0,62.0,0.0,35.0,8.9,-0.03,0.0,1.4,-0.03,-0.03,-0.03,0.64,4.2,-0.03,40.0,26.0,7.3,11.0,0.76,7.9,125.0,0.0,11.0,222.0,13.0,355.0,0.0,0.0,0.0,531.0,275.0,32.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,3.9,0.0,0.0,"XRF, ICP-MS, TMS",163.0,0.0,0.0,163.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.705018,0.0,0.173693,0.0,0.704616,0.153776,0.0,0.512847,5e-06,0.0,0.512683,5.0,17.890873,18.908,15.550837,15.601,37.57629,38.795,0.0,0.0,-69.41666861897932,-25.33333023756103
19,K 32 *,Bartsch 2004,Jurassic volcanic rocks,Quebrada La Tranquita,Undefined volcanic rock,V,446651.0,7050987.0,52.0,2.11,14.81,7.11,4.58,11.69,10.98,0.2,4.29,8.99,3.03,1.13,0.31,1.93,100.5,16.0,39.0,5.5,26.0,6.5,2.1,7.3,1.2,7.5,1.5,4.4,0.67,4.3,0.64,37.0,42.0,4.7,8.0,0.52,2.6,114.0,0.0,25.0,214.0,20.0,421.0,0.0,0.0,0.0,353.0,164.0,18.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3.4,0.0,0.0,"XRF, ICP-MS, TMS",161.0,0.0,0.0,161.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.704087,0.0,0.146956,0.0,0.703751,0.15351,0.0,0.51285,5e-06,0.0,0.512688,5.0,18.145874,18.613,15.556982,15.58,37.916145,38.366,0.0,0.0,-69.53610759199483,-26.66111041565786
20,K 37 *,Bartsch 2004,Jurassic volcanic rocks,Quebrada La Tranquita,Undefined volcanic rock,V,446651.0,7050987.0,49.6,1.95,13.83,7.95,4.37,12.32,11.52,0.21,4.26,6.96,3.75,1.46,0.38,6.88,101.6,23.0,54.0,7.3,33.0,8.1,2.0,8.0,1.5,8.1,1.6,4.8,0.7,4.6,0.69,41.0,41.0,6.2,8.0,0.56,4.3,95.0,0.0,15.0,185.0,23.0,378.0,0.0,0.0,0.0,214.0,217.0,24.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,2.6,0.0,0.0,"XRF, ICP-MS, TMS",161.0,0.0,0.0,161.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.705775,0.0,0.323264,0.0,0.705035,0.148436,0.0,0.51287,5e-06,0.0,0.512714,6.0,18.00448,18.938,15.574,15.62,37.824415,38.808,0.0,0.0,-69.53610759199483,-26.66111041565786
21,96-77a*,Bartsch 2004,Triassic volcanic rocks,Quebrada Cachina,Undefined volcanic rock,V,340251.0,7137189.0,64.5,0.53,15.4,2.3,1.68,3.98,3.75,0.06,2.59,3.58,4.22,1.15,0.13,3.59,99.7,14.0,29.0,3.7,14.0,2.9,0.95,3.1,0.57,3.2,0.63,2.0,0.29,1.9,0.32,17.0,9.5,3.9,5.0,0.36,4.6,62.0,0.0,20.0,298.0,33.0,75.0,0.0,0.0,0.0,212.0,158.0,28.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,4.2,0.0,0.0,"XRF, ICP-MS, TMS",211.0,0.0,0.0,211.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.705853,0.0,0.380702,0.0,0.704711,0.125261,0.0,0.512631,5e-06,0.0,0.512458,2.0,18.243175,19.006,15.603595,15.642,38.105472,38.963,0.0,0.0,-70.59443814046656,-25.874998204175036
22,I-22,Berg et al 1985,0,0,Granite,P,338331.0,7101159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,0.0,299.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,248.0,3.0,0.0,248.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,U-Pb,Circon,0.8,0.0,25.3,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.61805306426281,-26.200000674294376
23,BA5,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Tuff (andesitic),V,353338.0,7080226.0,63.38,0.6,14.93,2.1,7.88,0.0,9.77,0.06,1.88,2.93,2.2,2.79,0.21,0.78,100.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,11.0,0.0,0.0,37.0,0.0,-10.0,422.0,-10.0,31.0,0.0,0.0,0.0,197.0,203.0,176.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.47027963929195,-26.39056358532157
24,BA62.1,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Basalt,V,352123.0,7072581.0,46.32,2.65,12.82,4.15,9.14,0.0,12.87,0.35,10.15,8.69,0.63,1.16,0.61,1.81,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,63.0,0.0,0.0,69.0,0.0,293.0,533.0,260.0,278.0,0.0,0.0,0.0,306.0,213.0,59.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.48333966743058,-26.459443936462414
25,BA62.2,Breitkreuz et al 1989,Chañaral Epimetamorphic complex,South of Chañaral,Basalt,V,352123.0,7072581.0,43.57,2.07,10.41,3.57,11.43,0.0,14.64,0.34,14.92,8.59,0.45,0.36,0.47,2.08,99.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,44.0,0.0,0.0,1075.0,0.0,422.0,214.0,467.0,216.0,0.0,0.0,0.0,222.0,150.0,20.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,358.9,0.4,323.2,358.9,0.4,Breitkreuz et al 1989,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.48333966743058,-26.459443936462414
