,Sample,Reference,Unit,Location,Petrography,Rock type,East,North,sio2,tio2,al2o3,fe2o3,feo,Measured Fe,feo_tot,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,y_ppm,sc_ppm,hf_ppm,nb_ppm,ta_ppm,th_ppm,zn_ppm,co_ppm,ni_ppm,ba_ppm,cr_ppm,v_ppm,se_ppm,br_ppm,cu_ppm,sr_ppm,zr_ppm,rb_ppm,as_ppm,be_ppm,sb_ppm,sn_ppm,u_ppm,w_ppm,bi_ppm,cd_ppm,cs_ppm,ga_ppm,ge_ppm,In_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Analytical technique (element),Age (Ma) dating,±,Age (Ma) reference,age,±.1,Reference.1,Age max (Ma),±.2,Age min (Ma),±.3,Reference.2,Preferred Age max (Ma),±.4,Preferred Age min (Ma),±.5,Reference(s),Radiometric dating technique,Dated material,87Sr/86Sr,±.6,87Rb/86Sr,±.7,(87Sr/86Sr)i,147Sm/144Nd,±.8,143Nd/144Nd,±.9,eNd,(143Nd/144Nd)i,eNdi,(206Pb/204Pb)i,206Pb/204Pb,(207Pb/204Pb)i ,207Pb/204Pb,(208Pb/204Pb)i,208Pb/204Pb,208Pb/206Pb,207Pb/206Pb,Longitude,Latitude
964,FL-16-11,Rodriguez et al 2019,Flamenco Pluton,Coastal Range batholith,Quartz diorite,P,336000.0,7070000.0,55.72,0.75,17.76,1.05,2.99,4.04,3.94,0.16,4.32,8.26,2.69,0.71,0.1,1.11,99.06,9.2,19.4,2.5,12.0,2.8,1.0,3.4,0.6,3.6,0.9,2.7,0.4,2.3,0.0,21.2,0.0,-5.0,3.6,0.0,3.6,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,32.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"XRF, ICP-MS",189.0,3.0,0.0,188.6,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,U-Pb,Zircon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.64534842148699,-26.480968293516064
965,FL-15-5,Rodriguez et al 2019,Flamenco Pluton,Coastal Range batholith,Tonalite,P,344000.0,7058500.0,58.43,0.92,17.01,2.17,5.41,7.58,7.36,0.14,3.17,6.43,3.22,1.96,0.18,0.98,100.1,21.0,46.2,6.1,25.1,5.0,1.4,4.9,0.9,4.8,1.1,3.0,0.4,3.0,0.51,29.8,0.0,-5.0,6.7,0.0,6.8,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,76.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"XRF, ICP-MS",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.56652129109783,-26.58566732192143
966,FL-16-8,Rodriguez et al 2019,Flamenco Pluton,Coastal Range batholith,Tonalite,P,333000.0,7065000.0,60.08,0.65,16.96,2.03,5.08,7.11,6.91,0.14,2.93,6.15,3.47,1.33,0.12,0.73,99.68,15.2,39.1,4.9,24.1,4.5,1.3,4.6,0.7,4.4,1.0,3.0,0.4,2.8,0.48,28.5,0.0,-5.0,5.7,0.0,4.9,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,41.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"XRF, ICP-MS",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.67609082923278,-26.525745068721
967,FL-16-9,Rodriguez et al 2019,Flamenco Pluton,Coastal Range batholith,Tonalite,P,331000.0,7067000.0,62.22,0.74,17.04,1.87,4.67,6.54,6.35,0.12,2.58,5.94,3.59,1.4,0.11,0.51,100.7,11.6,25.0,3.2,14.4,3.2,1.0,3.6,0.9,3.9,0.9,2.7,0.4,2.7,0.48,27.0,0.0,-5.0,5.1,0.0,3.6,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,44.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"XRF, ICP-MS",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.69589151668465,-26.507457289280293
968,FL-16-2,Rodriguez et al 2019,Flamenco Pluton,Coastal Range batholith,Granodiorite,P,348000.0,7061000.0,67.38,0.5,15.01,1.14,2.84,3.98,3.87,0.06,1.71,3.49,3.16,3.82,0.13,1.2,100.5,26.4,59.6,8.0,30.3,5.6,1.2,5.4,0.8,4.5,1.0,2.8,0.4,2.5,0.43,28.7,0.0,-5.0,8.4,0.0,16.5,0.0,0.0,0.0,487.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,186.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"XRF, ICP-MS",189.0,2.0,0.0,188.7,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,U-Pb,Zircon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.52606655288562,-26.563538730517994
969,FL-16-6,Rodriguez et al 2019,Flamenco Pluton,Coastal Range batholith,Granodiorite,P,333000.0,7058000.0,66.77,0.48,16.55,1.26,3.16,4.42,4.29,0.07,1.78,4.23,4.42,1.58,0.12,0.43,100.9,16.1,32.6,4.1,15.8,2.9,0.9,2.7,0.4,2.4,0.5,1.5,0.2,1.3,0.25,15.1,0.0,-5.0,5.3,0.0,3.5,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,41.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"XRF, ICP-MS",213.0,3.0,0.0,213.2,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,U-Pb,Zircon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.67701014864966,-26.588922013404385
970,FL-16-7,Rodriguez et al 2019,Flamenco Pluton,Coastal Range batholith,Granodiorite,P,334000.0,7063500.0,66.92,0.47,16.15,1.24,3.09,4.33,4.21,0.07,1.74,4.11,4.34,1.57,0.13,0.58,100.4,16.0,32.9,4.1,16.2,2.8,0.9,2.8,0.4,2.2,0.5,1.6,0.2,1.4,0.25,15.2,0.0,-5.0,5.2,0.0,3.5,0.0,0.0,0.0,341.0,0.0,0.0,0.0,0.0,0.0,361.0,0.0,41.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"XRF, ICP-MS",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.66625333780416,-26.53940069723236
971,FL-16-12,Rodriguez et al 2019,Flamenco Pluton,Coastal Range batholith,Granodiorite,P,336000.0,7068000.0,65.17,0.67,15.16,0.84,2.11,2.95,2.87,0.11,2.06,4.62,3.39,2.35,0.13,0.75,99.36,15.7,35.2,4.6,18.8,4.5,1.1,4.9,0.9,5.4,1.2,3.6,0.5,3.4,0.0,36.1,0.0,-5.0,5.4,0.0,5.2,0.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,78.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"XRF, ICP-MS",192.0,1.0,0.0,191.7,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,U-Pb,Zircon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.64560546087289,-26.49901930464812
972,FL-16-14,Rodriguez et al 2019,Flamenco Pluton,Coastal Range batholith,Granodiorite,P,338000.0,7068000.0,67.26,0.4,15.58,0.64,1.59,2.23,2.17,0.08,1.27,4.03,3.47,2.59,0.15,0.75,99.45,20.9,45.0,6.0,22.0,4.9,1.0,4.8,0.8,4.3,0.9,2.6,0.4,2.3,0.0,26.8,0.0,-5.0,7.5,0.0,7.8,0.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"XRF, ICP-MS",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.62554362134203,-26.499249281778432
973,FL-16-15,Rodriguez et al 2019,Flamenco Pluton,Coastal Range batholith,Granodiorite,P,333500.0,7067000.0,67.6,0.44,15.58,1.3,3.25,4.55,4.42,0.09,1.58,4.24,3.58,2.24,0.11,0.39,100.4,20.6,41.4,5.2,19.4,3.8,1.0,4.0,0.6,3.7,0.9,2.4,0.4,2.3,0.47,24.4,0.0,-5.0,6.4,0.0,10.4,0.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,84.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"XRF, ICP-MS",194.0,1.0,0.0,194.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,U-Pb,Zircon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.6708129868381,-26.507753243219625
