,sample,south,west,we  dist,lithology,unit,map unit,unit details,map nomenclature,cycle,rock type by map,age,unnamed: 0,wtkg,sio2,tio2,ti_ppm,al2o3,al_ppm,fe2o3,fe_ppm,mno,mn_ppm,mgo,mg_ppm,cao,ca_ppm,na2o,k2o,k_ppm,unnamed: 19,cr2o3,cr_ppm,p2o5,p_ppm,rb_ppm,cs_ppm,sr_ppm,sr.1,ba_ppm,ba.1,th_ppm,u_ppm,zr_ppm,zr.1,hf_ppm,nb_ppm,nb.1,y_ppm,y.1,cu_ppm,zn_ppm,zn.1,li_ppm,cd_ppm,ga_ppm,ge_ppm,mo_ppm,sb_ppm,sn_ppm,w_ppm,ta_ppm,pb_ppm,co_ppm,ni_ppm,loi,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,sc_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,be_ppm,v_ppm,ag_ppm,as_ppm,bi_ppm,in,tl_ppm,longitude,latitude
77,12724D,13.99737,75.62933,1.2246096937804758,Grdt,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Granodiorite,105.0,Linga Humay,0.538,65.1,0.46,0.31,14,7.8,5.69,4.09,0.05,410,1.73,1.07,4.23,3.2,4.5,1.03,0.9,,<0.01,20,0.09,0.05,21.4,1.9,280,276,630,668,24.9,5.22,280,282,8,5,7,30,35.7,9,14,22,5,0.5,17,1,1,0.7,4,0.5,0.25,2.5,6.2,8,0.98,18.3,48.5,7.32,28.8,6.8,14,1.16,6.13,0.98,6.31,1.23,3.61,0.65,3.9,0.64,2.5,93,0.5,2.5,0.05,0.1,0.25,-75.62933,-13.99737
78,13820E,13.69522,75.87918,6.487524065216967,Qzmzn,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzonite,103.0,Linga Auquish,0.554,64.8,0.54,0.33,16.7,8.54,5.74,4.23,0.04,340,1.37,0.85,3.38,2.5,3.88,4.61,4,,<0.01,5,0.2,0.07,115,1.6,270,300,1990,2100,19.8,5.64,250,274,8,20,6,40,38.9,20,42,14,5,0.2,20,2,8,0.9,2,0.5,0.25,5,7.9,10,0.5,24.4,53.2,7.68,31.2,7.8,14,1.58,7.29,1.16,6.72,1.38,4.43,0.65,4.2,0.62,2.5,70,0.5,6,0.05,0.1,0.6,-75.87918,-13.69522
79,13820J,13.7011,75.88131,5.868214133126994,Mzgab,Old Gabbro,Linga Humay,Linga monzogabbro Humay,K-mgb-h,130-127,Monzogabbro,130.0,Old Gabbro,0.86,56.4,0.71,0.42,16.3,8.46,8.88,6.1,0.11,880,4.03,2.32,6.84,4.8,3.95,2.27,2,,<0.01,40,0.1,0.05,61.6,0.7,360,360,970,990,10.1,3.09,100,116,4,30,3,30,29.1,60,65,40,5,0.3,19,2,5,1.5,1,0.5,0.25,8,22.6,16,1.57,22.4,45.3,6.21,24.5,5.9,29,1.22,5.55,0.84,5.03,1.02,3.18,0.48,3.2,0.48,2.5,236,0.5,20,0.1,0.1,0.25,-75.88131,-13.7011
80,13820M,13.70372,75.88187,5.6210261785289015,Qzmzd,Old Gabbro,Linga Humay,Linga monzogabbro Humay,K-mgb-h,105-96,Monzogabbro,105.0,Old Gabbro,0.783,52.6,0.67,0.4,16.3,8.75,9.06,6.39,0.17,1510,4.78,2.83,8.66,6,2.94,1.83,1.7,,<0.01,40,0.07,0.05,70.7,2.1,330,350,650,660,6.9,1.85,100,100,3,30,2,20,21.7,140,96,66,20,0.2,18,2,6,1.8,2,0.5,0.25,10,29,20,1.91,14.3,32.2,4.62,18,4.5,30,1.09,4.3,0.66,3.92,0.77,2.46,0.33,2.2,0.31,2.5,230,0.5,9,0.1,0.1,0.25,-75.88187,-13.70372
81,13821C,13.69032,75.84991,9.0356965730352,Mzd,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzodiorite,103.0,Linga Auquish,0.622,59.7,0.68,0.41,15.8,8.38,7.83,5.54,0.17,1420,2.67,1.56,5.6,4,3.42,2.84,2.5,,<0.01,20,0.21,0.07,100,1.1,260,290,970,1000,15,3.79,250,240,7,20,4,30,32.5,70,72,48,5,0.4,18,2,6,0.9,2,0.5,0.25,8,18.9,13,0.97,27.8,58.8,7.95,30.5,6.7,21,1.38,6.13,0.97,5.54,1.14,3.58,0.54,3.5,0.51,2.5,150,0.5,2.5,0.05,0.1,0.25,-75.84991,-13.69032
82,13821H,13.66809,75.85394,10.484432560206223,Qzmzn,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzonite,103.0,Linga Auquish,0.495,66,0.44,0.27,14.8,8.05,4.92,3.63,0.1,900,1.24,0.75,2.09,1.6,3.5,4.9,4.3,,<0.01,5,0.1,0.04,145,1.1,170,190,1530,1630,25.5,7.59,260,281,9,20,5,30,29.7,140,56,28,5,0.2,18,1,5,1.1,2,0.5,0.25,8,8.9,10,1.2,43.2,76.9,9.26,32,6.1,12,1.2,5.51,0.85,5.04,1.04,3.27,0.51,3.3,0.51,2.5,70,0.5,2.5,0.05,0.1,0.7,-75.85394,-13.66809
83,13822A,13.72635,75.8574,5.651932508420707,Grdt,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzonite,103.0,Linga Auquish,0.422,64.4,0.49,0.31,15.3,8.85,5.12,4.02,0.06,530,1.29,0.82,2.59,2,3.91,4.29,3.9,,<0.01,5,0.11,0.05,129,2.3,230,230,1150,1190,20.5,4.25,240,238,7,20,4,30,29.1,20,38,16,5,0.4,20,2,5,1.1,2,1,0.25,7,9.2,11,1.57,26.5,55.5,7.11,26.2,5.7,12,1.19,5.36,0.84,4.87,1.01,3.15,0.49,3.2,0.45,2.5,78,0.5,9,0.2,0.1,0.7,-75.8574,-13.72635
84,13822C,13.7249,75.78855,10.853503695182555,Grdt,Linga Auquish,Linga Auquish,Linga Auquish monzogranite,K-mgr-a,105-96,Granodiorite,103.0,Linga Auquish,0.737,62.8,0.53,0.32,15.4,8.04,6.84,4.82,0.1,820,2.3,1.33,5.07,3.6,3.26,3.34,2.9,,<0.01,10,0.13,0.05,111,2.4,250,280,1020,1060,18.4,5.58,200,225,7,20,5,30,32.7,20,52,33,5,0.3,18,2,7,1.5,2,0.5,0.25,9,16.5,12,0.93,30.8,62,8.09,30.2,6.7,18,1.19,6.33,0.94,5.69,1.17,3.5,0.54,3.6,0.53,2.5,114,0.5,2.5,0.05,0.1,0.25,-75.78855,-13.7249
85,13823A,13.64165,75.98121,3.154045134721522,Qzdt,Linga Humay,Linga Humay,Linga monzogabbro Humay,K-mgb-h,130-127,Monzogabbro,130.0,Linga Humay,0.56,60.2,1.23,0.72,15.7,8.11,7.31,5.12,0.11,960,2.31,1.34,4.62,3.2,3.7,4.11,3.5,,0.01,20,0.6,0.22,161,8.3,350,350,780,780,42.4,11,410,434,13,40,13,40,39.9,300,86,62,5,0.3,21,1,9,2.1,4,2,0.25,17,17.2,16,0.28,57.6,125,16.4,61.9,12.6,17,2.14,10.3,1.43,7.81,1.41,3.97,0.59,3.8,0.56,2.5,168,0.5,5,0.3,0.1,0.25,-75.98121,-13.64165
86,13823E,13.47549,76.0281,12.747437710467416,Grdt,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Monzodiorite,105.0,Linga Humay,0.652,60.5,0.62,0.37,15.6,8.8,6.79,5.21,0.14,1270,2.25,1.51,4.34,3.3,3.62,3.34,2.9,,<0.01,5,0.16,0.07,116,2.7,280,150,840,860,15.4,4.2,180,206,6,20,5,30,30.8,60,78,60,10,0.3,19,2,6,1.2,2,1,0.25,15,16.7,10,1.96,29,58.6,7.69,28.6,6.3,20,1.35,5.94,0.91,5.22,1.09,3.36,0.5,3.3,0.51,2.5,144,0.5,7,0.05,0.1,0.7,-76.0281,-13.47549
87,13823I,13.44192,75.97067,19.636033724806257,Grdt,Linga Humay,Linga Auquish,Linga Humay granite,K-gr-h,105-96,Granodiorite,105.0,Linga Humay,0.826,73.3,0.19,0.11,13.2,7.43,2.06,1.4,0.03,250,0.44,0.29,2.68,1.9,3.77,3.17,2.8,,<0.01,10,<0.01,0.02,75.1,1.3,210,210,1130,1190,18.3,4.58,110,114,3,5,2,20,17.7,10,18,6,5,0.1,15,2,5,1.1,0.5,0.5,0.25,8,2.5,10,0.49,23.4,39.6,4.4,14.4,2.8,2.5,0.74,2.61,0.44,2.66,0.57,1.97,0.31,2.2,0.3,2.5,20,0.5,2.5,0.05,0.1,0.25,-75.97067,-13.44192
88,13825D,13.7034,75.94952,0.6461885082346208,Qzmzn,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzonite,103.0,Linga Auquish,0.514,60.8,1.03,0.62,15.8,8.51,6.35,4.51,0.05,360,2.39,1.41,5.1,3.6,3.82,3.64,3.2,,<0.01,20,0.41,0.17,57.9,1.2,420,490,910,950,28.4,4.9,290,323,10,30,9,30,35.8,80,30,2.5,5,0.6,22,2,5,1.3,0.5,0.5,0.25,7,12.2,26,0.74,32.6,69,9.48,38.9,9.1,17,1.68,8.43,1.18,6.35,1.23,3.58,0.53,3.3,0.51,2.5,187,0.5,8,0.05,0.1,0.25,-75.94952,-13.7034
89,13826A,13.69934,75.82201,10.388941954764169,Qzmzd,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Monzodiorite,105.0,Linga Humay,0.571,60.9,0.69,0.42,16.4,8.81,6.94,5.09,0.09,820,2.41,1.46,5.41,3.9,3.97,2.7,2.5,,<0.01,10,0.2,0.08,50.9,1,290,330,1100,1160,13.5,3.7,160,164,5,20,3,30,30.1,30,44,24,5,0.5,20,2,5,1.2,1,0.5,0.25,10,20,13,0.86,22.3,49,6.75,26.1,5.9,21,1.36,5.69,0.86,4.92,1.02,3.19,0.48,3.1,0.46,2.5,156,3,5,0.05,0.1,0.25,-75.82201,-13.69934
90,13827A,13.67415,75.79195,14.589692356028088,Grdt,Linga Humay,Linga Humay,Linga monzogabbro Humay,K-mdi-h,105-96,Monzodiorite,105.0,Linga Humay,0.721,61.2,0.64,0.38,15.9,8.26,7.63,5.39,0.13,1120,2.53,1.48,5.11,3.6,3.52,3.05,2.7,,<0.01,30,0.15,0.07,108,3.3,230,250,1000,1040,15.9,2.55,240,242,7,20,4,30,35.2,80,63,43,5,0.1,19,2,5,1.3,3,0.5,0.25,9,16.5,13,0.92,31.4,65.7,8.68,32.7,7.2,20,1.35,6.67,1.01,6,1.2,3.7,0.59,3.6,0.55,2.5,128,0.5,2.5,0.05,0.1,0.6,-75.79195,-13.67415
91,13827G,13.66991,75.78868,15.164556095008114,Grdt,Linga Auquish,Linga Auquish,Linga Auquish monzogranite,K-mgr-a,105-96,Granodiorite,103.0,Linga Auquish,0.212,67.4,0.43,0.27,15.6,8.21,4,2.93,0.02,200,1.61,0.98,2.2,1.7,5.14,1.68,1.5,,<0.01,5,0.08,0.05,77.2,1.4,210,220,590,630,10.5,4.17,190,239,7,20,5,30,33.3,30,25,2.5,5,0.1,17,0.5,6,0.9,3,0.5,0.25,2.5,11.3,10,0.7,37.5,68.7,8.49,29.2,6.3,11,0.95,5.41,0.83,5.33,1.14,3.9,0.64,4.3,0.65,2.5,50,0.5,2.5,0.3,0.1,0.25,-75.78868,-13.66991
92,13828A,13.71057,75.83787,8.334669019194333,Grt,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzonite,103.0,Linga Auquish,0.489,66.4,0.39,0.23,14.6,7.51,5.95,4.19,0.02,170,0.66,0.37,0.42,0.4,3.47,6.21,5.3,,<0.01,5,0.06,0.04,154,1.5,60,60,1740,1820,24.8,9.22,340,327,10,20,5,30,31.7,90,30,7,5,0.4,18,2,8,1.4,6,0.5,0.25,2.5,11.9,9,0.89,41,87.5,9.5,32.3,6.5,9,1.06,5.82,0.92,5.39,1.12,3.54,0.55,3.7,0.54,2.5,44,0.5,6,0.05,0.1,0.25,-75.83787,-13.71057
93,13828D,13.66037,75.76727,17.496579237085424,Grt,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Granite,98.0,Pampahuasi,0.706,66.7,0.51,0.3,15.9,8.21,5.17,3.54,0.05,430,0.81,0.46,2.62,2,4.1,4.41,3.7,,<0.01,10,0.1,0.05,126,2.6,210,240,1760,1720,20.7,6.28,380,365,11,20,8,30,34.9,5,41,15,5,0.1,19,2,5,0.6,1,0.5,0.25,8,7.1,10,0.36,38.2,74.9,9.63,34.6,7.2,10,1.5,6.49,0.97,5.67,1.21,3.81,0.59,3.9,0.58,2.5,35,0.5,2.5,0.05,0.1,0.7,-75.76727,-13.66037
94,13828H,13.54816,75.68507,32.395694292784,Grdt,Tiabaya,Tiabaya,Tiabaya granodiorite-tonalite,K-gd-t,85-78,Granodiorite,80.0,Tiabaya,0.557,65.7,0.3,0.18,18.5,9.55,2.32,1.58,0.05,320,0.97,0.54,4.31,3.2,4.79,2.47,2.1,,<0.01,10,0.09,0.04,55.8,1.4,860,880,1260,1190,4.9,1.39,90,103,3,10,1,5,4.1,10,37,12,10,0.1,23,1,4,0.7,0.5,0.5,0.25,11,6.1,14,0.45,14.4,27,3.28,11.5,2,2.5,0.89,1.45,0.18,0.9,0.14,0.4,0.05,0.4,0.025,2.5,42,0.5,2.5,0.05,0.1,0.25,-75.68507,-13.54816
95,13829B,13.76472,75.71165,13.40713953116167,Ton,Younger Dikes,Younger Dikes,Younger Dikes,,,,,Younger Dikes,0.394,63.5,0.82,0.49,16.6,8.64,1.95,1.37,0.05,330,2.76,1.6,8.15,5.7,4.73,0.33,0.4,,<0.01,10,0.03,<0.01,11.6,4.1,380,390,240,260,9.9,2.42,190,210,7,20,3,40,37.5,5,23,2.5,5,0.1,19,2,4,1.3,2,0.5,0.25,6,3.7,10,1.21,18.6,50.8,7.61,30.9,7.3,32,2.12,7.23,1.16,6.62,1.36,4.13,0.6,3.8,0.6,2.5,86,0.5,2.5,0.05,0.1,0.25,-75.71165,-13.76472
96,13830B,13.99355,75.78896,-10.260824419699047,Grdt,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Granodiorite,105.0,Linga Humay,0.811,64.3,0.53,0.32,16.3,8.47,4.28,3.05,0.08,630,2.17,1.24,3.49,2.6,4.73,1.7,1.5,,<0.01,30,0.19,0.1,46.7,0.9,270,290,320,350,5.8,1.74,170,164,4,20,6,10,15.4,20,84,53,30,1.3,19,1,5,0.7,1,0.5,0.25,9,10.8,21,2.29,20.4,40.8,4.92,17.4,3.6,8,1.01,3.24,0.48,2.8,0.53,1.48,0.23,1.5,0.18,2.5,57,1,2.5,0.05,0.1,0.25,-75.78896,-13.99355
97,13830C,13.93927,75.66932,2.8301990554894125,Grt,Linga Rinconada,Linga Rinconada,Linga Rinconada monzogranite,K-mgr-r,105-96,Granite,95.0,Linga Rinconada,0.391,68.3,0.41,0.25,13.7,7.34,4.37,3.08,0.08,620,0.85,0.49,2.54,1.9,3.16,4.4,3.9,,<0.01,5,0.04,0.04,214,8.6,160,190,1040,1070,40.7,6.76,240,240,8,10,4,40,39,20,47,28,20,0.1,16,2,5,1.8,3,0.5,0.25,14,7.8,11,0.3,28.1,61.1,8.41,31.8,7.2,10,1,6.72,1.09,6.39,1.33,4.02,0.62,4,0.61,2.5,58,0.5,6,0.05,0.1,0.7,-75.66932,-13.93927
98,13830J,13.95086,75.62944,4.865204707095699,Grdt,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Granodiorite,105.0,Linga Humay,0.584,64,0.64,0.38,15.3,7.97,6.55,4.6,0.12,980,1.71,1,4.16,3,3.48,3.15,2.9,,<0.01,10,0.18,0.08,161,10.4,270,270,990,1010,25.3,8.83,230,246,8,20,4,40,38.7,60,65,41,20,0.1,19,2,11,2.8,3,1,0.25,11,13.5,10,0.39,28.8,62.5,8.62,32.8,7.5,17,1.35,7.02,1.12,6.45,1.31,4.12,0.62,4.1,0.59,2.5,91,0.5,8,0.05,0.1,0.6,-75.62944,-13.95086
99,13901E,13.88234,75.63713,9.674976585849903,Grdt,Linga Humay,Linga Humay,Linga monzogabbro Humay,K-mgb-h,105-96,Granodiorite,105.0,Linga Humay,0.411,63.2,0.84,0.5,16,8.45,6.38,4.56,0.08,700,0.87,0.5,4.62,3.3,3.57,3.28,2.9,,<0.01,5,0.38,0.15,109,3.7,220,270,990,1040,24.2,4.13,60,59.4,3,20,5,50,50.6,150,60,38,5,0.1,21,2,7,2,3,0.5,0.25,16,10.9,8,0.15,38.2,85,11.9,46.6,10.7,16,1.77,10.3,1.56,8.95,1.76,5.14,0.77,4.5,0.72,2.5,68,0.5,5,0.05,0.1,0.25,-75.63713,-13.88234
100,13901G,13.89267,75.64651,8.171469829670524,Qzmzd,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Tonalite-Diorite,98.0,Pampahuasi,0.27,60.4,0.91,0.54,16.4,8.51,9.21,6.46,0.18,1470,2.2,1.23,5.83,4.1,3.78,2.06,1.8,,<0.01,5,0.34,0.12,80.6,6.5,290,330,750,750,15.5,3.58,160,172,6,20,4,40,37.3,160,107,87,10,0.1,21,2,6,6.1,3,4,0.25,27,17.7,8,0.45,26.1,54.8,7.58,29.9,7.1,26,1.59,7.03,1.09,6.38,1.32,4.12,0.61,4.1,0.6,2.5,156,0.5,14,0.1,0.1,0.25,-75.64651,-13.89267
101,13902M,13.93131,75.61225,7.668421670983588,Gab-Cum,Pampahuasi,Pampahuasi,Pampahuasi,K-gb,Gabbro,Gabbro,100.0,Pampahuasi,0.581,49.7,0.58,0.35,22.9,12.6,6.73,5.08,0.1,820,2.89,1.72,11.2,8,2.62,0.82,0.9,,<0.01,5,0.03,0.02,56.7,3.8,550,580,330,360,6.2,1.76,30,33.5,1,40,0.5,5,9.6,30,61,38,20,0.2,22,1,4,1.2,1,0.5,0.25,8,20.7,16,1.09,7.5,15.2,1.94,7.4,1.7,23,0.71,1.71,0.26,1.56,0.34,1.04,0.16,0.9,0.16,2.5,273,0.5,2.5,0.05,0.1,0.25,-75.61225,-13.93131
102,13903B,13.84782,75.75092,3.981048621198107,Qzmzn,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzonite,103.0,Linga Auquish,0.418,64.6,0.46,0.28,15.1,7.84,5.69,4.17,0.05,450,1.71,0.98,3.63,2.6,3.46,4.26,3.6,,<0.01,20,0.06,0.05,99.8,2.8,190,240,1430,1410,21,6.87,370,397,12,20,6,40,36,30,31,2.5,5,0.7,18,2,4,0.9,3,0.5,0.25,5,10.1,16,1.01,23.1,49.4,7.08,27.1,6.3,15,1.13,5.81,0.95,5.73,1.24,3.86,0.63,4.1,0.63,2.5,87,0.5,2.5,0.1,0.1,0.25,-75.75092,-13.84782
103,13903J,13.83401,75.76089,4.328689558955983,Qzmzn,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzonite,103.0,Linga Auquish,0.524,58.4,0.58,0.34,16.1,8.42,6.7,4.85,0.17,1400,2.93,1.66,5.13,3.7,4.11,3.39,3,,<0.01,20,0.14,0.05,89.4,0.8,290,320,1250,1190,18.3,4.66,240,255,7,20,4,30,30.1,50,46,24,5,0.7,18,2,4,4.1,2,0.5,0.25,6,19.9,14,1.33,19.4,46.4,6.66,25.9,5.7,21,1.15,5.16,0.83,4.85,1.02,3.14,0.5,3.1,0.49,2.5,143,0.5,7,0.05,0.1,0.25,-75.76089,-13.83401
104,13904D,13.99982,75.57954,4.707681310360742,Ton,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Tonalite-Diorite,98.0,Pampahuasi,0.733,59.6,0.64,0.37,16.2,8.15,11.1,7.8,0.03,210,1.18,0.66,4.24,3,5.53,0.37,0.4,,<0.01,20,0.35,0.14,14.6,0.9,460,480,430,410,15.1,2.68,300,286,8,30,4,20,15.5,10,25,2.5,5,0.1,22,1,5,0.7,0.5,0.5,0.25,2.5,21.2,12,0.57,17,31.8,4.07,16,3.3,11,1.29,3.08,0.42,2.35,0.51,1.49,0.24,1.5,0.23,2.5,176,0.5,2.5,0.05,0.1,0.25,-75.57954,-13.99982
105,13904J,13.98961,75.56295,6.733209116862219,Grt,Linga Rinconada,Linga Rinconada,Linga Rinconada monzonite,K-m-r,105-96,Granite,95.0,Linga Rinconada,0.697,64.5,0.86,0.5,15,7.66,7.06,5.01,0.12,960,1.46,0.82,3.56,2.5,3.24,4.65,3.9,,<0.01,5,0.21,0.1,245,15.5,190,220,1310,1240,30.2,6.39,390,367,12,20,8,50,47.1,160,87,60,10,0.1,19,2,7,3,13,3,0.25,21,12.6,9,0.4,38.3,82.2,11.4,43.4,9.8,17,1.52,9.15,1.43,8.3,1.66,4.99,0.73,4.7,0.71,2.5,87,0.5,10,0.05,0.1,0.7,-75.56295,-13.98961
106,13905C,13.88067,75.66746,7.566359241246218,Grdt,Linga Humay,Linga Humay,Linga monzogabbro Humay,K-mgb-h,105-96,Monzogabbro,105.0,Linga Humay,0.579,63.1,0.57,0.33,15.9,8.07,6.7,4.8,0.11,900,2.19,1.23,4.69,3.3,3.35,3.48,3,,<0.01,10,0.15,0.05,145,6,220,270,930,960,23,5.2,200,203,7,20,5,30,28.3,60,106,45,10,0.4,18,2,5,1.3,2,0.5,0.25,20,16.9,11,0.52,26.1,54,7.12,25.9,5.7,18,1.07,5.2,0.84,4.75,0.98,3.12,0.45,3,0.44,2.5,128,0.5,2.5,0.05,0.1,0.5,-75.66746,-13.88067
107,13905E,13.87881,75.66772,7.6931602546463145,Grt,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Monzodiorite,105.0,Linga Humay,0.686,60.5,0.6,0.35,15.9,8.16,7.16,5.19,0.13,1110,2.39,1.35,4.92,3.5,3.42,3.26,2.9,,<0.01,10,0.13,0.06,141,5.5,240,290,940,910,21.2,5.77,240,207,7,20,4,30,27.8,50,78,51,5,0.4,19,2,5,2.2,3,1,0.25,12,18.2,11,0.78,25.6,52.2,6.64,25.2,5.6,20,1.11,5.15,0.79,4.53,0.98,2.92,0.46,3,0.43,2.5,154,0.5,7,0.05,0.1,0.6,-75.66772,-13.87881
108,13905F,13.87463,75.66699,8.075186115377567,Grdt,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzonite,103.0,Linga Auquish,0.733,62.4,0.61,0.36,15.8,7.97,6.43,4.62,0.04,270,2.01,1.13,4.16,2.9,3.85,3.64,3.1,,<0.01,10,0.11,0.06,86.2,2.3,290,290,1240,1140,26.8,7.7,220,187,6,20,5,30,33.8,40,32,17,5,0.2,18,2,8,1.2,6,0.5,0.25,7,7.8,10,0.84,29.4,66.7,9.17,32.9,7.1,19,1.34,6.11,0.98,5.59,1.15,3.68,0.54,3.6,0.54,2.5,134,0.5,6,0.05,0.1,0.25,-75.66699,-13.87463
109,13906A,13.87219,75.67489,7.683319719251155,Grt,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzonite,103.0,Linga Auquish,0.464,63,0.51,0.3,14.9,7.75,5.36,3.97,0.06,530,1.62,0.95,3.06,2.3,3.13,4.99,4.4,,<0.01,10,0.09,0.04,193,4.5,210,220,1450,1430,30.1,6.03,530,480,14,20,6,30,32,40,42,17,5,0.3,17,2,5,1.6,3,0.5,0.25,9,12.8,12,1.24,27.3,56,7.3,26.2,5.9,15,1,5.22,0.83,4.99,1.08,3.38,0.53,3.6,0.53,2.5,92,0.5,2.5,0.05,0.1,0.25,-75.67489,-13.87219
110,13906B,13.87158,75.66898,8.167650020760892,Grt,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzonite,103.0,Linga Auquish,0.546,66.2,0.3,0.18,14.2,7.66,3.59,2.78,0.03,270,0.63,0.4,1.54,1.2,2.91,5.89,5,,<0.01,10,0.05,0.02,167,2.2,160,210,1810,1790,36.8,7.87,220,268,8,10,5,20,25.4,40,34,16,5,0.2,17,2,5,1.2,2,0.5,0.25,10,5.6,13,0.78,17.4,31.4,3.98,15,3.8,8,0.92,3.92,0.63,3.82,0.84,2.69,0.41,2.9,0.37,2.5,42,0.5,2.5,0.05,0.1,0.25,-75.66898,-13.87158
111,13910H,11.1477,77.21297,108.95795048872532,dt,Puscao,Puscao,Puscao diorite,Kti-di,58,Diorite,,Puscao,0.512,55.4,0.87,0.52,18.8,9.69,8.4,6.14,0.13,1160,3.93,2.26,7.57,5.3,3.61,1.27,1.2,,<0.01,10,0.21,0.08,39.8,3.5,510,540,650,630,3.1,0.94,100,90.1,3,30,3,20,16.2,60,78,55,20,0.3,20,1,4,0.7,1,0.5,0.25,8,22.2,15,1.42,11.1,24.3,3.42,13.8,3.3,23,1.03,3.29,0.51,2.88,0.6,1.67,0.25,1.6,0.025,2.5,215,0.5,2.5,0.05,0.1,0.25,-77.21297,-11.1477
112,14710A,13.70844,75.95422,-0.0970100267939466,Bas,Quilmana group,Quilmana,Quilmana group,Kis-q,114,Basalt,114.0,Quilmana group,0.17,48.9,0.64,0.52,17.2,9.32,9.84,7.22,0.18,1370,5.01,3.19,8.39,6.3,3.45,1.68,1.3,,<0.01,50,0.25,0.11,30.9,2.6,0.095,980,0.069,680,7.1,1.81,0.01,95.8,3,0.003,2,0.002,16.6,60,89,100,10,0.2,20,1,3,0.4,1,0.5,0.25,5,29.8,21,1.04,38.3,80.6,9.69,42.1,8.4,26,2.12,5.96,0.68,3.55,0.64,1.75,0.23,1.5,0.21,2.5,348,0.5,2.5,0.05,0.1,0.25,-75.95422,-13.70844
113,14710C,13.62716,75.67416,26.988324721762893,Gab-Cum,Pampahuasi,Pampahuasi,Pampahuasi,K-gb,Gabbro,Gabbro,100.0,Pampahuasi,0.221,40.4,0.73,0.64,18.1,9.52,17.1,12.5,0.23,1760,8.35,4.89,12.1,8.9,1.39,0.1,0.05,,<0.01,5,0.03,0.01,1.2,0.2,0.056,560,0.018,170,0.05,0.21,<0.001,4.1,0.5,0.004,0.5,<0.001,4.3,20,101,111,5,0.8,17,1,7,4.6,0.5,0.5,0.25,16,51.9,2.5,0.3,1.8,3.7,0.51,2.7,0.8,28,0.52,0.88,0.14,0.85,0.17,0.47,0.07,0.5,0.06,2.5,488,0.5,2.5,0.05,0.1,0.25,-75.67416,-13.62716
114,14710G,13.61286,75.41614,47.17766226035256,Trch-And,Yura volcanics,Yura,Yura volcanics,Jski-y,Host rock,Trachy-Andesite,150.0,Yura volcanics,0.316,54.3,0.7,0.57,16,8.29,12,8.4,0.28,2130,3.19,1.93,6.44,4.7,5.68,2.34,1.8,,<0.01,5,0.45,0.2,69,4.1,0.039,420,0.145,1410,8.9,1.96,0.013,117,3,0.003,3,0.002,22.8,830,103,110,20,0.1,19,2,3,1.5,1,0.5,0.25,18,32.6,2.5,0.49,28.7,61.5,7.68,33.2,7,17,1.88,5.8,0.73,4.52,0.86,2.51,0.35,2.4,0.35,2.5,249,0.5,2.5,0.3,0.1,0.5,-75.41614,-13.61286
