,sample,south,west,we  dist,lithology,unit,map unit,unit details,map nomenclature,cycle,rock type by map,age,unnamed: 0,wtkg,sio2,tio2,ti_ppm,al2o3,al_ppm,fe2o3,fe_ppm,mno,mn_ppm,mgo,mg_ppm,cao,ca_ppm,na2o,k2o,k_ppm,unnamed: 19,cr2o3,cr_ppm,p2o5,p_ppm,rb_ppm,cs_ppm,sr_ppm,sr.1,ba_ppm,ba.1,th_ppm,u_ppm,zr_ppm,zr.1,hf_ppm,nb_ppm,nb.1,y_ppm,y.1,cu_ppm,zn_ppm,zn.1,li_ppm,cd_ppm,ga_ppm,ge_ppm,mo_ppm,sb_ppm,sn_ppm,w_ppm,ta_ppm,pb_ppm,co_ppm,ni_ppm,loi,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,sc_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,be_ppm,v_ppm,ag_ppm,as_ppm,bi_ppm,in,tl_ppm,longitude,latitude
52,12716K,14.02594,75.16042,33.583235678337445,Qzmzd,Incahuasi ,Incahuasi ,Incahuasi monzodiorite,Ks - in/mdi,68-59,Monzodiorite,66.0,Incahuasi ,0.427,62.1,0.83,0.52,15.6,8.23,6.86,4.75,0.11,800,2.21,1.3,4.81,3.5,3.3,3.17,2.7,,<0.01,20,0.18,0.09,180,14.5,320,305,690,682,26.4,5.26,280,290,8,10,11,30,31,44,52,60,20,0.1,19,1,4,1.3,4,2,0.8,17,16.1,15,0.46,34.5,72,9.09,33.8,7.3,16,1.27,6.33,1.03,5.91,1.12,3.28,0.56,3.2,0.5,2.5,134,0.5,7,0.05,0.1,0.7,-75.16042,-14.02594
53,12717C,13.65796,75.75182,18.827788824723722,Gab-Cum,Pampahuasi,Pampahuasi,Pampahuasi,K-gb,Gabbro,Gabbro,100.0,Pampahuasi,0.61,52.1,0.63,0.42,18.9,10.1,9.11,6.51,0.17,1310,5.16,3.11,9.89,7.2,2.9,0.42,0.4,,<0.01,30,0.05,0.03,5.3,0.2,470,458,310,302,0.9,0.14,30,24.4,0.5,5,0.5,10,10.1,72,71,75,5,0.1,19,2,1,0.05,0.5,0.5,0.25,2.5,36.2,20,0.17,5.5,11,1.55,6.8,1.6,31,0.9,1.91,0.33,1.96,0.39,1.04,0.19,1.1,0.18,2.5,285,0.5,2.5,0.05,0.1,0.25,-75.75182,-13.65796
54,12717D,13.64153,75.72137,22.36963254645703,Ton,Tiabaya,Tiabaya,Tiabaya tonalite,K-to-t,85-78,Granodiorite,80.0,Tiabaya,0.643,69.2,0.22,0.14,14.7,7.97,4.1,2.85,0.11,830,0.68,0.41,2.9,2.2,4.1,2.04,1.8,,<0.01,10,0.11,0.06,45.4,3.3,380,370,1170,1180,5.2,1.23,100,98.6,3,5,2,10,11.3,6,53,57,20,0.1,16,1,1,0.1,1,0.5,0.25,12,4.5,7,0.73,20.9,40,4.91,18.1,3.3,2.5,1,2.65,0.35,2.05,0.38,1.08,0.17,1.2,0.2,2.5,18,0.5,2.5,0.05,0.1,0.25,-75.72137,-13.64153
55,12717H,13.62511,75.67106,27.378615163367584,Grdt,Tiabaya,Tiabaya,Tiabaya granodiorite-tonalite,K-gd-t,85-78,Granodiorite,80.0,Tiabaya,0.417,66,0.44,0.28,15.3,8.35,4.29,3.01,0.08,640,1.59,0.96,4.26,3.2,3.8,2.33,2.1,,<0.01,10,0.11,0.07,70.6,3.1,490,471,860,847,8.8,1.68,90,92.5,3,5,4,5,9.4,18,50,51,20,0.1,17,1,1,0.3,0.5,0.5,0.25,9,11.7,12,0.94,19.6,34.5,3.98,14.2,2.5,7,0.79,1.99,0.27,1.74,0.29,0.88,0.15,0.9,0.15,2.5,84,0.5,2.5,0.05,0.1,0.25,-75.67106,-13.62511
56,12718D,13.63802,75.55963,34.59716300505892,Grt,Characas Monzogranite,Characas,Characas Monzogranite,K-mg-ch,85-78,Monzogranite,78.0,Characas Monzogranite,0.332,74.8,0.16,0.09,13.6,6.9,1.91,1.21,0.06,450,0.42,0.24,1.49,1.1,3.98,3.84,3.2,,<0.01,5,0.09,0.02,113,2.8,230,200,1190,1110,14.1,3.32,90,95.2,3,5,6,10,11,20,28,9,5,0.1,15,2,6,0.5,3,0.5,0.7,17,2.7,9,0.52,23.7,41,4.54,14.2,2.4,2.5,0.6,1.94,0.29,1.83,0.36,1.11,0.19,1.3,0.17,2.5,15,0.5,2.5,0.05,0.1,0.25,-75.55963,-13.63802
57,12719B,13.61499,75.42549,46.31930881810631,Grdt,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.528,59.3,0.82,0.53,16.1,8.62,7.33,5.13,0.13,930,2.62,1.55,5.6,4,3.5,2.68,2.3,,<0.01,30,0.18,0.09,112,6.8,390,375,720,718,14.7,3,230,224,6,5,8,20,23.2,71,60,69,20,0.1,18,1,1,1,2,1,0.6,13,19.5,15,0.66,22.3,46.9,6.08,23,5.4,17,1.21,4.87,0.73,4.39,0.84,2.54,0.42,2.6,0.4,2.5,147,0.5,8,0.05,0.1,0.25,-75.42549,-13.61499
58,12719D,13.59757,75.4935,42.66542374442087,Ton,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Tonalite-Diorite,66.0,Incahuasi ,0.586,57.1,0.64,0.41,17,9.24,7.16,4.99,0.15,1110,3.17,1.96,6.99,5.1,3.3,1.31,1.2,,<0.01,10,0.16,0.08,32.1,2,520,501,530,543,4.8,1.15,90,93.7,3,5,3,20,16.8,40,60,79,20,0.1,19,1,1,5.2,0.5,0.5,0.25,6,21.9,14,1.38,16.7,32.9,4.24,16.7,3.4,14,1.12,3.45,0.53,3.15,0.56,1.71,0.29,1.7,0.28,2.5,156,0.5,2.5,0.05,0.1,0.25,-75.4935,-13.59757
59,12719H,13.47854,75.47002,53.7708583894431,Grt,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.325,67.9,0.38,0.24,13.3,7.33,3.58,2.52,0.04,350,1.07,0.68,2.65,2,3.2,3.89,3.4,,<0.01,20,0.09,0.05,175,6.1,320,311,670,720,21.3,3.76,180,147,5,5,9,20,15.7,6,18,22,20,0.1,16,1,1,0.5,2,0.5,0.9,10,7.6,13,0.81,50.2,90.2,9.61,29.1,4.7,6,0.72,3.34,0.5,3,0.54,1.48,0.23,1.5,0.25,2.5,59,0.5,2.5,0.05,0.1,0.8,-75.47002,-13.47854
60,12719I,13.48695,75.47243,52.93041470799823,Grt,Tiabaya,Tiabaya,Tiabaya granodiorite-tonalite,K-gd-t,85-78,Granodiorite,66.0,Tiabaya,0.431,70,0.37,0.24,13.9,7.48,2.93,2.07,0.05,430,0.87,0.53,2.51,1.9,3.5,3.73,3.3,,<0.01,20,0.09,0.05,154,5.4,300,293,780,816,14.3,4.57,160,167,5,5,11,20,17.2,8,24,30,30,0.1,16,1,1,0.2,2,0.5,1.1,14,6.2,14,0.69,23.4,44.9,5.42,18.8,3.9,5,0.74,3.25,0.49,3.07,0.55,1.64,0.27,1.8,0.27,2.5,47,0.5,2.5,0.05,0.1,0.6,-75.47243,-13.48695
61,12719J,13.53151,75.50472,47.0355420084224,Ton,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Tonalite-Diorite,66.0,Incahuasi ,0.453,56.2,0.83,0.53,16.8,9.08,8.88,6.17,0.16,1180,3.21,1.95,6.63,4.8,3.3,1.71,1.5,,<0.01,5,0.17,0.09,58.9,5.5,440,425,560,559,7.2,1.67,100,87.8,3,5,4,20,21.5,48,88,94,10,0.1,18,1,3,0.05,2,0.5,0.25,12,24,11,1.21,15.6,33.1,4.37,17.6,4.4,19,1.2,4.36,0.65,3.94,0.77,2.33,0.37,2.3,0.36,2.5,198,0.5,2.5,0.05,0.1,0.25,-75.50472,-13.53151
